"right.p0","right.p1","left.p0","left.p1"
7.975505509152905903e-01,6.892524894693543569e-01,nan,nan
7.375259223249939211e-01,6.322446297305613916e-01,nan,nan
6.913990690596162336e-01,5.866885711127706182e-01,nan,nan
6.957079398960578365e-01,5.643296777939933451e-01,nan,nan
7.005914293528771042e-01,5.816195185119729105e-01,5.072079047707086508e-01,2.189593268716694130e-01
7.095497500089348319e-01,5.833914890661571206e-01,5.083208668556609133e-01,2.762863783876912671e-01
6.902545498114895928e-01,6.065158233728894510e-01,4.965036001238007368e-01,2.594336378079475924e-01
6.405502177782832485e-01,5.852301293508609392e-01,4.997955883108224917e-01,3.178562788017121887e-01
6.105041034191369675e-01,5.924017639628099685e-01,4.759079142672866802e-01,3.088304695866680993e-01
5.873887613652373219e-01,5.787138114579123416e-01,4.945288452123091094e-01,4.217609513288010370e-01
5.669260197477021812e-01,5.966167087866118823e-01,4.747312957137951872e-01,4.223151595382651502e-01
5.416319520989747449e-01,6.037989325673448482e-01,4.934059783179781666e-01,4.928967702161387021e-01
nan,nan,4.861843940219359173e-01,5.228082294129698937e-01
nan,nan,4.459375532250556828e-01,5.093431315750429622e-01
nan,nan,3.953741673448597505e-01,5.854892123388898417e-01
nan,nan,2.980255868046332579e-01,7.724036932846136683e-01
