"right.p0","right.p1","left.p0","left.p1"
3.513227850691922338e+00,2.612451661878261722e-01,nan,nan
3.450319145724064285e+00,2.701444891526085801e-01,nan,nan
3.363663769512902135e+00,2.802976251069753122e-01,nan,nan
3.235120492511788015e+00,2.824544363248419065e-01,nan,nan
3.116117708422251553e+00,2.876347451440354197e-01,2.811474523733361597e+00,2.133902484577097913e-02
3.031443683774199371e+00,2.961471472639216618e-01,2.746477563770493013e+00,2.804237911959044094e-02
2.912041754684284278e+00,3.040054937224337950e-01,2.656196289302717339e+00,3.367019161451162423e-02
2.744443457968735345e+00,3.020628316850923478e-01,2.553343209563564198e+00,3.372184164690657932e-02
2.591220642279425501e+00,3.065980494434910053e-01,2.482397877406108844e+00,4.742839568151995672e-02
2.429902738158061570e+00,3.039231860831521082e-01,2.339453609961572145e+00,3.794969839628346137e-02
2.285338150819812064e+00,3.145448843345696188e-01,2.259476142351045436e+00,5.542619539066084150e-02
2.125013820657115193e+00,3.082920643974659258e-01,2.102812639415062357e+00,6.278749549697415500e-02
nan,nan,1.918727232385554204e+00,6.969831829387269917e-02
nan,nan,1.769657298986416327e+00,7.727233937736345537e-02
nan,nan,1.624771832167571706e+00,8.625482746472724893e-02
nan,nan,1.459319399787370131e+00,9.534829691221952119e-02
