"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.129573318460642239e+00,3.408105316062337575e-01,nan,nan
1.112641400548340487e+00,3.390263577191371391e-01,nan,nan
1.091234369697474671e+00,3.435758501826119415e-01,nan,nan
1.047133865768882455e+00,3.448810532779121862e-01,9.190000000000000391e-01,1.469535250547475413e-01
9.928342015381959040e-01,3.251900129911142745e-01,8.887988732814114945e-01,1.289225620555186635e-01
9.572284141660684087e-01,3.289096243861398539e-01,8.780693804796282365e-01,1.573084290190329970e-01
9.566937097977042948e-01,3.383507063772389079e-01,8.234234943470158941e-01,1.476454735076453972e-01
9.440859785525237413e-01,3.388045483544337988e-01,8.105384984569772300e-01,1.644479052336553782e-01
9.229453979495481075e-01,3.548280203079143269e-01,8.166596406837477451e-01,1.857044572210968802e-01
9.096819792349312150e-01,3.509579006335249995e-01,8.194518214220739560e-01,2.033483130740162959e-01
nan,nan,nan,nan
nan,nan,7.083284846803384882e-01,1.869071452781776999e-01
nan,nan,7.186469364972650764e-01,2.150468772442358512e-01
nan,nan,6.388816266766161878e-01,1.893026039676773964e-01
nan,nan,nan,nan
