"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
2.468322134693802461e+00,4.824595614649824782e-01,nan,nan
2.319456358250845174e+00,4.649570246953285690e-01,nan,nan
2.134855928750672760e+00,4.443441796605008820e-01,nan,nan
1.929831568092343685e+00,4.220360744870136904e-01,1.836999999999999966e+00,1.152154565481501719e-01
1.728690700923444901e+00,3.861758662871172532e-01,1.718075314875199711e+00,1.393973376691324539e-01
1.611610783268865754e+00,3.807798926273675555e-01,1.501953057947034154e+00,1.231470811057611969e-01
1.560885958487941316e+00,3.758334023431622040e-01,1.422946426076737492e+00,1.410191425189785408e-01
1.482065618799178530e+00,3.815575435962563766e-01,1.328148213568483671e+00,1.407530785979942967e-01
1.359073786590572652e+00,3.567346014983570623e-01,1.283231185210492287e+00,1.530052469070512233e-01
1.477309405320338609e+00,4.755354894407476385e-01,1.259061018366421258e+00,1.769886552071273378e-01
nan,nan,nan,nan
nan,nan,1.087904903775112064e+00,1.979204658218083612e-01
nan,nan,1.136672278177308648e+00,2.514882122313969459e-01
nan,nan,8.333105668385976106e-01,1.774303206329269633e-01
nan,nan,nan,nan
