"EFI_peaks"
3.008999999999999897e+00
3.008999999999999897e+00
2.939000000000000057e+00
2.886000000000000121e+00
2.779999999999999805e+00
2.692000000000000171e+00
2.587000000000000188e+00
2.480999999999999872e+00
2.375999999999999890e+00
2.234999999999999876e+00
2.093999999999999861e+00
1.917999999999999927e+00
1.760000000000000009e+00
1.600999999999999979e+00
1.461000000000000076e+00
1.389999999999999902e+00
