"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.093039861222619757e+00,3.971452288353393145e-01,nan,nan
1.046811553586932897e+00,4.003042232549336998e-01,nan,nan
9.976648409533781514e-01,3.854451801358451113e-01,nan,nan
9.544256311188340502e-01,3.783177525935884633e-01,8.479999999999999760e-01,1.926450779423959370e-01
8.994125067123815986e-01,3.735302856477488720e-01,8.175672061057955853e-01,1.671916215308135445e-01
8.675886671698618269e-01,3.528541506463032662e-01,7.916140926329158223e-01,1.552890909138318898e-01
8.616492534747238752e-01,3.673158236311611091e-01,7.508269126221148726e-01,1.666324662950350033e-01
8.885463185062592029e-01,3.878223880464434226e-01,7.520057057991931249e-01,1.799980629638915641e-01
8.683156308259811773e-01,3.647087389300088800e-01,7.636133117331912468e-01,1.895167060964882966e-01
8.144234320399325044e-01,3.389746214187890350e-01,7.561686565823404482e-01,1.971634690688839342e-01
nan,nan,nan,nan
nan,nan,6.618291597303361806e-01,2.093956187532438062e-01
nan,nan,6.869139662566491333e-01,2.459969431306349708e-01
nan,nan,6.187856568773653088e-01,2.205229745590350232e-01
nan,nan,nan,nan
