"EFI_peaks"
nan
1.397999999999999909e+00
1.415000000000000036e+00
1.379999999999999893e+00
1.308999999999999941e+00
1.237999999999999989e+00
1.131999999999999895e+00
1.044000000000000039e+00
9.909999999999999920e-01
9.200000000000000400e-01
8.309999999999999609e-01
nan
5.839999999999999636e-01
5.659999999999999476e-01
4.779999999999999805e-01
nan
