"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
6.690059493441449234e-01,4.343517839579322248e-01,nan,nan
6.600353119175077499e-01,4.317403849510223490e-01,nan,nan
6.231364244807902075e-01,4.208786320578193907e-01,nan,nan
5.959634936098445746e-01,4.009946243421018686e-01,5.120000000000000107e-01,1.021545439944886724e-01
5.728201405219286446e-01,3.920315283713148857e-01,5.154122272686298967e-01,2.010300573063149854e-01
5.577971507084003022e-01,3.631780716480633164e-01,4.988971057923248797e-01,1.981805946239778848e-01
5.678741107901242868e-01,3.792909656662653561e-01,4.633837654843813714e-01,2.109303574163262918e-01
5.664855783485803764e-01,3.711327335035167763e-01,4.662112931669300520e-01,2.323253127590033662e-01
5.487758191439965350e-01,3.503177652187944857e-01,4.854383185693202374e-01,2.801428510184993392e-01
6.068663759673510461e-01,4.274119894162659028e-01,4.909757172403099168e-01,3.078004154692983163e-01
nan,nan,nan,nan
nan,nan,4.563528606486957906e-01,3.308816387922756119e-01
nan,nan,5.540303036827816108e-01,4.400151177010849790e-01
nan,nan,3.959812338916208208e-01,2.952916099828113983e-01
nan,nan,nan,nan
