"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
6.234932573960271229e-01,3.425444626247744484e-01,nan,nan
5.935655885714338220e-01,3.224964865242646028e-01,nan,nan
5.822338083931196673e-01,3.308533169708466337e-01,nan,nan
5.794036717425784522e-01,3.205015387300467200e-01,4.769999999999999796e-01,1.099428966140797714e-01
6.076719851194979372e-01,3.471550247090763874e-01,4.793883049737347468e-01,1.406226949177721564e-01
6.222146229127694106e-01,3.564536892647295896e-01,4.727032008176086930e-01,1.975256186947406678e-01
6.452158256900881739e-01,3.684690772828427829e-01,4.740737053050636529e-01,2.053077770229725929e-01
6.260891504317668277e-01,3.863178518505242520e-01,4.932866179181020216e-01,2.335015264359642795e-01
5.836987526171455443e-01,3.342395436836301248e-01,4.953145446226562276e-01,2.416070548478256863e-01
6.108929498042582340e-01,3.356940240647602880e-01,5.029427163022021086e-01,2.640913524364665310e-01
nan,nan,nan,nan
nan,nan,4.744784296080970520e-01,2.276362698224152770e-01
nan,nan,5.119398739753177052e-01,2.682676027095254323e-01
nan,nan,4.783516795334852301e-01,2.507094328688224127e-01
nan,nan,nan,nan
