"EFI_peaks"
1.288999999999999924e+00
1.288999999999999924e+00
1.233999999999999986e+00
1.197999999999999954e+00
1.161999999999999922e+00
1.125000000000000000e+00
1.088999999999999968e+00
1.070999999999999952e+00
1.016999999999999904e+00
9.979999999999999982e-01
9.979999999999999982e-01
9.799999999999999822e-01
9.439999999999999503e-01
9.080000000000000293e-01
8.529999999999999805e-01
7.810000000000000275e-01
