"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
6.701000676007939916e-01,3.956781494103137065e-01,nan,nan
6.901057520181307359e-01,3.731432375558929038e-01,nan,nan
6.733667927489329630e-01,3.641675314993374490e-01,nan,nan
6.523693357440839558e-01,3.715041572645504386e-01,5.649999999999999467e-01,2.442616012970384443e-01
6.382269349047093865e-01,3.877495688008875674e-01,5.309207886147543354e-01,1.629804967545126493e-01
6.078609941541873729e-01,3.680347212985770056e-01,5.094104226186558781e-01,1.715090919742056630e-01
6.054189913461545114e-01,3.601871743966940653e-01,5.009062256980505445e-01,1.885049908539969676e-01
5.677861040160430139e-01,3.739839699023463915e-01,5.063465904351314162e-01,2.366329792736890369e-01
5.197878753725094780e-01,3.396936363820561855e-01,4.967564404927671817e-01,2.441507320767626887e-01
6.455610290230926473e-01,5.336682324247074005e-01,4.979103383260147231e-01,2.353309873885976733e-01
nan,nan,nan,nan
nan,nan,4.612098819907647362e-01,2.369658868842545729e-01
nan,nan,4.588550783130886379e-01,2.437357655145563629e-01
nan,nan,3.822277342969542802e-01,1.937095698005845690e-01
nan,nan,nan,nan
