"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.136417241699270830e+00,3.265881897017462454e-01,nan,nan
1.073871931227841969e+00,3.085927962401850411e-01,nan,nan
9.987254819864204158e-01,2.874701653321912742e-01,nan,nan
9.498422410918455627e-01,2.751941676589493291e-01,8.830000000000000071e-01,1.514585774767482906e-01
9.456509442998860537e-01,2.775714980309928470e-01,8.348265165140793531e-01,9.611404680431751002e-02
9.485621413448036554e-01,2.676651659128244654e-01,8.225696453222043347e-01,1.403181424966512825e-01
9.932724055298450816e-01,2.961096841436441918e-01,7.868453678245185268e-01,1.201148182138273152e-01
1.022178064659896801e+00,3.119927696025931452e-01,8.006542906079048283e-01,1.444836443071270682e-01
1.034852175781573624e+00,3.285320030650167866e-01,8.269481465529874287e-01,1.734046798751389395e-01
1.154108723308324924e+00,4.237253960834805322e-01,8.767160538605756059e-01,2.194904879193824154e-01
nan,nan,nan,nan
nan,nan,8.724233640227009312e-01,2.242845464826929702e-01
nan,nan,8.893738192921579744e-01,2.500602347486520216e-01
nan,nan,7.587645099045324804e-01,2.073501121801589464e-01
nan,nan,nan,nan
