"right.p0","right.p1","left.p0","left.p1"
1.047090143546706376e+00,2.296940299534646068e-01,nan,nan
1.017124573950643818e+00,2.257357677756382242e-01,nan,nan
9.947354245864923339e-01,2.152350889070148432e-01,nan,nan
9.802208950358487494e-01,2.216616644420189852e-01,nan,nan
9.592808835618918950e-01,2.194170499011441622e-01,8.673966552088239190e-01,7.131110656863488828e-02
9.689615277511037794e-01,2.335536980201262103e-01,8.629633458269638790e-01,7.169507685746580317e-02
9.724416523838895765e-01,2.446682041079007441e-01,8.413856313446993473e-01,7.063941758292384410e-02
9.629477217077118123e-01,2.394856802501250659e-01,8.467909037181691190e-01,9.330775524471038307e-02
9.700463174584682546e-01,2.660036006847383838e-01,8.429803007168170659e-01,1.066790778084838603e-01
9.587308627416498696e-01,2.829589050116325111e-01,8.401570822579483844e-01,1.198779774560482236e-01
9.062503406331119393e-01,2.614894710600274563e-01,8.503968185350563314e-01,1.408780551308688178e-01
8.756594045724606090e-01,2.792138153836102865e-01,8.303894929887456478e-01,1.418416269005200736e-01
nan,nan,7.873660195974496734e-01,1.274796677300014114e-01
nan,nan,7.271158077233361716e-01,1.062003299700261943e-01
nan,nan,6.640083584270102257e-01,1.099459384849835186e-01
nan,nan,6.411075520264524208e-01,1.302458648883144388e-01
