"right.p0","right.p1","left.p0","left.p1"
3.451679966728717464e+00,2.924515338543771659e-01,nan,nan
3.343877164528150203e+00,2.958895117620590764e-01,nan,nan
3.242827719195145786e+00,3.042308481700050082e-01,nan,nan
3.106994905701045528e+00,3.088685436946445595e-01,nan,nan
2.966458329045661202e+00,3.128795627874984553e-01,2.714905781623079495e+00,2.869470586625853456e-02
2.828323692333210015e+00,3.143289449524030998e-01,2.622702207678210939e+00,3.709929344345368196e-02
2.668238647928991458e+00,3.145654734194928137e-01,2.500868251124356512e+00,3.697908954628330302e-02
2.521848492617837056e+00,3.186742591621193332e-01,2.390574682211266122e+00,3.919008111318163234e-02
2.331935578691176403e+00,3.118633513795606715e-01,2.280299334380742060e+00,3.923675443498819693e-02
2.157706511483594713e+00,2.986410247928220629e-01,2.165364669721967505e+00,5.070279636715613325e-02
1.947179839694640036e+00,2.707628464515812183e-01,2.000409911831075416e+00,5.412200847588158337e-02
1.773489606128577423e+00,2.350597684689990086e-01,1.837372172988924524e+00,5.825963845119482010e-02
nan,nan,1.683137119361214351e+00,6.755692386601842847e-02
nan,nan,1.535821783656178274e+00,6.817219202717642035e-02
nan,nan,1.435293591790878676e+00,7.780263993275199352e-02
nan,nan,1.343151130239857549e+00,8.247097149740931221e-02
