"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
9.103790474411723732e-01,3.880392318899404391e-01,nan,nan
9.000649000712318548e-01,4.033685481125188765e-01,nan,nan
8.850818731450641463e-01,4.158822434200297180e-01,nan,nan
8.425704269594063156e-01,4.199098579525225583e-01,7.069999999999999618e-01,1.941033769050241886e-01
7.981783015484039678e-01,4.107053768291313300e-01,7.101985371167316430e-01,2.244484433831994974e-01
7.755389779708754538e-01,3.997679878669657683e-01,6.684503889480120087e-01,1.774455312200351187e-01
8.001266898814011208e-01,4.292468120337205595e-01,6.289098584398602476e-01,1.844320187039042158e-01
7.814529808384845788e-01,4.522054081273610970e-01,6.230669692221797451e-01,2.067208924952318450e-01
7.467616770830641793e-01,4.512420748836756257e-01,6.454113743676355153e-01,2.410827037892922242e-01
7.465354820417396953e-01,4.665642755488851878e-01,6.391704017822591455e-01,2.645511164110002089e-01
nan,nan,nan,nan
nan,nan,5.479011960339693621e-01,2.702160944828593259e-01
nan,nan,5.341047404654268860e-01,2.683275956059671397e-01
nan,nan,4.506171522496625337e-01,2.265104283705236254e-01
nan,nan,nan,nan
