"right.p0","right.p1","left.p0","left.p1"
8.821560378783885881e-01,4.393584687508321207e-01,nan,nan
8.262705993226480139e-01,4.320010057440273332e-01,nan,nan
8.038793298203488202e-01,4.423901207810898017e-01,nan,nan
7.723488343144709889e-01,4.351546613920571072e-01,nan,nan
7.622499594116167732e-01,4.491303160407222883e-01,6.187060295547655020e-01,1.348835199215823455e-01
7.410061738323834302e-01,4.540941605381528245e-01,5.944806496006160845e-01,1.129809292294340073e-01
7.396918696697912798e-01,4.596680037003351704e-01,5.745778188644276030e-01,1.266335038624001319e-01
7.030668607419003902e-01,4.751997876514966190e-01,5.780746806523472392e-01,1.595743304841198695e-01
6.841092050412014292e-01,4.972573908464877346e-01,5.547848356922577828e-01,1.603615362608453443e-01
6.049269286671650203e-01,4.361563836162349883e-01,5.613837510352773785e-01,1.949871525799904692e-01
5.557693890842687612e-01,3.925428630660280360e-01,5.322331811684091196e-01,2.204765290237389597e-01
5.480601799906493765e-01,3.838901026649447212e-01,4.931194374946540337e-01,2.413856026589299431e-01
nan,nan,4.414777736347210713e-01,2.491865796075524719e-01
nan,nan,3.977767792051828399e-01,2.614078429866903974e-01
nan,nan,4.008002491054625804e-01,3.485920362639686743e-01
nan,nan,4.096040055883221065e-01,4.106534232020039865e-01
