"EFI_peaks"
1.575318999999999914e+00
1.568515000000000104e+00
1.548280000000000101e+00
1.419893000000000072e+00
1.241608999999999963e+00
1.128838000000000008e+00
1.030761000000000038e+00
1.067075999999999913e+00
1.133734000000000020e+00
1.133734000000000020e+00
1.204555999999999960e+00
1.220299000000000023e+00
1.220299000000000023e+00
1.114274999999999904e+00
1.114274999999999904e+00
1.062467999999999968e+00
