"right.p0","right.p1","left.p0","left.p1"
9.713506020665719776e-01,3.429343722739736089e-01,nan,nan
9.929509141579357934e-01,4.141195906434385621e-01,nan,nan
9.624596362392392468e-01,4.105184145389280670e-01,nan,nan
9.164165017359199306e-01,4.027461533020877393e-01,nan,nan
8.626256401801256635e-01,4.006969832911342899e-01,7.753189916155023287e-01,1.596719114013318563e-01
8.208150102553259941e-01,3.929966309074001685e-01,7.458978611105093748e-01,1.715028979983391211e-01
7.913570238476679286e-01,3.626413713141060646e-01,6.840881524452174789e-01,1.655596294873727115e-01
8.548990138216724377e-01,4.014169183220444026e-01,6.584997998124174634e-01,1.678970227485652167e-01
8.869289555634726208e-01,4.115564428957859122e-01,6.385927767884537198e-01,1.957523560219205927e-01
8.865263027729310963e-01,3.970619619220167040e-01,6.923390154542272690e-01,2.584888204553846824e-01
9.993170292925112053e-01,4.797825247444119645e-01,7.068871217429366638e-01,2.751139425442056807e-01
nan,nan,nan,nan
nan,nan,7.187303425829077996e-01,3.340880578695016312e-01
nan,nan,8.040771960184154299e-01,3.888874033720607915e-01
nan,nan,6.429720261321175689e-01,3.119139363796716302e-01
nan,nan,nan,nan
