"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.654141739082011231e+00,3.918920126159283202e-01,nan,nan
1.674142969147411009e+00,4.049530676890186198e-01,nan,nan
1.626932751190587556e+00,4.150691349561002608e-01,nan,nan
1.540470656941713257e+00,4.071086159457011355e-01,1.342999999999999972e+00,1.397611788072301298e-01
1.461095403116545066e+00,4.121551293850552744e-01,1.332843100756866184e+00,1.794736143059146860e-01
1.390405161408494905e+00,4.085020890573473618e-01,1.269662957000159853e+00,1.602656441781176722e-01
1.363203255106673506e+00,4.046680359444481678e-01,1.190561119268779056e+00,1.574826121034300641e-01
1.326050345900049443e+00,3.990961762257326795e-01,1.122640412364712681e+00,1.703097453885501211e-01
1.248086562606747441e+00,3.747699848850736259e-01,1.109056193443459737e+00,2.031619844951011722e-01
1.259190739728172970e+00,3.989936204737664083e-01,1.113626879749363807e+00,2.323725810091343824e-01
nan,nan,nan,nan
nan,nan,9.746106214677899837e-01,2.615723391471269643e-01
nan,nan,1.104869170413687485e+00,3.463105046695987288e-01
nan,nan,8.235288134658608206e-01,2.443675435667560236e-01
nan,nan,nan,nan
