"right.p0","right.p1","left.p0","left.p1"
1.661276106480309434e+00,3.408262622278644960e-01,nan,nan
1.591434439906874942e+00,3.472647260311128026e-01,nan,nan
1.436007856224345236e+00,3.225640029436432354e-01,nan,nan
1.250726231111962461e+00,2.737333012497008555e-01,nan,nan
1.122488112191578180e+00,2.510644419512210179e-01,1.157752602691792365e+00,3.993058674083730525e-02
1.035289591289180633e+00,2.364106777395878767e-01,1.029092181095152103e+00,2.791106161131351113e-02
1.018137824857967555e+00,2.288206703477332626e-01,9.193141209057134056e-01,1.429387452134597315e-02
1.093722410434742054e+00,2.671456313033325203e-01,8.757089199097585208e-01,2.104197205684864291e-02
1.154743286214480191e+00,3.022393307350191849e-01,8.457643502646359224e-01,2.184429113023356878e-02
1.153559270818809157e+00,3.228568930218169153e-01,8.845345820376905310e-01,5.828996493695404180e-02
1.218162833206289708e+00,3.826788136149895658e-01,9.077055728504457299e-01,9.603759525520705331e-02
1.218467944958491200e+00,4.328528970206410587e-01,9.235220425521049048e-01,1.234377378777099660e-01
nan,nan,9.379203650743178633e-01,1.442258507985856308e-01
nan,nan,8.890602593257137531e-01,1.423279754144911313e-01
nan,nan,8.327512005681380058e-01,1.373219793464879879e-01
nan,nan,7.864818971290522542e-01,1.380505075083238997e-01
