"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
9.014990424251978496e-01,4.839008919332117853e-01,nan,nan
8.639056977922494607e-01,4.697418732488850557e-01,nan,nan
8.208893539985394616e-01,4.749019759118635609e-01,nan,nan
7.922901203140831905e-01,4.723175331092709373e-01,6.710000000000000409e-01,2.028168829996872813e-01
7.518799144648180555e-01,4.691519640097325805e-01,6.286355676599145736e-01,1.813063982810675656e-01
7.558416102133295178e-01,4.649893473018929524e-01,6.310294523107495834e-01,2.271530424363920608e-01
7.877031845791497844e-01,5.335590497510360741e-01,5.946225328290393186e-01,2.379803519138382062e-01
7.744668587888451361e-01,5.696640380490911593e-01,6.030124922793631548e-01,2.793298013629529897e-01
7.452305570725920036e-01,5.910462176027737602e-01,6.063382083183656013e-01,3.042709276166046251e-01
7.951684934641406466e-01,6.626800581549064928e-01,6.081559292568714525e-01,3.302620732259122782e-01
nan,nan,nan,nan
nan,nan,5.001575863923789500e-01,3.086769315311053141e-01
nan,nan,5.304837145862140169e-01,3.938283983267003019e-01
nan,nan,4.504964427572625274e-01,3.493031842897594275e-01
nan,nan,nan,nan
