"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
7.903503919762363550e-01,3.643684660723212621e-01,nan,nan
8.015446642369823405e-01,3.616472334265833921e-01,nan,nan
7.879802797391387559e-01,3.397313042272656625e-01,nan,nan
7.741184141582877487e-01,3.359297236610011561e-01,6.370000000000000107e-01,1.704913194244183083e-01
7.534427526233340444e-01,3.163657247006041451e-01,6.286355676599145736e-01,1.813063982810675656e-01
7.275722181253196919e-01,2.911320235330979167e-01,6.306101997908846180e-01,1.811399328454034729e-01
7.517241945962996885e-01,2.953949585383744969e-01,6.296061062969010580e-01,1.992683934237488852e-01
7.630908257682164075e-01,3.019926035286925603e-01,6.371958615416386529e-01,2.104018062256477750e-01
7.515758400981108478e-01,2.762002380165282100e-01,6.500530347461332958e-01,2.408220659125222540e-01
8.168799917405249467e-01,3.407612512945329408e-01,6.833496146545683381e-01,2.793954437074606112e-01
nan,nan,nan,nan
nan,nan,6.547593532045025144e-01,2.892101782468432525e-01
nan,nan,8.221071459482048871e-01,4.050985779843375711e-01
nan,nan,6.189898309052644931e-01,3.011720033650559514e-01
nan,nan,nan,nan
