"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.928187517671054119e+00,4.791207093187596633e-01,nan,nan
1.786090873740367124e+00,4.675191368302968886e-01,nan,nan
1.600168570483592179e+00,4.437736594703407533e-01,nan,nan
1.440924406619881637e+00,4.238406201253742678e-01,1.379999999999999893e+00,1.358318027739032763e-01
1.351109318258394199e+00,4.178714806097784673e-01,1.261790384870751458e+00,1.328380210968283237e-01
1.349409828618690632e+00,4.247013360053944475e-01,1.133144308062308925e+00,1.049863259091371598e-01
1.412478869243657842e+00,4.462292928613049159e-01,1.065960740545131236e+00,1.330103890951102596e-01
1.433428915847667184e+00,4.526769144548614121e-01,1.042664434680716345e+00,1.733839150719492239e-01
1.421090267353888548e+00,4.741944807168887444e-01,1.089167037307858577e+00,2.443959458697700926e-01
1.417877439427282837e+00,5.133804001895445612e-01,1.170509701636528455e+00,3.117493016008610063e-01
nan,nan,nan,nan
nan,nan,9.880854918990039648e-01,3.024721045133547670e-01
nan,nan,1.118955834133074312e+00,3.731149057765301702e-01
nan,nan,8.072810926401726705e-01,2.479218606099139743e-01
nan,nan,nan,nan
