"right.p0","right.p1","left.p0","left.p1"
1.394296528778081523e+00,3.145585976956600249e-01,nan,nan
1.325508358156014976e+00,2.997458477722310666e-01,nan,nan
1.274955955119589257e+00,3.032478170850547716e-01,nan,nan
1.245422676475706814e+00,3.030625519019597980e-01,nan,nan
1.200849293901437687e+00,3.011877226777798788e-01,1.018055670685497516e+00,3.294133386564223470e-02
1.165483227832768476e+00,3.034340513268778960e-01,1.020334002857128830e+00,6.272396347826272867e-02
1.133234946207576144e+00,3.090538851555642008e-01,1.002426583099774504e+00,7.181146402956806174e-02
1.075479037515001846e+00,2.964470938411364886e-01,9.812176213461512031e-01,8.143121427412169933e-02
1.029791646903545743e+00,2.958968324383519088e-01,9.877563539874051335e-01,1.202331203294621509e-01
1.028621051042707846e+00,3.034238935506495816e-01,9.333487704591908463e-01,1.157047158021014405e-01
1.008511805226269820e+00,3.194517414278515433e-01,8.725711822345784130e-01,1.042722579956563145e-01
9.657712327633365401e-01,2.976268145910775376e-01,8.551360464510238124e-01,1.208125209061935712e-01
nan,nan,8.464729528613570420e-01,1.379889363904962252e-01
nan,nan,8.409859244951193302e-01,1.701533336096512916e-01
nan,nan,7.688807455534983903e-01,1.646972000651385215e-01
nan,nan,6.852717327467492403e-01,1.573646658020521061e-01
