"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
9.462619414115758243e-01,4.297168221135885813e-01,nan,nan
8.786407135520352130e-01,4.231523170120100596e-01,nan,nan
8.838971010722327382e-01,4.341088690133259598e-01,nan,nan
8.596867196249776688e-01,4.214787307995816468e-01,7.429999999999999938e-01,2.634228013243316568e-01
8.489634567647925678e-01,4.307236265977409384e-01,7.088681774582864525e-01,2.018978769379011218e-01
8.431863528896472726e-01,4.427181180120498549e-01,6.830723083753872382e-01,1.967919654809968666e-01
8.842718104562641290e-01,4.951534924066554599e-01,6.818143459906212955e-01,2.299668331514226893e-01
8.905353106770130811e-01,5.386734199028764269e-01,6.874895247160678347e-01,2.701673364979397252e-01
8.693175145824914019e-01,5.743908124859886666e-01,7.229543414878240037e-01,3.111223668476245097e-01
9.803715702210147320e-01,7.214213533167895820e-01,6.915861575051290844e-01,3.095993100881779814e-01
nan,nan,nan,nan
nan,nan,5.687386718370863736e-01,2.967837252548735094e-01
nan,nan,5.878963322463537367e-01,3.154745937926056176e-01
nan,nan,4.872317723679410739e-01,2.747797856308666908e-01
nan,nan,nan,nan
