"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
8.838935345246825559e-01,4.793604549835326911e-01,nan,nan
8.793426360237958095e-01,4.948865563741485230e-01,nan,nan
8.754792177666839148e-01,5.032696143773564001e-01,nan,nan
8.260443170194348150e-01,5.131656285491275060e-01,6.720000000000000417e-01,2.476591799468780553e-01
8.113783702839931777e-01,5.358925559770658653e-01,6.777900605201753192e-01,2.621124900310061179e-01
7.845288755745909448e-01,5.458184507959794596e-01,6.467215157495090905e-01,2.492865555261641330e-01
7.837957561364397030e-01,5.927504385346925586e-01,6.129510752625807468e-01,2.401200382382308041e-01
7.697308655738328564e-01,6.412861104283453795e-01,6.028668031650138426e-01,2.775936628776886628e-01
7.097570200560353593e-01,6.504046716346837398e-01,5.946753569374236825e-01,3.074631196357778262e-01
6.908967232830888205e-01,7.337550376834468535e-01,5.763069302426359064e-01,3.269165440070723738e-01
nan,nan,nan,nan
nan,nan,4.063077689479995258e-01,2.827016025731730053e-01
nan,nan,4.165305382060551787e-01,3.224777511952886533e-01
nan,nan,3.273983176632619396e-01,2.424648360849653295e-01
nan,nan,nan,nan
