"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
2.139855404553678397e+00,4.842587932670187612e-01,nan,nan
2.147582402132430790e+00,4.993760299896202737e-01,nan,nan
2.048678824155955702e+00,5.147646312583211703e-01,nan,nan
1.893189504470033757e+00,5.269522275163013303e-01,1.677999999999999936e+00,1.772516238190199600e-01
1.738673185380983588e+00,5.436068328527239313e-01,1.658990864489206629e+00,1.833962235664758356e-01
1.577427659380647773e+00,5.231681011506364998e-01,1.525843317875345884e+00,1.635489515354291157e-01
1.561544349161123169e+00,5.581379053859598649e-01,1.330555453754252992e+00,1.529814867966168002e-01
1.450345774781994779e+00,5.731220402283705440e-01,1.253433921455653799e+00,1.692088144577841013e-01
1.318899319346130916e+00,5.827482627048153896e-01,1.223887737433317913e+00,2.180384820341304819e-01
1.399736773448693627e+00,7.290276782298271696e-01,1.121134299763705267e+00,2.388170790759698570e-01
nan,nan,nan,nan
nan,nan,8.545036276060975489e-01,2.616151437905231414e-01
nan,nan,8.499635015654500858e-01,3.080930621458745633e-01
nan,nan,5.627119734073714463e-01,2.042692756909828267e-01
nan,nan,nan,nan
