"right.p0","right.p1","left.p0","left.p1"
3.565317474896485983e+00,1.693329826501556723e-01,nan,nan
3.511342889258207922e+00,1.706505923944697800e-01,nan,nan
3.456229890430770002e+00,1.770577920140118944e-01,nan,nan
3.362252356641853623e+00,1.728713077394652131e-01,nan,nan
3.265820572176791448e+00,1.695111766268814768e-01,3.068105577487244773e+00,2.174378337681501586e-02
3.174667519682489836e+00,1.662512232373111742e-01,3.018075302313757202e+00,3.047417285089298877e-02
3.131526632647176012e+00,1.727529233871023251e-01,2.943350741813445914e+00,3.340979698105427803e-02
3.051531660309278582e+00,1.688408373129635376e-01,2.874927135313180671e+00,2.626351628264580670e-02
2.967373495989263255e+00,1.670811615976824371e-01,2.821156361180444438e+00,3.643560679328955443e-02
2.871200656933563522e+00,1.637114589540621112e-01,2.772656212714853741e+00,4.364768923359303721e-02
2.772182422066794771e+00,1.629245866727750403e-01,2.694626645782093988e+00,4.333014081649051025e-02
2.653760887419658321e+00,1.468140027836637718e-01,2.640809123515244217e+00,5.033218214234709553e-02
nan,nan,2.556997646078809083e+00,5.309508061221193675e-02
nan,nan,2.450827856248763315e+00,4.954585562075548844e-02
nan,nan,2.309709956231662975e+00,4.459365962980888637e-02
nan,nan,2.217039645223946920e+00,4.793529350692155022e-02
