"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.139646836712101097e+00,3.399234873990896744e-01,nan,nan
1.095132043918590536e+00,3.707336345376923137e-01,nan,nan
1.103168646828272648e+00,3.830458957225427175e-01,nan,nan
1.183348071269280100e+00,3.748936101997407122e-01,9.539999999999999591e-01,1.396222412787872236e-01
1.180862482589907669e+00,3.967975557185014490e-01,9.535088069041093295e-01,1.666427566277055294e-01
1.141058834900761765e+00,3.892060443585267926e-01,9.616843253634284050e-01,2.055444385692193066e-01
1.273640481968950189e+00,4.275356142701365880e-01,9.318272776297099602e-01,2.006423967658335639e-01
1.251067683546595033e+00,4.354070431189276391e-01,9.551780355197435624e-01,2.480838005846230654e-01
1.198860024550282510e+00,4.581433135681900470e-01,1.047564297100257447e+00,3.141142836672782823e-01
1.342430255522194082e+00,6.117777808628813707e-01,1.057538347575589732e+00,3.295098413703804185e-01
nan,nan,nan,nan
nan,nan,9.007781596717072681e-01,2.961663973692666429e-01
nan,nan,9.337645408777768274e-01,3.484962164023977516e-01
nan,nan,6.394553987966677955e-01,2.154271616076502138e-01
nan,nan,nan,nan
