"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
8.820953538653684145e-01,2.465363084784647218e-01,nan,nan
9.144611593037560437e-01,2.667071553331225031e-01,nan,nan
9.154462631196564892e-01,2.716783610176886077e-01,nan,nan
9.078378062632743717e-01,2.769902344641742564e-01,7.780000000000000249e-01,1.017891600838952693e-01
9.001828888397261919e-01,2.777504349811975581e-01,7.814014771793337255e-01,1.282686285221980860e-01
8.849671484200996030e-01,2.762397442402757530e-01,7.544448676542566679e-01,1.065785098885170951e-01
9.077604462638274585e-01,3.040448544603637782e-01,7.557224141307297138e-01,1.308054605240059898e-01
9.305339910719656604e-01,3.224683205734735214e-01,7.556137223344083775e-01,1.381719618226104618e-01
9.066166572810103741e-01,3.410097873461864215e-01,7.883892988210939867e-01,1.807413151919756433e-01
9.388809741465509173e-01,3.893445631136200347e-01,7.931154892923554245e-01,1.957961398108152562e-01
nan,nan,nan,nan
nan,nan,7.243689711293520572e-01,2.039916100576219526e-01
nan,nan,7.556549339282697675e-01,2.378596788240776305e-01
nan,nan,6.291998123501030271e-01,1.853853598409056225e-01
nan,nan,nan,nan
