"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.128795401346179839e+00,4.891130091894260179e-01,nan,nan
1.065887266354754948e+00,4.647928035876239261e-01,nan,nan
9.391588666245230810e-01,4.246627873683672671e-01,nan,nan
8.788964047998606421e-01,4.162122898479866939e-01,7.770000000000000240e-01,2.486239629096275161e-01
8.542165732134555656e-01,4.273141475438275716e-01,7.453843630841227030e-01,2.123221681758930834e-01
8.496321646050110088e-01,4.368274560133514339e-01,6.960885900830463546e-01,1.922159278676915939e-01
9.350674809941922350e-01,4.756640149907899184e-01,6.598611299408575492e-01,1.939499248215952598e-01
9.252024297108397688e-01,5.001485276669295210e-01,6.556397030641061274e-01,2.343492180521325463e-01
9.082431017772529813e-01,4.874231881877557071e-01,6.961969409395453168e-01,2.864303717818509898e-01
1.016185863299202019e+00,5.965520022525031552e-01,7.075280009767469513e-01,3.145545115585331453e-01
nan,nan,nan,nan
nan,nan,6.654325970912584598e-01,3.314106290104790742e-01
nan,nan,7.041535844621729101e-01,3.582228947778680062e-01
nan,nan,5.108594410365001615e-01,2.402225608354708053e-01
nan,nan,nan,nan
