Validation,mean r2
Validation1,0.8546191100376163
Validation2,0.8236798470993365
Validation3,0.912849736813346
Validation4,0.8409109065107923
Validation5,0.8773766538788097
Validation6,0.8166371519558162
Validation7,0.8818757024164021
Validation8,0.8425527468489156
Validation9,0.904369867700052
Validation10,0.7428926383551345
