Validation,mean r2
Validation1,0.7342823997824159
Validation2,0.7837199283456804
Validation3,0.9008169967521418
Validation4,0.7813734155613196
Validation5,0.7597997428723222
Validation6,0.7862251954781779
Validation7,0.9198040408144612
Validation8,0.9027128999661428
Validation9,0.9269057719569136
Validation10,0.743726380492408
