3.3750e-01	3.3373e-01	3.3994e-01	3.4618e-01	3.5246e-01	3.6387e-01	3.7627e-01	4.0212e-01	4.3097e-01	5.0063e-01	5.4618e-01	6.6628e-01	7.8842e-01	9.4829e-01
4.0973e-01	3.9217e-01	4.0415e-01	4.2168e-01	4.3942e-01	4.5897e-01	4.8699e-01	5.1555e-01	5.8279e-01	6.5984e-01	7.1380e-01	9.4162e-01	1.0418e+00	1.1207e+00
4.8334e-01	4.8099e-01	4.9584e-01	5.0841e-01	5.2809e-01	5.6338e-01	5.9452e-01	6.5735e-01	7.3924e-01	8.2518e-01	9.5417e-01	1.2590e+00	1.3088e+00	1.0303e+00
5.1031e-01	5.0188e-01	5.1450e-01	5.3761e-01	5.7369e-01	6.1062e-01	6.7075e-01	7.5617e-01	8.4295e-01	1.0004e+00	1.2092e+00	1.5113e+00	1.2444e+00	9.6747e-01
6.1530e-01	5.7514e-01	6.3367e-01	7.0924e-01	7.5918e-01	8.2036e-01	9.2239e-01	1.0301e+00	1.2142e+00	1.4528e+00	1.6569e+00	1.4945e+00	1.1771e+00	8.9448e-01
7.2577e-01	7.1077e-01	7.5537e-01	8.0131e-01	8.5995e-01	9.6420e-01	1.0743e+00	1.2572e+00	1.5097e+00	1.7373e+00	1.9131e+00	1.2827e+00	9.8631e-01	7.6783e-01
8.1806e-01	8.1542e-01	8.4688e-01	9.0039e-01	1.0069e+00	1.1194e+00	1.2992e+00	1.5564e+00	1.7984e+00	1.9972e+00	1.7532e+00	1.0826e+00	8.4586e-01	6.8969e-01
9.2297e-01	9.2647e-01	9.6741e-01	1.0566e+00	1.1655e+00	1.3419e+00	1.6039e+00	1.8528e+00	2.0676e+00	1.8369e+00	1.5331e+00	9.2733e-01	7.6427e-01	6.1500e-01
1.0339e+00	1.0545e+00	1.1477e+00	1.2451e+00	1.3914e+00	1.6369e+00	1.8878e+00	2.1217e+00	1.9014e+00	1.6101e+00	1.3306e+00	8.4214e-01	6.8629e-01	5.5599e-01
1.1530e+00	1.2427e+00	1.3444e+00	1.4952e+00	1.7258e+00	1.9367e+00	2.1505e+00	1.9437e+00	1.6800e+00	1.4014e+00	1.1605e+00	7.6072e-01	6.2275e-01	5.2545e-01
1.3296e+00	1.4474e+00	1.6035e+00	1.8441e+00	2.0578e+00	2.2610e+00	1.9981e+00	1.7297e+00	1.4644e+00	1.2322e+00	1.0786e+00	6.9238e-01	5.9090e-01	4.9550e-01
1.4500e+00	1.7165e+00	1.9675e+00	2.1839e+00	2.3969e+00	2.1199e+00	1.8408e+00	1.5375e+00	1.2957e+00	1.1476e+00	9.9980e-01	6.5916e-01	5.5967e-01	4.6959e-01
1.6197e+00	2.0039e+00	2.3082e+00	2.5385e+00	2.2467e+00	1.9562e+00	1.6541e+00	1.3979e+00	1.2263e+00	1.0656e+00	9.1591e-01	6.2659e-01	5.3369e-01	4.6809e-01
1.8525e+00	2.2140e+00	2.6123e+00	2.3644e+00	2.0763e+00	1.7760e+00	1.5050e+00	1.3277e+00	1.1570e+00	1.0040e+00	8.7675e-01	6.0418e-01	5.3556e-01	4.6988e-01
2.0521e+00	2.4167e+00	2.3152e+00	2.1641e+00	1.8826e+00	1.6098e+00	1.4300e+00	1.2518e+00	1.0894e+00	9.8375e-01	8.4711e-01	6.0613e-01	5.3743e-01	4.7167e-01
2.2457e+00	2.1459e+00	2.0144e+00	1.8814e+00	1.6846e+00	1.5148e+00	1.3464e+00	1.1785e+00	1.0743e+00	9.8180e-01	8.4288e-01	6.0609e-01	5.3930e-01	4.7346e-01
