"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_13","Stim_14","Stim_15"
3.768659830093383789e-01,3.771150112152099609e-01,3.773643970489501953e-01,3.805196285247802734e-01,3.893991708755493164e-01,3.983358144760131836e-01,4.073299169540405273e-01,4.163818359375000000e-01,4.174128770828247070e-01,4.364452362060546875e-01,4.719783067703247070e-01,5.481250286102294922e-01,5.983090400695800781e-01,7.217308282852172852e-01
4.068242311477661133e-01,4.070788621902465820e-01,4.125292301177978516e-01,4.216145277023315430e-01,4.307583570480346680e-01,4.399609565734863281e-01,4.492229223251342773e-01,4.774298667907714844e-01,5.104030370712280273e-01,5.438346862792968750e-01,5.825675725936889648e-01,7.290138006210327148e-01,8.917820453643798828e-01,9.908152818679809570e-01
4.374344348907470703e-01,4.452807903289794922e-01,4.550856351852416992e-01,4.663767814636230469e-01,4.777554273605346680e-01,5.128413438796997070e-01,5.573865175247192383e-01,5.988986492156982422e-01,6.257544755935668945e-01,6.754646301269531250e-01,7.881166934967041016e-01,1.080891370773315430e+00,1.178752422332763672e+00,9.851795434951782227e-01
4.881265163421630859e-01,4.965742826461791992e-01,5.050699710845947266e-01,5.162404775619506836e-01,5.582258701324462891e-01,6.000442504882812500e-01,6.374413967132568359e-01,6.783657073974609375e-01,7.476317882537841797e-01,8.257898092269897461e-01,9.304066896438598633e-01,1.272053003311157227e+00,1.069231033325195312e+00,8.446835279464721680e-01
5.245441198348999023e-01,5.348477363586425781e-01,5.487529039382934570e-01,5.933506488800048828e-01,6.392327547073364258e-01,6.800307035446166992e-01,7.359340190887451172e-01,8.284569978713989258e-01,9.174500703811645508e-01,1.054783344268798828e+00,1.231412887573242188e+00,1.156840324401855469e+00,9.289717674255371094e-01,7.264844179153442383e-01
6.028858423233032227e-01,6.180567741394042969e-01,6.646504402160644531e-01,7.125855684280395508e-01,7.573792934417724609e-01,8.285619020462036133e-01,9.260219335556030273e-01,1.051779031753540039e+00,1.236153125762939453e+00,1.412918567657470703e+00,1.466411352157592773e+00,1.022712230682373047e+00,8.087522983551025391e-01,6.221308708190917969e-01
6.931148767471313477e-01,7.391406297683715820e-01,7.892208099365234375e-01,8.382887840270996094e-01,9.201328754425048828e-01,1.008339166641235352e+00,1.138543128967285156e+00,1.323084354400634766e+00,1.499320983886718750e+00,1.561052560806274414e+00,1.351530313491821289e+00,8.949401378631591797e-01,6.950136423110961914e-01,5.671151876449584961e-01
8.064134120941162109e-01,8.429275751113891602e-01,8.841097354888916016e-01,9.691216945648193359e-01,1.059678077697753906e+00,1.189598798751831055e+00,1.388308763504028320e+00,1.605114221572875977e+00,1.665065288543701172e+00,1.451649665832519531e+00,1.219516277313232422e+00,7.752391099929809570e-01,6.287909746170043945e-01,5.399090051651000977e-01
8.811326026916503906e-01,9.217762947082519531e-01,1.010386705398559570e+00,1.120551347732543945e+00,1.263077259063720703e+00,1.465215444564819336e+00,1.685407876968383789e+00,1.792376041412353516e+00,1.552661895751953125e+00,1.314014673233032227e+00,1.094913244247436523e+00,7.009720802307128906e-01,6.005140542984008789e-01,5.131752490997314453e-01
9.952405691146850586e-01,1.090089321136474609e+00,1.196449756622314453e+00,1.338329553604125977e+00,1.552133560180664062e+00,1.778743028640747070e+00,1.881110906600952148e+00,1.686935186386108398e+00,1.405951261520385742e+00,1.184106826782226562e+00,9.773052930831909180e-01,6.635042428970336914e-01,5.727280378341674805e-01,4.869056940078735352e-01
1.169960260391235352e+00,1.280385017395019531e+00,1.423689365386962891e+00,1.645298242568969727e+00,1.887169599533081055e+00,1.996659517288208008e+00,1.778034210205078125e+00,1.505875587463378906e+00,1.263263463973999023e+00,1.058290481567382812e+00,8.972505331039428711e-01,6.339071989059448242e-01,5.450782775878906250e-01,4.610786437988281250e-01
1.367527723312377930e+00,1.512164592742919922e+00,1.741863250732421875e+00,1.992564201354980469e+00,2.109295129776000977e+00,1.894473314285278320e+00,1.584911584854125977e+00,1.331672668457031250e+00,1.119842767715454102e+00,9.547655582427978516e-01,8.322191238403320312e-01,6.037787199020385742e-01,5.166077613830566406e-01,4.534108638763427734e-01
1.603870391845703125e+00,1.841953516006469727e+00,2.101805925369262695e+00,2.226163625717163086e+00,2.017997503280639648e+00,1.695112466812133789e+00,1.406772136688232422e+00,1.169580221176147461e+00,1.009660482406616211e+00,8.792645931243896484e-01,7.867230176925659180e-01,5.625261068344116211e-01,4.972271919250488281e-01,4.515281915664672852e-01
1.911295890808105469e+00,2.212701320648193359e+00,2.347424983978271484e+00,2.146793603897094727e+00,1.810129165649414062e+00,1.509483575820922852e+00,1.241002559661865234e+00,1.043831586837768555e+00,9.279439449310302734e-01,8.446635007858276367e-01,7.423568964004516602e-01,5.342657566070556641e-01,4.874361753463745117e-01,4.420359134674072266e-01
2.253747940063476562e+00,2.438157320022583008e+00,2.281085252761840820e+00,1.930053234100341797e+00,1.616577386856079102e+00,1.336639165878295898e+00,1.100777864456176758e+00,9.632370471954345703e-01,8.863499164581298828e-01,8.106993436813354492e-01,6.990920305252075195e-01,5.242325067520141602e-01,4.777091741561889648e-01,4.326058626174926758e-01
2.458943605422973633e+00,2.359841585159301758e+00,2.036073446273803711e+00,1.728242397308349609e+00,1.436357021331787109e+00,1.190015316009521484e+00,1.006164789199829102e+00,9.124817848205566406e-01,8.516184091567993164e-01,7.773604393005371094e-01,6.606785058975219727e-01,5.245809555053710938e-01,4.830958843231201172e-01,4.427398443222045898e-01
