Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.49E+00,3.20E+01,8.96E-01,7.90E+00,4.51E+00,6.341265615
2.38E+00,3.18E+01,9.45E-01,8.53E+00,4.08E+00,6.411979975
2.31E+00,3.70E+01,9.57E-01,7.56E+00,4.36E+00,4.597322026
2.42E+00,2.33E+01,9.37E-01,9.23E+00,4.12E+00,13.58076503
2.14E+00,3.55E+01,9.49E-01,8.54E+00,3.91E+00,5.033562542
2.31E+00,2.77E+01,9.49E-01,7.62E+00,4.74E+00,8.884289508
2.35E+00,3.85E+01,9.40E-01,7.75E+00,4.65E+00,4.213478064
2.44E+00,2.76E+01,9.36E-01,8.24E+00,4.22E+00,8.973818872
2.45E+00,2.27E+01,9.30E-01,9.69E+00,3.69E+00,14.52966871
2.40E+00,2.84E+01,9.50E-01,8.51E+00,4.39E+00,8.356619975
2.37E+00,2.83E+01,9.58E-01,7.61E+00,4.71E+00,8.410332158
2.35E+00,3.66E+01,9.33E-01,7.94E+00,4.19E+00,4.703853083
2.27E+00,3.44E+01,9.39E-01,8.25E+00,4.11E+00,5.370524512
2.31E+00,3.30E+01,9.28E-01,8.20E+00,4.40E+00,5.922833947
2.39E+00,2.80E+01,9.49E-01,7.73E+00,4.51E+00,8.624348234
2.38E+00,2.90E+01,9.33E-01,8.11E+00,4.23E+00,7.975638883
2.45E+00,2.19E+01,9.40E-01,9.56E+00,3.61E+00,15.8367855
2.42E+00,3.41E+01,9.44E-01,7.89E+00,4.53E+00,5.479933511
2.29E+00,4.21E+01,9.48E-01,7.62E+00,4.45E+00,3.462498676
2.37E+00,3.97E+01,9.26E-01,7.61E+00,4.29E+00,3.926600241
2.49E+00,3.91E+01,9.41E-01,7.50E+00,4.63E+00,4.062278507
2.22E+00,2.93E+01,9.55E-01,8.75E+00,4.05E+00,7.788527304
2.47E+00,2.43E+01,9.30E-01,8.04E+00,4.55E+00,12.14201671
2.43E+00,2.68E+01,9.56E-01,7.39E+00,4.77E+00,9.587204673
2.36E+00,3.65E+01,9.41E-01,7.92E+00,4.17E+00,4.714911113
2.47E+00,4.25E+01,9.06E-01,7.58E+00,4.46E+00,3.394741907
2.34E+00,3.10E+01,9.48E-01,7.58E+00,4.58E+00,6.797308429
2.44E+00,3.64E+01,9.40E-01,7.99E+00,4.31E+00,4.747475751
2.33E+00,2.86E+01,9.34E-01,9.13E+00,3.65E+00,8.227295563
2.44E+00,2.07E+01,9.40E-01,9.67E+00,3.72E+00,18.52299729
2.41E+00,2.27E+01,9.42E-01,7.93E+00,4.85E+00,14.53985863
2.46E+00,2.21E+01,9.42E-01,9.29E+00,3.73E+00,15.55444399
2.43E+00,3.18E+01,9.34E-01,7.90E+00,4.77E+00,6.429417202
2.34E+00,2.31E+01,9.56E-01,9.15E+00,3.98E+00,13.86887258
2.47E+00,2.08E+01,9.38E-01,8.25E+00,4.69E+00,18.336881
2.23E+00,3.86E+01,9.60E-01,7.53E+00,4.34E+00,4.187473805
2.45E+00,3.22E+01,9.54E-01,7.99E+00,4.00E+00,6.263380307
2.44E+00,3.88E+01,9.35E-01,7.56E+00,4.64E+00,4.138733608
2.29E+00,3.29E+01,9.56E-01,7.79E+00,4.61E+00,5.957343773
2.36E+00,3.74E+01,9.35E-01,7.85E+00,4.54E+00,4.476750223
2.39E+00,2.99E+01,9.59E-01,7.46E+00,4.74E+00,7.376487126
2.32E+00,2.94E+01,9.24E-01,9.27E+00,3.69E+00,7.691068397
2.38E+00,2.55E+01,9.44E-01,8.03E+00,4.82E+00,10.86488448
2.28E+00,3.32E+01,9.48E-01,8.67E+00,3.93E+00,5.819158084
2.35E+00,2.10E+01,9.55E-01,9.57E+00,3.60E+00,17.74992332
2.37E+00,2.82E+01,9.43E-01,8.91E+00,3.75E+00,8.459696891
2.28E+00,2.20E+01,9.50E-01,1.02E+01,3.55E+00,15.71264678
2.45E+00,2.84E+01,9.49E-01,7.40E+00,4.76E+00,8.363097167
2.29E+00,3.20E+01,9.44E-01,7.96E+00,4.42E+00,6.342589956
2.31E+00,3.65E+01,9.31E-01,8.02E+00,4.16E+00,4.732241687
2.33E+00,3.52E+01,9.54E-01,7.63E+00,4.66E+00,5.110331744
2.40E+00,2.24E+01,9.36E-01,9.58E+00,3.68E+00,15.06459739
2.48E+00,3.04E+01,9.34E-01,7.65E+00,4.67E+00,7.152511989
2.45E+00,3.54E+01,9.46E-01,7.46E+00,4.64E+00,5.040220081
2.44E+00,3.73E+01,9.53E-01,7.70E+00,4.41E+00,4.492352228
2.46E+00,3.50E+01,9.16E-01,7.81E+00,4.63E+00,5.188255134
2.27E+00,3.84E+01,9.46E-01,7.87E+00,4.45E+00,4.238336389
