Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.3503,30.2509,0.9468,7.6916,4.649,7.2075
2.4239,31.4426,0.9489,7.389,4.6561,6.5948
2.3229,29.4441,0.9479,7.7868,4.4602,7.6746
2.3792,32.8047,0.9296,7.4294,4.7007,5.9891
2.3982,33.8363,0.9251,7.3752,4.6897,5.5864
2.3318,31.6319,0.9582,7.9142,4.6949,6.505
2.3095,33.3309,0.9509,7.6286,4.5598,5.7782
2.4109,33.0753,0.9327,7.4422,4.7897,5.8792
2.3847,32.649,0.9459,7.7019,4.8146,6.0539
2.3458,32.125,0.9487,7.7666,4.6429,6.28
2.3631,35.4991,0.9544,7.4767,4.8759,5.0209
2.3671,34.0962,0.9553,7.399,4.7895,5.4916
2.3184,33.5196,0.9554,7.6909,4.6684,5.7054
2.3167,34.6119,0.9502,7.521,4.6466,5.3108
2.4139,32.6472,0.9525,7.4084,4.5661,6.0546
2.4188,33.2282,0.9311,7.4861,4.7995,5.8185
2.4062,33.3353,0.9553,7.4788,4.7583,5.7765
2.3197,32.9751,0.9506,7.4438,4.6948,5.9195
2.3591,36.3697,0.9533,7.5255,4.8818,4.7598
2.3402,35.1269,0.9404,7.441,4.728,5.1394
2.4356,32.3112,0.9331,7.4142,4.8821,6.1981
2.3389,30.6116,0.9565,7.5131,4.4187,7.0129
2.3645,31.4697,0.9441,7.6953,4.5799,6.5818
2.3772,32.347,0.9374,7.4001,4.7305,6.1826
2.3904,33.2062,0.9586,7.4246,4.7637,5.8271
2.3616,31.8059,0.9597,7.8455,4.7995,6.4242
2.3456,30.8227,0.9542,7.7487,4.698,6.9029
2.3065,33.5523,0.9579,7.6141,4.6066,5.6929
2.4012,34.5646,0.9317,7.3419,4.7479,5.327
2.381,35.5103,0.9315,7.341,4.8676,5.0174
2.3281,30.6921,0.9518,8.0684,4.5284,6.9706
2.3603,31.2387,0.9572,7.553,4.7255,6.6937
2.427,32.244,0.9318,7.4936,4.8097,6.2274
2.3189,35.3086,0.9581,7.4189,4.8017,5.081
2.2824,32.1191,0.9494,7.7407,4.4918,6.2826
2.3445,32.8056,0.9447,7.4823,4.6827,5.9888
2.4271,29.4881,0.9551,7.3957,4.643,7.6479
2.4056,31.1929,0.9571,7.3698,4.6478,6.7163
2.4121,31.669,0.9492,7.403,4.4722,6.4877
2.3697,31.2374,0.9488,7.5998,4.7475,6.6944
2.3732,31.3629,0.9562,7.5537,4.8315,6.6332
2.3516,31.5479,0.9508,7.7308,4.6945,6.5446
2.3275,32.7338,0.9492,7.5081,4.6014,6.0185
2.4011,31.6189,0.9547,7.6274,4.9442,6.5111
2.3536,31.048,0.955,7.874,4.7883,6.7884
2.3977,31.3773,0.9469,7.6507,4.7875,6.6262
2.3073,31.5508,0.9509,7.716,4.5142,6.5433
2.3927,34.8539,0.9483,7.3678,4.7864,5.2292
2.2795,31.4316,0.9588,7.7451,4.522,6.6001
