Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.3211,55.073,0.855,8.5769,3.9358,1.9879
2.2287,40.6945,0.8568,9.7955,3.7145,3.7306
2.1513,41.1456,0.891,9.682,3.6335,3.6436
2.1133,42.7367,0.8639,9.5635,3.6084,3.361
2.179,54.5775,0.8624,8.1568,3.9165,2.0246
2.2577,51.2406,0.8612,8.1017,4.0697,2.3028
2.115,45.8551,0.8505,8.7834,3.6223,2.8979
2.3239,50.4137,0.8687,8.2066,3.827,2.381
2.1261,48.7762,0.8795,8.3302,3.8734,2.5488
2.2559,45.3255,0.8667,8.7882,3.91,2.9693
2.4193,52.7722,0.8598,8.2165,4.4797,2.1681
2.167,55.1056,0.8563,8.0799,4.1593,1.9855
2.194,53.6833,0.8729,7.7123,4.3132,2.0938
2.2238,53.0959,0.8697,8.0067,3.796,2.1413
2.2409,52.0908,0.8588,8.2261,4.1579,2.2265
2.2447,51.2592,0.862,8.2669,4.1668,2.3011
2.2819,42.8995,0.8555,9.2114,3.8125,3.3341
2.1555,55.7402,0.8621,8.0295,4.0846,1.9399
2.1827,55.2066,0.8698,8.0849,4.0371,1.9781
2.2934,43.0021,0.8534,8.8579,3.7205,3.3172
2.0519,46.5992,0.8956,8.584,3.7223,2.8022
2.1909,58.0874,0.8541,8.2411,4.2781,1.785
2.2835,57.7451,0.8695,8.2642,4.2372,1.8064
2.159,59.0547,0.8859,7.7262,4.2634,1.7268
2.276,53.7505,0.8516,8.211,4.4308,2.0885
2.2339,45.7685,0.868,8.6791,3.8434,2.9094
2.1702,42.81,0.852,9.4724,3.6735,3.3488
2.2102,43.1189,0.8783,9.1487,3.8666,3.2982
2.1966,57.8218,0.8619,8.0827,4.1566,1.8016
2.1639,40.8696,0.8765,9.7309,3.5752,3.6964
2.2741,58.0943,0.8657,8.3211,3.7918,1.7846
2.2217,43.3124,0.8616,8.9238,3.8591,3.2672
2.26,55.4381,0.8707,7.9685,4.3663,1.9614
2.2669,57.2862,0.8709,7.9032,4.5042,1.8357
2.1484,52.1765,0.8572,8.1167,3.8605,2.219
2.12,52.6859,0.8597,8.1179,3.9208,2.1754
2.291,54.4793,0.8518,8.5157,3.8588,2.0321
2.1936,54.8391,0.8683,7.985,4.1287,2.0051
2.3036,52.7395,0.8635,8.0246,4.2567,2.1709
2.2045,53.3129,0.8708,7.8147,4.1032,2.1235
2.2142,55.3341,0.8586,8.1231,4.1791,1.9689
2.3449,54.1929,0.8622,8.3361,3.9877,2.0539
2.3593,53.8695,0.8528,8.416,4.4312,2.0791
2.3042,43.7219,0.8688,8.7981,3.8784,3.2029
2.3658,44.296,0.8553,9.0829,4.1824,3.116
2.3216,48.7714,0.8594,8.3937,3.9136,2.5493
2.3706,52.1651,0.8622,8.2044,4.3582,2.22
2.3737,51.2638,0.8591,8.2872,4.5615,2.3006
2.1184,60.1024,0.8685,8.0057,3.9878,1.6669
2.1453,40.3177,0.8712,9.9803,3.6313,3.8057
2.252,56.0564,0.8671,7.9912,4.0978,1.9179
2.3291,55.6534,0.8753,7.9115,4.7672,1.9461
2.2851,43.4359,0.8568,9.0983,3.9615,3.2476
2.1702,54.0585,0.8557,8.3511,3.7182,2.0643
2.2697,52.4513,0.8746,8.0163,4.2302,2.1953
2.2878,54.9569,0.8542,8.3049,4.3669,1.9964
2.3044,54.6244,0.8599,8.3945,3.8961,2.0211
2.2652,55.3823,0.8682,8.0914,3.919,1.9654
2.2533,49.8523,0.8559,8.222,4.1646,2.4365
2.2485,51.7418,0.878,8.1171,4.5513,2.2573
2.2826,55.9707,0.8718,7.972,4.1461,1.9238
2.3237,57.9991,0.8782,7.9413,4.367,1.7905
2.2133,57.4862,0.8815,7.6258,4.4395,1.8228
2.3451,55.7052,0.8511,8.5718,4.0109,1.9424
2.2987,55.9682,0.8768,7.7985,4.7287,1.924
2.3421,56.1567,0.8525,8.3997,4.345,1.911
2.1169,45.6059,0.8816,8.7921,3.6967,2.9312
2.2371,56.3784,0.854,8.5549,4.289,1.8958
2.1941,53.9824,0.868,8.0076,3.8802,2.0703
2.2101,54.2412,0.8587,8.2484,4.1077,2.0502
2.3243,53.9644,0.854,8.4632,4.507,2.0717
2.1712,43.4501,0.8687,9.2814,3.8322,3.2453
2.3735,55.4514,0.8737,8.0813,4.4095,1.9605
2.2324,54.4196,0.8583,8.1908,4.1679,2.0366
2.1457,45.3525,0.8584,8.812,3.6937,2.9656
2.1636,42.3517,0.8583,9.4064,3.6776,3.4262
2.4125,53.0536,0.8614,8.2576,4.36,2.1447
2.2762,58.0471,0.856,8.2734,4.3495,1.7875
2.3126,47.2479,0.8555,8.7518,4.242,2.7227
2.2809,46.2255,0.8512,8.5935,4.0125,2.8496
2.3664,56.7376,0.8764,7.908,4.629,1.8716
2.2798,50.7021,0.8604,8.2244,4.1235,2.3533
2.1644,52.5327,0.8583,8.1882,4.0188,2.1884
2.1939,54.1649,0.8559,8.3717,3.8899,2.0561
2.1759,54.1174,0.8708,7.8167,4.2239,2.0598
2.1143,44.536,0.8731,9.0166,3.6676,3.0808
2.3852,53.244,0.8647,8.2144,4.498,2.1291
2.1864,44.2371,0.8773,9.1012,3.9266,3.1248
2.2551,50.0621,0.8513,8.2319,4.0029,2.4155
2.2096,54.5581,0.8942,7.634,4.0444,2.0261
2.1662,55.0868,0.8741,7.7952,4.0662,1.9868
2.2506,41.5255,0.8531,9.129,3.6896,3.5728
2.3098,53.1245,0.8618,8.3289,4.09,2.1389
2.3184,49.3542,0.8599,8.2412,4.1403,2.4875
2.2477,42.2041,0.8597,8.9822,3.6348,3.4517
2.3567,44.1516,0.8567,9.1891,4.2412,3.1375
2.2095,69.0654,0.8745,8.1835,4.402,1.2651
