Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.3315,20.2775,0.9229,9.8904,3.7331,19.57
2.274,21.3124,0.9165,10.3555,3.6766,17.1122
2.1977,20.5248,0.9543,10.4304,3.6334,18.9344
2.282,20.1723,0.9555,10.1992,3.776,19.8505
2.3062,20.9985,0.9375,9.8132,3.792,17.8039
2.2888,23.8442,0.9562,9.723,4.1507,12.7944
2.2466,21.699,0.9489,10.2675,3.6684,16.3162
2.2321,20.648,0.9584,10.2662,3.8077,18.6297
2.2904,21.4432,0.9528,9.9782,3.711,16.8361
2.2259,20.5897,0.9504,10.421,3.7393,18.7731
2.4029,22.2155,0.9198,9.1971,3.976,15.3401
2.2539,21.127,0.9491,10.2934,3.6083,17.5156
2.2178,20.5327,0.9591,10.3776,3.6205,18.9147
2.2947,22.1118,0.9428,9.8793,3.9211,15.5287
2.3043,21.4035,0.9559,9.8555,3.8725,16.9192
2.4052,21.3817,0.901,9.4416,3.8484,16.965
2.4097,22.8699,0.9234,9.1743,4.1107,14.2293
2.3183,20.6601,0.9041,10.2137,3.749,18.6003
2.318,23.3547,0.9577,9.4318,4.146,13.4855
2.4139,22.4949,0.9122,9.2079,4.0134,14.8499
2.3373,20.6309,0.9462,9.8171,3.9415,18.6716
2.3732,22.418,0.9312,9.2041,4.022,14.9823
2.2809,20.4384,0.9543,10.1638,3.8458,19.1528
2.395,22.9606,0.9159,9.2049,3.9931,14.0853
2.3499,20.8278,0.9493,9.4899,4.0249,18.1988
2.2205,20.7833,0.956,10.1695,3.7393,18.3042
2.2348,20.8275,0.9494,10.2993,3.7903,18.1996
2.2749,22.0406,0.9583,9.9274,4.069,15.6602
2.2494,21.5185,0.9578,10.2183,4.0105,16.6804
2.1423,20.8022,0.9551,10.4655,3.63,18.2593
2.3313,22.1406,0.9446,9.7359,4.0148,15.476
2.2482,22.1504,0.9529,10.1569,3.8855,15.458
2.3618,21.4169,0.9267,9.5753,3.8949,16.8911
2.4567,23.1544,0.9003,8.9137,4.1152,13.7852
2.3493,23.1787,0.9289,9.2992,3.9358,13.7483
2.248,20.4414,0.9435,10.4082,3.6923,19.1451
2.3323,21.5056,0.9517,9.6002,4.0202,16.7069
2.2476,20.8289,0.9326,10.3546,3.7227,18.1964
2.3546,20.6876,0.9392,9.5072,3.9612,18.5335
2.3297,20.5588,0.9485,9.9204,3.7266,18.8495
2.243,20.6752,0.955,10.2646,3.6278,18.5637
2.2583,20.2059,0.9456,10.29,3.5655,19.7602
2.2935,21.1277,0.9413,9.8402,3.8069,17.5139
2.2829,20.5749,0.9268,10.2198,3.5509,18.8095
2.4182,20.5945,0.9082,9.3657,3.8852,18.7612
2.2955,20.2886,0.942,10.3174,3.6446,19.5407
2.4793,22.3942,0.8914,9.0499,4.0743,15.0237
