Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.1319,23.1317,0.8823,7.8536,4.7966,13.8198
2.1971,26.7742,0.8561,8.1391,4.6628,9.6143
2.1265,32.3105,0.8599,7.845,4.927,6.1984
2.2091,26.5216,0.8505,7.9221,4.6918,9.8368
2.0925,22.4073,0.8975,8.2893,4.9213,15.0009
2.1522,27.0457,0.8609,7.7812,4.4926,9.3837
2.0656,27.2532,0.9017,7.4829,4.8876,9.2132
2.0279,23.4853,0.9027,8.3066,4.6655,13.2954
1.988,30.9851,0.9074,7.5342,4.8602,6.82
2.1437,26.8275,0.8723,8.0665,4.764,9.5683
2.157,28.7822,0.8554,7.8558,4.8171,8.0942
2.1441,31.0858,0.8534,7.7322,4.839,6.7694
2.0114,29.202,0.9037,7.6254,4.8282,7.824
2.1626,26.7156,0.8615,8.0197,4.928,9.6652
2.0581,29.9791,0.8721,7.5652,4.9474,7.3597
2.1857,29.3687,0.8633,7.5752,4.8172,7.7206
2.1117,25.1519,0.8793,8.239,4.6353,11.1978
2.0886,30.5137,0.8833,7.7717,4.9086,7.0649
2.1007,26.3415,0.8632,7.4452,4.7132,10.0006
2.1279,26.0298,0.8643,7.579,4.8624,10.2941
2.0969,30.4706,0.8529,7.3758,4.5925,7.088
2.0988,29.7994,0.8808,7.4766,4.8039,7.4632
2.1475,33.0661,0.8517,7.5109,4.8888,5.8829
2.063,28.7319,0.887,7.7895,4.8036,8.1275
2.1896,30.744,0.8522,7.7015,4.6978,6.9436
2.1045,27.2836,0.8828,7.9105,4.93,9.1887
2.0855,26.8935,0.8854,8.2287,4.8073,9.5119
2.1342,28.389,0.8841,7.7777,4.8742,8.3608
2.0411,31.6525,0.889,7.6923,4.9171,6.4954
2.0184,26.826,0.8865,7.623,4.6221,9.5696
2.2297,29.1908,0.8505,7.4761,4.8464,7.831
2.1825,24.9479,0.8665,7.9769,4.7385,11.4256
2.2088,26.7872,0.8583,8.0499,4.8669,9.6031
2.1102,31.9369,0.8526,7.6586,4.6857,6.3643
2.097,26.045,0.8809,8.318,4.634,10.2796
2.144,31.3289,0.8611,7.7841,4.844,6.6497
2.1104,28.7377,0.8693,8.0946,4.8544,8.1237
2.0545,30.1884,0.8746,7.5133,4.7906,7.2421
2.0934,32.0603,0.8779,7.7419,4.8599,6.3088
2.1655,30.5245,0.8563,7.8511,4.6847,7.0592
2.247,24.9405,0.8552,7.4256,4.9196,11.434
2.0396,31.8322,0.8794,7.4457,4.9442,6.4121
2.1744,29.4512,0.8503,7.4139,4.8588,7.6702
2.2111,30.063,0.8518,7.9137,4.7904,7.3122
2.0895,28.8806,0.8729,7.3456,4.9303,8.0296
1.9862,28.3462,0.9189,7.6714,4.8966,8.3906
