Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.0139,24.7933,0.9513,7.4688,4.7341,11.6031
2.0372,28.2292,0.9506,7.5261,4.792,8.473
2.0383,26.4539,0.9546,7.5899,4.7918,9.898
2.0518,28.3759,0.945,7.5859,4.9335,8.3699
2.0102,22.96,0.9425,7.5889,4.7584,14.0863
2.0129,25.8771,0.9491,7.3405,4.8429,10.4429
2.0508,23.2108,0.9485,7.5554,4.91,13.6997
2.0421,26.4851,0.927,7.4247,4.8349,9.8698
2.0205,25.0552,0.9551,7.8283,4.7673,11.3049
2.0802,25.1854,0.9354,7.5994,4.8964,11.161
2.0271,23.1355,0.9557,7.8451,4.9096,13.8141
2.0343,24.6535,0.9502,7.5396,4.7315,11.7674
2.0551,26.5021,0.9463,7.4475,4.8614,9.8544
2.0032,26.2276,0.9475,7.6571,4.794,10.1063
2.0255,25.9767,0.9381,7.5512,4.7381,10.3455
2.0018,22.9185,0.945,7.3767,4.8834,14.1518
2.0285,22.7161,0.9409,7.4678,4.8589,14.4788
2.0746,28.4962,0.9267,7.5545,4.8176,8.2867
2.0577,25.8388,0.9483,7.4652,4.8327,10.4808
2.0291,22.91,0.9421,7.5485,4.8122,14.1654
2.0136,23.4109,0.9549,7.7298,4.8046,13.4031
2.0092,27.0284,0.9562,7.6483,4.9159,9.3981
2.0932,24.9146,0.9293,7.618,4.8889,11.4634
2.0745,30.7527,0.9409,7.4941,4.9401,6.9391
2.0544,23.5959,0.9551,7.6112,4.8693,13.1377
2.0687,24.9111,0.9267,7.4648,4.9155,11.4674
2.0712,26.7,0.9342,7.3648,4.9305,9.6788
2.0367,25.0836,0.9534,7.7118,4.7322,11.2733
2.0612,27.0198,0.9337,7.437,4.8371,9.4053
2.0504,28.2041,0.9525,7.4303,4.8116,8.4909
2.0814,24.4852,0.9387,7.583,4.8542,11.9701
2.023,23.9953,0.9521,7.8259,4.8616,12.5922
2.0485,21.9952,0.945,7.5843,4.948,15.7449
2.0491,26.0628,0.9401,7.6444,4.9148,10.2625
2.0123,26.1347,0.9572,7.5346,4.8929,10.1938
2.0158,30.8252,0.9457,7.4739,4.9447,6.9016
2.0628,25.96,0.9466,7.5055,4.8053,10.3618
2.046,28.3631,0.9407,7.4847,4.8007,8.3788
2.0475,26.8437,0.9447,7.7458,4.785,9.5544
2.0114,24.5658,0.948,7.5425,4.8764,11.8723
2.0453,26.1948,0.9286,7.5042,4.8642,10.1371
2.0945,27.2566,0.9454,7.4158,4.9361,9.2105
2.0768,30.5506,0.934,7.5684,4.9089,7.0452
2.0481,31.4563,0.9468,7.7554,4.9372,6.5883
2.036,25.6693,0.9338,7.3595,4.7254,10.6509
2.0907,22.9656,0.9398,7.4697,4.871,14.0774
2.0905,23.8925,0.9323,7.5543,4.8569,12.7292
2.0248,28.0467,0.9385,7.4638,4.909,8.6042
2.0263,25.4053,0.9476,7.3409,4.9336,10.9245
2.0543,25.989,0.9292,7.5371,4.6823,10.3335
2.0416,28.0876,0.9477,7.6915,4.8266,8.5745
2.0163,23.6382,0.94,7.4368,4.7302,13.0783
2.0462,26.637,0.9343,7.3586,4.7842,9.7342
2.0622,25.8205,0.9596,7.5332,4.8771,10.4989
2.0549,20.6124,0.9513,7.3461,4.8736,18.717
2.092,24.1714,0.9205,7.4474,4.9276,12.3628
2.0555,23.095,0.9459,7.5248,4.7725,13.8761
2.0484,22.3842,0.957,7.4127,4.8498,15.0411
2.0304,22.5649,0.9523,7.3541,4.7255,14.7308
2.0772,23.2385,0.9316,7.4325,4.9143,13.6581
2.0257,24.9799,0.9555,7.6957,4.8227,11.3894
2.0961,23.166,0.9325,7.7117,4.9127,13.7675
2.0408,23.7811,0.9336,7.4357,4.7323,12.8803
2.031,26.0534,0.9313,7.4152,4.8689,10.2714
2.0786,25.6623,0.9299,7.5475,4.8151,10.658
1.9935,26.8757,0.9401,7.4787,4.7845,9.5271
2.0432,25.6934,0.9386,7.4326,4.834,10.6264
2.0701,25.1333,0.9442,7.7705,4.8186,11.2183
2.0888,24.4605,0.9279,7.601,4.8322,12.0003
2.0604,25.6184,0.939,7.7328,4.828,10.7028
2.0221,28.8963,0.9493,7.3525,4.7574,8.0193
2.0545,25.5656,0.9432,7.5895,4.7474,10.7571
2.0223,23.861,0.9488,7.8297,4.8191,12.7717
