Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.0848,47.3453,0.8711,7.8384,4.5219,2.711
2.0479,44.5867,0.8989,7.5344,4.1144,3.0735
2.1446,52.0482,0.8771,7.5629,4.8902,2.2302
2.2365,45.5889,0.8589,7.5088,4.4953,2.9334
2.089,48.2617,0.914,7.543,4.6987,2.6053
2.0536,42.8764,0.8842,7.7939,3.8261,3.3379
2.1013,40.7092,0.885,8.1243,3.9754,3.7277
1.9814,44.2314,0.8887,7.5634,3.84,3.1256
2.0938,44.081,0.8914,7.709,4.035,3.1481
2.2582,44.9532,0.8556,7.5137,4.4436,3.0211
2.0001,48.0247,0.9134,7.5355,4.4643,2.632
2.2905,46.8366,0.8534,7.3818,4.5245,2.7727
2.0182,43.483,0.9014,7.6171,3.9366,3.2401
2.2592,46.1185,0.878,7.7612,4.6854,2.8635
2.0352,48.182,0.8907,7.5366,4.5862,2.6143
2.0489,48.577,0.902,7.8183,4.7337,2.5704
2.25,45.5026,0.8511,7.5604,4.4372,2.9451
2.0416,45.0528,0.8746,7.8564,4.0254,3.0071
2.0442,49.6655,0.8833,7.4912,4.5537,2.4554
2.1997,44.5637,0.8547,7.5113,4.1977,3.0768
1.9996,49.9462,0.9164,7.364,4.8076,2.4271
2.1167,47.3066,0.8846,7.3658,4.2852,2.7157
2.185,47.2253,0.8695,7.7426,4.6163,2.7254
2.2196,48.6926,0.897,7.5307,4.7506,2.5578
2.1878,49.103,0.8513,7.5547,4.6248,2.5138
2.3103,46.3594,0.8781,7.3825,4.7185,2.8325
2.0753,42.5006,0.909,7.6595,4.1242,3.4007
2.1003,44.1326,0.8874,7.9098,4.1998,3.1404
2.098,50.4735,0.9249,7.3558,4.8183,2.3752
2.0521,48.5941,0.8941,7.6408,4.6919,2.5686
2.2214,44.5392,0.8566,7.847,4.4013,3.0804
2.1562,50.6669,0.8918,7.7811,4.8253,2.3566
2.3056,44.2863,0.8531,7.7017,4.4801,3.1175
2.1217,45.3819,0.8831,7.9109,4.2274,2.9615
2.0539,43.1344,0.9278,8.0324,4.1272,3.2957
2.1274,46.5841,0.8874,7.3602,4.4438,2.8041
2.012,44.4544,0.91,7.5064,4.1029,3.0927
2.3217,49.2221,0.8595,7.3847,4.8494,2.5013
2.0676,44.0773,0.8984,7.8248,4.0376,3.1487
2.034,49.1266,0.9085,7.756,4.785,2.5113
2.0262,50.3814,0.8749,7.3427,4.2447,2.3841
1.9806,47.1009,0.9236,8.0095,4.5138,2.7404
2.2108,46.3111,0.8581,7.4108,4.458,2.8387
2.0958,47.8812,0.8736,7.8464,4.5444,2.6484
2.057,45.2126,0.9004,7.5311,4.0633,2.9848
2.1363,43.8799,0.8886,8.1017,4.3874,3.1786
1.9972,51.8901,0.928,7.462,4.9018,2.2441
2.0924,46.8693,0.9279,7.7406,4.5883,2.7686
2.1597,45.2956,0.8955,8.0966,4.4658,2.9734
2.1427,45.9841,0.8815,7.8584,4.5136,2.881
2.2036,48.5814,0.9117,7.7026,4.8749,2.5699
1.986,49.515,0.9381,7.4208,4.5577,2.4709
2.0749,49.4777,0.9097,7.3849,4.4861,2.4747
2.1781,49.0074,0.8769,7.6113,4.9293,2.524
2.1686,44.5786,0.8841,7.5903,4.393,3.0746
2.2689,46.1033,0.8532,7.6332,4.5743,2.8654
2.1395,41.8197,0.8731,7.8013,4.0016,3.5195
2.046,42.9777,0.9154,7.9129,4.0649,3.3212
2.1041,45.1705,0.8855,7.8188,4.2843,2.9907
2.0798,43.981,0.8999,7.6712,4.0825,3.1632
2.1356,44.8214,0.8929,7.9384,4.3312,3.0397
2.0905,51.9845,0.9037,7.6031,4.8797,2.2358
2.132,45.9257,0.8792,7.6786,4.4839,2.8886
2.0979,45.2827,0.9035,7.9188,4.3256,2.9752
2.0643,49.8894,0.8814,7.7998,4.6451,2.4328
2.1386,50.9683,0.8621,7.5,4.6742,2.3281
2.1582,49.219,0.8989,7.3931,4.7939,2.5016
2.1449,48.8759,0.8938,7.7591,4.6807,2.538
2.0184,43.4696,0.9117,7.6087,4.0241,3.2422
2.1822,48.982,0.8688,7.4924,4.6851,2.5267
2.0574,45.0708,0.9181,8.0466,4.4421,3.0046
2.2377,45.4282,0.8807,7.6174,4.5989,2.9552
2.1087,50.6314,0.9203,7.5334,4.8549,2.36
2.2522,44.6766,0.8556,7.6311,4.3221,3.0605
2.0893,50.7026,0.8718,7.4075,4.5986,2.3532
2.2318,46.3694,0.8933,7.6734,4.7546,2.8312
2.0046,47.7886,0.8842,7.5066,4.221,2.6591
2.1607,48.977,0.8697,7.4352,4.7718,2.5272
2.0289,49.161,0.8839,7.6025,4.5555,2.5077
1.9877,51.3248,0.9029,7.5387,4.6147,2.295
2.0839,50.8148,0.8853,7.4222,4.9069,2.3425
2.1363,48.4787,0.8591,7.5354,4.5645,2.5812
2.0221,47.6269,0.9192,7.6416,4.5414,2.6778
2.162,44.9502,0.8856,7.878,4.2468,3.0215
2.1966,44.5071,0.8812,7.8983,4.3371,3.085
2.1588,47.7576,0.8823,7.6096,4.4418,2.6627
2.1625,49.3476,0.8781,7.9093,4.8483,2.4882
2.2301,44.9226,0.8655,7.4454,4.3334,3.0254
2.1652,45.381,0.9064,7.7559,4.5347,2.9617
2.0876,43.2034,0.9024,8.154,4.1437,3.2846
2.1025,44.1059,0.8888,8.2877,4.3464,3.1444
2.1298,42.4359,0.8954,7.5833,4.1123,3.4118
2.1047,49.4884,0.9118,7.7761,4.7798,2.4736
2.0599,44.8533,0.8999,7.7443,4.3221,3.0352
2.1237,42.646,0.8809,8.267,4.1228,3.3762
2.1651,50.5025,0.8658,7.4202,4.9196,2.3724
2.1485,48.9227,0.8622,7.7041,4.6958,2.533
2.134,46.4676,0.8758,7.5894,4.5763,2.8187
1.9867,44.0862,0.9083,7.8917,4.0522,3.1473
2.1008,44.4787,0.8861,7.4335,4.0916,3.0892
2.1347,44.6204,0.8704,7.955,4.2226,3.0686
2.0596,50.2127,0.9093,7.4072,4.8053,2.4006
2.0988,43.5058,0.8696,7.7913,4.0592,3.2366
1.9805,48.9836,0.8951,7.3761,4.3484,2.5265
2.1339,43.3344,0.8564,7.8174,3.9756,3.2637
1.9969,46.3828,0.9001,7.988,4.3813,2.8295
2.202,47.4388,0.8983,7.5449,4.7693,2.6999
2.0627,49.9498,0.9135,7.4199,4.8687,2.4267
2.047,48.0557,0.8802,7.8399,4.4357,2.6285
2.0042,43.8025,0.9138,7.7862,4.1022,3.1905
2.2188,50.0024,0.8762,7.7358,4.8175,2.4215
2.0283,51.0794,0.8853,7.4389,4.7319,2.3177
2.1447,50.5336,0.9171,7.5859,4.9065,2.3694
2.0056,52.5242,0.9051,7.3926,4.725,2.1891
2.1607,44.7377,0.8616,7.738,4.2871,3.0517
2.3302,47.2251,0.8607,7.3462,4.9209,2.7254
2.0848,41.3653,0.8867,7.6485,3.901,3.6024
2.1477,43.9033,0.8742,7.9465,4.237,3.175
2.0897,49.2407,0.9044,7.6493,4.7363,2.4993
2.0404,49.2652,0.8985,7.5713,4.6902,2.4968
2.1664,48.5127,0.9131,7.4451,4.7609,2.5775
2.2219,42.9039,0.8913,7.8196,4.3721,3.3333
2.0119,47.3849,0.9408,7.6659,4.5534,2.7063
2.1228,44.993,0.8736,8.0715,4.2228,3.0155
2.2261,46.8749,0.8754,7.6063,4.7508,2.7679
2.0186,44.5473,0.8916,8.0893,4.1053,3.0792
2.0163,49.1638,0.9102,7.7116,4.675,2.5074
2.1082,46.26,0.9196,7.5618,4.4361,2.8452
2.0035,48.8622,0.8972,7.4519,4.2629,2.5395
1.9952,48.4722,0.9346,7.7686,4.5017,2.5819
2.1822,45.5357,0.8768,7.8104,4.3917,2.9406
