Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.1657,20.7372,0.88,7.4252,4.6273,18.414
2.1292,23.8349,0.8821,7.9103,4.5014,12.807
2.1906,25.9145,0.8677,8.0202,4.7131,10.4062
2.2506,22.1327,0.8565,7.5783,4.6297,15.4904
2.1727,29.4874,0.8659,7.3427,4.6976,7.6483
2.1544,20.9905,0.8762,8.5717,4.2387,17.8223
2.1622,26.0636,0.8667,8.2452,4.2723,10.2617
2.0256,22.1966,0.9084,7.7605,4.4804,15.3743
2.1497,23.3378,0.8782,7.8524,4.4738,13.5104
2.2055,28.2088,0.8617,7.4701,4.6748,8.4875
2.1018,25.7358,0.8834,8.1223,4.466,10.5836
2.1702,23.3375,0.8675,8.4737,4.2129,13.5108
2.2042,22.2146,0.8712,7.8697,4.6085,15.3419
2.1847,28.708,0.8615,7.5071,4.5998,8.1434
2.2537,26.5772,0.8584,7.8293,4.7223,9.7872
2.1695,20.9631,0.8647,8.57,4.1176,17.8848
2.1088,25.4819,0.8896,8.3881,4.4596,10.844
2.2422,24.3243,0.8602,7.6906,4.895,12.169
2.2163,25.1542,0.8521,7.3955,4.5875,11.1953
2.147,30.0206,0.8661,7.5605,4.6689,7.3361
2.0205,23.0073,0.9063,7.9169,4.3829,14.0121
2.2324,30.1488,0.8605,7.5943,4.8488,7.2641
2.2097,22.7668,0.8663,7.5393,4.6496,14.3958
2.1568,23.2394,0.8702,8.0593,4.2599,13.6567
2.2436,28.1202,0.8527,7.7087,4.8381,8.551
2.1823,29.8134,0.8543,8.2669,4.3861,7.455
2.1515,24.7001,0.8769,7.9825,4.697,11.7122
2.2466,22.0431,0.8668,8.2031,4.6496,15.6556
2.0544,24.6161,0.8985,7.8273,4.3732,11.812
2.2893,24.366,0.8518,7.981,4.7695,12.117
2.222,24.003,0.8691,7.7465,4.7049,12.582
2.2771,24.9335,0.8502,7.503,4.7579,11.4419
2.2448,25.1078,0.8665,7.5187,4.8098,11.2464
2.1935,21.6697,0.8613,8.4076,4.1771,16.3745
2.175,25.1751,0.8836,8.2038,4.6899,11.1724
2.1937,24.9718,0.8755,7.9175,4.7776,11.3986
2.077,29.451,0.8854,7.5505,4.5689,7.6704
2.1913,24.0584,0.8668,7.8306,4.5668,12.5093
2.1139,24.0801,0.8827,8.1805,4.4688,12.4809
2.1155,22.9224,0.8922,7.967,4.4568,14.1458
2.1683,28.7139,0.8649,7.432,4.5593,8.1396
2.1072,23.6223,0.8872,7.4093,4.6566,13.1006
2.1986,28.7568,0.8688,7.4934,4.931,8.111
2.2919,23.6537,0.8549,7.7608,4.7766,13.0565
2.1478,28.2544,0.8697,7.8753,4.5879,8.4552
2.1493,25.2353,0.8691,7.5874,4.5471,11.1067
2.1991,28.6476,0.8617,8.0634,4.6821,8.1839
2.0093,23.3784,0.909,7.6991,4.4761,13.4506
2.2462,22.2942,0.8611,8.3346,4.4132,15.1995
2.1,23.5751,0.8907,7.6379,4.5648,13.1672
2.1979,20.8396,0.8611,8.5131,4.1707,18.1713
2.1558,29.928,0.8655,7.5193,4.7346,7.3889
2.1745,22.9429,0.8709,8.3385,4.3726,14.1132
2.1391,24.516,0.8923,8.006,4.7066,11.9325
2.1042,23.8519,0.8879,7.7395,4.4222,12.7839
2.1656,24.9843,0.8625,7.3714,4.495,11.3844
2.2053,22.2533,0.8578,7.5213,4.4296,15.2724
2.2472,23.5446,0.8736,8.0288,4.8783,13.2105
2.2063,23.9325,0.8596,8.0757,4.359,12.6756
2.1738,28.8884,0.8545,7.5965,4.5081,8.0245
2.1819,22.8872,0.8754,7.8673,4.5513,14.2016
2.0293,24.9898,0.8969,7.513,4.3992,11.3783
2.038,22.4599,0.9026,8.0326,4.3691,14.9098
2.2178,23.2359,0.8806,7.9828,4.8307,13.662
2.1821,22.9203,0.8782,7.9723,4.516,14.149
2.1641,24.658,0.8862,8.0456,4.77,11.762
2.1991,30.7972,0.8603,7.5203,4.6248,6.916
2.1679,23.5379,0.8678,8.0098,4.2936,13.22
2.2054,20.1598,0.8598,8.5288,4.0201,19.8842
2.0483,22.6775,0.9033,8.0787,4.306,14.5424
2.1241,24.6077,0.8842,8.4366,4.3668,11.822
2.1325,26.4567,0.8877,7.8224,4.682,9.8954
2.1197,26.2733,0.8692,7.8801,4.3517,10.0637
2.1914,29.1738,0.8505,8.0428,4.4496,7.8417
2.1396,27.6573,0.8854,7.8534,4.6959,8.895
2.2268,24.1815,0.8608,7.9795,4.4463,12.3499
2.2319,27.4304,0.8512,7.988,4.5187,9.0715
2.0033,25.4891,0.9005,7.5097,4.4121,10.8365
2.1519,24.4932,0.8748,7.8922,4.5863,11.9604
2.1276,23.8103,0.8783,7.4294,4.5,12.8404
2.1363,25.9623,0.8703,7.4049,4.6357,10.3595
2.1992,26.5244,0.8533,8.0114,4.3919,9.8344
2.0486,28.9993,0.8694,7.5548,4.2383,7.9527
2.0574,28.7121,0.8911,7.4354,4.5761,8.1407
2.1874,24.7548,0.8739,7.895,4.5153,11.648
2.1722,25.6997,0.8789,7.8532,4.7137,10.6201
2.0618,21.903,0.9027,7.827,4.4603,15.9194
2.2897,20.2397,0.8668,7.7162,4.889,19.6699
1.9993,23.1976,0.9078,7.4896,4.4253,13.7197
2.2911,21.5538,0.8557,7.6544,4.7983,16.6082
2.2121,24.638,0.8717,7.7928,4.6001,11.7859
2.2197,24.1469,0.8729,7.7706,4.7596,12.3943
2.1524,27.6798,0.8796,7.7903,4.743,8.8777
2.1339,25.4094,0.8855,7.9942,4.5123,10.9203
2.1346,24.8147,0.8798,8.0069,4.5167,11.5783
2.0524,23.3581,0.8995,7.8052,4.4509,13.4804
