Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.39E+00,3.97E+01,9.56E-01,7.45E+00,4.88E+00,3.926195396
2.47E+00,3.92E+01,9.41E-01,7.67E+00,4.81E+00,4.046250008
2.41E+00,4.06E+01,9.34E-01,7.65E+00,4.83E+00,3.755661236
2.38E+00,4.13E+01,9.36E-01,7.73E+00,4.74E+00,3.613719044
2.45E+00,3.92E+01,9.40E-01,7.55E+00,4.80E+00,4.035738839
2.42E+00,4.11E+01,9.52E-01,7.51E+00,4.70E+00,3.648534435
2.44E+00,4.23E+01,9.36E-01,7.45E+00,4.80E+00,3.435391596
2.31E+00,4.23E+01,9.46E-01,7.61E+00,4.90E+00,3.438601283
2.50E+00,4.16E+01,9.48E-01,7.48E+00,4.87E+00,3.559036174
2.43E+00,4.14E+01,9.44E-01,7.43E+00,4.79E+00,3.60431345
2.49E+00,4.06E+01,9.11E-01,7.66E+00,4.78E+00,3.753496581
2.42E+00,4.02E+01,9.55E-01,7.68E+00,4.67E+00,3.830702789
2.50E+00,4.02E+01,9.46E-01,7.51E+00,4.94E+00,3.837648098
2.36E+00,3.96E+01,9.55E-01,7.77E+00,4.82E+00,3.965473916
2.47E+00,4.12E+01,9.35E-01,7.55E+00,4.85E+00,3.631516069
2.43E+00,4.29E+01,9.55E-01,7.42E+00,4.79E+00,3.329967631
2.48E+00,4.04E+01,9.33E-01,7.75E+00,4.89E+00,3.785307191
2.41E+00,4.22E+01,9.59E-01,7.69E+00,4.69E+00,3.449681629
2.43E+00,4.16E+01,9.31E-01,7.53E+00,4.88E+00,3.555162192
2.25E+00,4.42E+01,9.48E-01,7.68E+00,4.71E+00,3.132107857
2.39E+00,4.07E+01,9.36E-01,7.62E+00,4.79E+00,3.7264647
2.48E+00,3.96E+01,9.58E-01,7.55E+00,4.94E+00,3.952833218
2.49E+00,4.04E+01,9.56E-01,7.50E+00,4.83E+00,3.789631284
2.47E+00,3.79E+01,9.34E-01,7.74E+00,4.86E+00,4.347201669
2.41E+00,4.01E+01,9.43E-01,7.76E+00,4.75E+00,3.844383484
2.38E+00,4.18E+01,9.51E-01,7.52E+00,4.72E+00,3.519615048
2.49E+00,4.21E+01,9.47E-01,7.49E+00,4.84E+00,3.476005696
2.36E+00,4.22E+01,9.41E-01,7.60E+00,4.83E+00,3.460023544
2.47E+00,4.10E+01,9.04E-01,7.72E+00,4.81E+00,3.663399066
2.38E+00,4.11E+01,9.48E-01,7.60E+00,4.84E+00,3.655263775
2.41E+00,4.08E+01,9.58E-01,7.59E+00,4.65E+00,3.71849224
2.46E+00,4.25E+01,9.42E-01,7.53E+00,4.74E+00,3.397836766
2.44E+00,3.73E+01,9.45E-01,8.03E+00,4.81E+00,4.502084819
2.40E+00,4.19E+01,9.51E-01,7.40E+00,4.86E+00,3.500764669
2.42E+00,4.25E+01,9.28E-01,7.61E+00,4.81E+00,3.396477367
2.49E+00,4.06E+01,9.27E-01,7.69E+00,4.95E+00,3.742987846
2.45E+00,4.30E+01,9.39E-01,7.48E+00,4.85E+00,3.314351163
2.48E+00,4.28E+01,9.44E-01,7.39E+00,4.94E+00,3.348408211
2.42E+00,4.09E+01,9.58E-01,7.48E+00,4.76E+00,3.68251728
2.39E+00,4.14E+01,9.60E-01,7.50E+00,4.74E+00,3.589164235
