Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.37E+00,2.31E+01,9.48E-01,9.53E+00,3.88E+00,13.86930191
2.48E+00,3.08E+01,9.51E-01,8.65E+00,4.89E+00,6.904889872
2.48E+00,2.41E+01,9.52E-01,9.04E+00,4.52E+00,12.5195288
2.47E+00,2.97E+01,9.57E-01,9.00E+00,4.54E+00,7.533971012
2.45E+00,2.98E+01,9.35E-01,8.80E+00,4.72E+00,7.434734798
2.46E+00,2.92E+01,9.58E-01,8.98E+00,4.50E+00,7.819569388
2.44E+00,2.98E+01,9.50E-01,8.61E+00,4.67E+00,7.471607
2.43E+00,3.35E+01,9.57E-01,8.34E+00,4.26E+00,5.722415815
2.49E+00,2.25E+01,9.37E-01,1.00E+01,4.19E+00,14.76115808
2.47E+00,2.34E+01,9.54E-01,9.09E+00,4.54E+00,13.4201477
2.45E+00,3.07E+01,9.53E-01,8.24E+00,4.82E+00,6.959952434
2.45E+00,2.56E+01,9.50E-01,9.77E+00,3.76E+00,10.69948954
2.49E+00,3.14E+01,9.16E-01,8.53E+00,4.75E+00,6.61015779
2.46E+00,2.40E+01,9.33E-01,9.63E+00,4.12E+00,12.64598673
2.48E+00,3.12E+01,9.23E-01,8.75E+00,4.78E+00,6.705058922
2.46E+00,3.18E+01,9.48E-01,8.09E+00,4.68E+00,6.415224886
2.50E+00,2.97E+01,9.32E-01,9.19E+00,4.13E+00,7.518948493
2.41E+00,2.63E+01,9.52E-01,8.90E+00,4.41E+00,10.02540969
2.47E+00,2.73E+01,9.58E-01,8.73E+00,4.25E+00,9.154993426
2.47E+00,2.73E+01,9.52E-01,8.99E+00,4.31E+00,9.174864817
2.39E+00,3.09E+01,9.53E-01,8.35E+00,4.61E+00,6.853528513
2.44E+00,3.00E+01,9.24E-01,8.84E+00,4.41E+00,7.354572471
2.47E+00,3.01E+01,9.40E-01,9.18E+00,4.02E+00,7.27063698
2.45E+00,3.04E+01,9.55E-01,8.98E+00,4.20E+00,7.147421084
2.38E+00,2.99E+01,9.60E-01,8.76E+00,4.12E+00,7.426255787
2.33E+00,2.72E+01,9.49E-01,9.31E+00,4.30E+00,9.266749519
2.45E+00,3.24E+01,9.45E-01,8.48E+00,4.81E+00,6.139573898
2.43E+00,3.09E+01,9.38E-01,8.72E+00,4.29E+00,6.842123571
2.41E+00,2.71E+01,9.52E-01,9.42E+00,4.08E+00,9.338022798
2.45E+00,2.89E+01,9.35E-01,9.50E+00,3.96E+00,8.025125851
2.49E+00,2.61E+01,9.44E-01,8.43E+00,4.45E+00,10.18777967
2.47E+00,3.18E+01,9.50E-01,8.93E+00,4.33E+00,6.405744936
2.46E+00,2.97E+01,9.19E-01,8.96E+00,4.40E+00,7.542477559
2.44E+00,3.05E+01,9.41E-01,8.48E+00,4.32E+00,7.086162885
2.48E+00,3.01E+01,9.39E-01,8.86E+00,4.72E+00,7.27165112
2.48E+00,2.65E+01,9.46E-01,9.58E+00,3.69E+00,9.876059397
2.46E+00,2.25E+01,9.40E-01,9.84E+00,3.79E+00,14.88869113
2.50E+00,3.13E+01,9.15E-01,8.74E+00,4.61E+00,6.669762164
2.48E+00,3.30E+01,9.53E-01,8.81E+00,4.35E+00,5.898694552
2.40E+00,2.69E+01,9.48E-01,9.00E+00,4.35E+00,9.511804934
2.44E+00,3.11E+01,9.34E-01,8.66E+00,4.57E+00,6.743656983
2.46E+00,2.55E+01,9.55E-01,9.07E+00,4.14E+00,10.78074968
2.46E+00,2.97E+01,9.16E-01,9.16E+00,4.13E+00,7.522859843
2.49E+00,3.23E+01,9.55E-01,8.58E+00,4.15E+00,6.201473074
2.45E+00,2.39E+01,9.57E-01,9.49E+00,4.07E+00,12.68603032
2.36E+00,3.05E+01,9.37E-01,9.11E+00,4.44E+00,7.071906126
