Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.382,22.5002,0.9169,7.7098,4.1459,13.534
2.2648,29.5798,0.9502,7.3562,3.81,7.0255
2.1656,34.3442,0.9281,7.4755,3.8643,5.0355
2.2459,32.1453,0.9369,7.73,4.074,5.8258
2.1812,29.5375,0.9366,7.9641,3.9187,7.0485
2.4066,29.0388,0.932,7.762,4.493,7.3284
2.4899,21.5454,0.8914,7.4878,4.0979,15.123
2.337,30.3811,0.9272,7.6896,4.1373,6.6118
2.2223,31.5198,0.9404,7.5421,3.9881,6.0868
2.2926,28.0062,0.9149,7.3415,4.0306,7.967
2.3452,22.8949,0.9197,7.5434,3.8436,12.953
2.3728,27.4548,0.9443,7.4652,4.2296,8.3448
2.1827,30.7383,0.9325,7.6112,3.5801,6.4397
2.1791,31.2095,0.9559,8.0895,3.916,6.2232
2.3341,28.3573,0.9162,7.3631,3.8261,7.7404
2.4224,25.8262,0.9536,7.4239,4.0737,9.6425
2.2676,32.6944,0.8998,7.7703,3.8905,5.611
2.3222,22.2194,0.9399,7.6651,3.6971,13.9729
2.3417,27.7708,0.9292,7.6695,4.1872,8.1249
2.3593,24.9919,0.9451,7.6781,4.1343,10.4352
2.3689,33.3734,0.9536,7.435,4.4376,5.3622
2.2893,29.3818,0.9277,7.9825,4.1664,7.1341
2.3524,24.3392,0.9089,7.6356,4.0004,11.1296
2.4033,21.159,0.9432,7.7565,4.1843,15.8511
2.4376,28.8341,0.9273,7.4382,4.46,7.4485
2.1123,32.7049,0.9305,7.635,3.8465,5.607
2.3341,34.9232,0.9422,7.6929,4.6322,4.8553
2.3231,31.9458,0.9429,7.6094,4.6646,5.9071
2.4899,31.7599,0.9416,7.5324,4.9418,5.9845
2.3953,38.4643,0.9256,7.5585,4.732,3.9454
2.4956,35.977,0.9286,7.5539,4.8168,4.5525
2.3584,30.6571,0.8919,7.5078,4.1929,6.4782
2.4089,29.6486,0.921,7.6145,4.5398,6.9884
2.1479,28.6077,0.9209,7.3641,3.7362,7.5849
2.2549,25.9864,0.9364,7.3485,3.7812,9.5012
2.1827,27.1271,0.9208,7.4822,3.7793,8.5829
2.3593,28.4608,0.9536,7.5533,4.3127,7.6755
2.2214,29.705,0.9278,7.4143,3.9078,6.9583
2.383,26.8829,0.9154,7.482,3.9778,8.7673
2.1942,25.54,0.9198,7.4944,3.7589,9.9034
2.2815,30.5791,0.9225,7.9537,4.0431,6.5155
2.4689,26.5907,0.9596,7.3402,4.0214,8.9964
2.1871,22.5357,0.9492,7.488,3.6559,13.4801
2.1753,29.7155,0.9507,7.7566,4.2035,6.9527
2.4779,25.9436,0.9438,7.4044,4.3085,9.5386
2.1403,21.9545,0.9561,7.6667,3.774,14.4078
2.172,25.3753,0.9489,8.0355,3.7572,10.0586
2.2782,38.277,0.9191,7.4616,4.3843,3.9866
2.379,23.8962,0.8948,7.4713,3.8484,11.6435
2.3384,28.5616,0.9306,7.7109,4.1561,7.6131
2.1883,34.345,0.9198,7.4667,3.7395,5.0352
2.2597,27.0615,0.9272,7.5235,4.0512,8.6318
2.1533,23.5689,0.9315,7.3959,3.5491,12.0476
2.3523,28.3958,0.9244,8.0546,4.1367,7.7161
2.2214,32.7435,0.9569,7.6088,4.7576,5.5924
2.3623,30.5016,0.9053,7.6178,3.9651,6.5529
2.1278,21.8068,0.9522,7.4303,3.5908,14.6598
2.3401,22.5971,0.9599,7.5143,3.9107,13.3877
2.302,22.3008,0.9351,7.3648,3.8582,13.8433
2.2961,31.0005,0.9299,7.3629,4.1663,6.3178
2.3164,23.0946,0.9325,7.8382,3.9007,12.6738
2.3495,33.6265,0.9204,7.3485,4.4506,5.2738
2.3271,28.6242,0.9137,7.525,4.1794,7.5748
2.3133,22.9819,0.9351,7.6466,3.9584,12.8302
2.3034,32.806,0.9548,7.7865,4.456,5.5689
2.3449,24.444,0.9576,7.3519,4.4996,11.0133
2.3969,23.9769,0.9344,7.4445,4.6918,11.5471
2.3785,28.3008,0.9139,7.4458,4.0965,7.7762
2.3123,28.6185,0.8977,7.3664,3.8575,7.5783
2.1221,23.3429,0.9544,7.7679,3.6625,12.3397
2.4054,36.5537,0.897,7.5138,4.6322,4.3992
2.3562,28.1183,0.9596,7.4258,4.1421,7.8936
2.4643,23.9147,0.9353,7.4165,4.6488,11.6213
2.386,26.2835,0.9591,7.854,4.4344,9.2475
2.258,28.6698,0.9456,7.8132,4.0745,7.5471
2.1947,30.6465,0.9074,7.8824,3.6725,6.4832
2.2855,28.0894,0.9537,7.3966,3.916,7.9124
2.2622,26.8861,0.9243,7.7726,3.7548,8.7648
2.3138,33.0033,0.9305,7.4417,4.7573,5.4956
2.3929,35.1493,0.9476,7.8705,4.8595,4.7877
