Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.2942,26.6033,0.8807,7.3927,4.9201,8.9863
2.2064,28.4737,0.8925,7.4291,4.775,7.6675
2.1006,33.6148,0.8886,7.4976,4.6363,5.2778
2.0876,30.0044,0.8636,7.428,4.4215,6.8014
2.1207,30.5113,0.9337,7.4141,4.636,6.5483
2.3235,27.5991,0.8638,7.4656,4.9446,8.2432
2.326,31.4357,0.869,7.54,4.7404,6.1233
2.0547,33.0984,0.8787,7.4612,4.466,5.4608
2.1855,31.7069,0.8876,7.6737,4.8855,6.0068
2.2504,28.1016,0.8677,7.754,4.9034,7.9044
2.0066,25.4669,0.9531,7.3959,4.6275,9.9719
2.2706,27.8776,0.8591,7.5181,4.827,8.0527
2.0616,26.2372,0.8966,7.6575,4.55,9.2864
2.0955,26.9433,0.904,7.5857,4.5893,8.7212
2.1837,29.8294,0.8746,7.6865,4.6529,6.8924
2.2026,27.8657,0.8926,7.5853,4.8176,8.0607
2.0923,29.4128,0.9001,7.6266,4.7061,7.1169
2.0664,26.9267,0.8684,7.6678,4.0159,8.7338
2.1502,29.4256,0.8833,7.548,4.6452,7.1099
2.1232,30.2538,0.9166,7.5259,4.5702,6.675
2.1481,31.3246,0.8888,7.678,4.6432,6.172
2.2631,30.0472,0.874,7.5104,4.8142,6.7794
2.1017,30.9628,0.8566,7.4242,4.3943,6.3351
2.1136,29.4326,0.9173,7.7945,4.7445,7.106
2.3382,27.7868,0.8675,7.5452,4.9401,8.1141
2.2617,32.7428,0.8785,7.5054,4.4548,5.5926
2.1551,26.7731,0.9045,7.4739,4.8114,8.8523
2.0936,27.6894,0.9084,7.4334,4.2539,8.1807
2.0571,30.4296,0.8644,7.5713,4.0644,6.588
2.1473,29.6823,0.8715,7.3475,4.6823,6.9704
2.2146,32.1745,0.8504,7.6296,4.7148,5.8141
2.1729,30.1152,0.8806,7.7527,4.8724,6.7448
2.172,26.0035,0.9045,7.444,4.8338,9.4862
2.2161,32.1724,0.8502,7.4205,4.5866,5.8149
2.3162,30.5818,0.8512,7.6817,4.7297,6.5142
2.1655,30.7522,0.8625,7.3782,4.4838,6.4331
2.2335,31.813,0.8764,7.7787,4.6691,5.9622
2.1587,31.6033,0.8515,7.3796,4.0067,6.0509
2.0437,28.129,0.9103,7.5573,4.5963,7.8866
2.0031,30.7941,0.8819,7.376,4.1207,6.4134
2.3142,30.6517,0.8572,7.4678,4.6647,6.4808
2.4022,33.7202,0.8714,7.7329,4.8669,5.2417
2.0855,31.1188,0.8959,7.7245,4.6195,6.2639
2.1616,30.5858,0.8689,7.5684,4.3635,6.5123
2.22,32.5862,0.8673,7.5994,4.7495,5.6523
2.0972,30.5196,0.8886,7.4211,4.4637,6.5442
2.2464,25.6708,0.874,7.6548,4.9087,9.7828
2.2419,28.2431,0.8725,7.7863,4.8014,7.813
2.1903,33.3535,0.8692,7.4406,4.5097,5.3692
2.2174,29.8415,0.8784,7.7072,4.7879,6.886
2.3291,25.7276,0.8605,7.7125,4.9097,9.7312
2.0667,31.5487,0.8843,7.3633,4.6239,6.0743
2.1929,27.813,0.8777,7.6244,4.6601,8.0963
2.2202,29.7975,0.8618,7.4704,4.7386,6.9092
2.2961,29.7933,0.8563,7.5064,4.7245,6.9114
2.066,27.436,0.8793,7.5497,4.2885,8.3581
2.175,26.5983,0.922,7.4973,4.9113,8.9903
2.0519,30.4435,0.9164,7.3448,4.3437,6.5812
2.1497,33.0233,0.8852,7.4703,4.5265,5.4882
2.1186,27.7595,0.9173,7.3989,4.6437,8.1327
2.0791,25.857,0.8916,7.5529,4.5175,9.6151
2.0524,24.1687,0.9525,7.3404,4.8304,11.3231
2.1347,31.9971,0.8914,7.4544,4.6586,5.886
2.0645,30.8845,0.9226,7.3588,4.3218,6.3712
2.1799,30.0223,0.8846,7.5084,4.4866,6.7922
2.2143,28.0607,0.8614,7.7471,4.5498,7.9311
2.0642,28.5289,0.8721,7.4881,4.1838,7.6333
2.1847,30.6728,0.8867,7.5101,4.4857,6.4707
2.1407,29.4584,0.8922,7.5444,4.4586,7.0918
2.2025,27.5292,0.8908,7.6815,4.8169,8.2922
2.087,26.7354,0.8923,7.4938,4.6107,8.8818
2.0605,28.2693,0.9219,7.4423,4.5233,7.7962
2.081,30.1774,0.8746,7.3456,4.2107,6.7133
2.3728,26.5809,0.8565,8.1126,4.7042,9.0042
2.0544,24.9217,0.9546,7.3975,4.3505,10.5066
2.1196,29.1041,0.8802,7.4674,4.559,7.2908
2.1544,28.7513,0.865,7.3789,4.7021,7.4979
2.1136,26.9942,0.9272,7.5512,4.8587,8.6825
2.3016,25.2572,0.8543,7.4712,4.7557,10.1723
2.0902,28.4225,0.9248,7.526,4.7405,7.6994
2.057,29.4307,0.8809,7.4483,4.3403,7.107
2.2003,29.5154,0.8705,7.607,4.6095,7.0606
2.0794,27.7852,0.9571,7.4361,4.468,8.1151
2.1185,28.501,0.8772,7.5519,4.5118,7.6506
2.2638,31.1646,0.8676,7.4126,4.7755,6.2433
2.1679,29.9038,0.8932,7.5272,4.5621,6.8534
2.2984,27.4084,0.863,7.4478,4.924,8.3778
2.2614,28.7396,0.8541,7.4524,4.7292,7.5049
2.0865,30.0448,0.8991,7.3832,4.6136,6.7806
2.163,30.0469,0.8985,7.5483,4.8071,6.7796
2.3395,32.4829,0.8706,7.7218,4.8285,5.6922
2.2612,31.7038,0.855,7.5667,4.6926,6.0081
2.1741,26.5199,0.9096,7.353,4.7416,9.0534
2.2395,32.7137,0.861,7.9254,4.5559,5.6037
2.0973,30.6638,0.8999,7.6601,4.8223,6.475
2.1759,31.2862,0.8758,7.7642,4.6251,6.189
2.164,29.769,0.8926,7.5424,4.7717,6.9242
2.3062,26.5173,0.8541,7.7541,4.8334,9.0554
2.0614,28.1018,0.8928,7.4135,4.6913,7.9043
2.181,26.0826,0.8878,7.8405,4.7347,9.4179
2.0256,32.1529,0.8812,7.4187,4.2387,5.8228
2.1739,31.3093,0.8759,7.4375,4.4901,6.1788
2.0201,33.0918,0.8909,7.3429,4.5112,5.4632
2.3883,26.9273,0.8549,7.5022,4.9202,8.7333
2.3027,26.8925,0.8643,8.0578,4.5366,8.76
2.3208,26.0288,0.8571,7.8742,4.5587,9.4643
2.0382,24.7734,0.9076,7.791,4.394,10.6599
2.0668,26.3852,0.8871,7.536,4.4555,9.1632
2.1035,28.612,0.9315,7.6049,4.8238,7.5822
2.2311,31.2408,0.91,7.6334,4.8476,6.2092
2.0566,26.4081,0.9345,7.4656,4.2218,9.1444
2.2075,30.9298,0.8691,7.4117,4.7163,6.3502
2.1407,28.8947,0.9321,7.4515,4.7623,7.4126
2.3308,27.3994,0.8584,7.5399,4.8143,8.3843
1.9905,27.837,0.9383,7.4172,4.3348,8.0801
2.1272,30.1871,0.9092,7.3449,4.6018,6.7084
2.1217,31.5985,0.8615,7.6343,4.3542,6.0529
2.0704,27.3672,0.9271,7.4401,4.6829,8.4074
2.077,24.7146,0.8771,7.8499,4.0192,10.7217
1.9899,28.8938,0.9432,7.4722,4.3572,7.4132
2.0457,29.6628,0.9442,7.3537,4.4017,6.9808
2.3405,26.9083,0.8549,7.6806,4.711,8.7479
2.0645,27.8937,0.9106,7.4275,4.5699,8.0419
2.0276,27.5026,0.8926,7.3419,4.401,8.311
2.1092,30.4892,0.894,7.7252,4.5992,6.559
2.2314,33.1855,0.8605,7.3911,4.6851,5.4292
2.0965,30.5379,0.8982,7.5733,4.4544,6.5354
2.2694,31.3713,0.8666,7.6658,4.7281,6.1515
2.2265,29.1746,0.8629,7.6678,4.5973,7.2505
2.1527,27.7571,0.9137,7.4355,4.8067,8.1343
2.1416,29.9301,0.8773,7.3627,4.8096,6.8398
2.1744,32.6063,0.9073,7.4847,4.4921,5.6446
2.1747,25.9808,0.9013,7.4389,4.9101,9.5061
2.1571,31.457,0.8529,7.3836,4.4077,6.114
2.1072,26.0712,0.9109,7.7143,4.7564,9.4277
2.1473,32.2167,0.8524,7.5914,4.2491,5.7972
2.2568,30.5804,0.8571,7.8053,4.765,6.5149
2.2978,32.1954,0.8624,7.4067,4.9389,5.8057
2.1745,27.5566,0.8926,7.4048,4.8415,8.273
2.1496,28.3285,0.8592,7.3886,4.1004,7.7586
2.1659,24.315,0.9002,7.7215,4.717,11.1568
2.2126,25.6856,0.874,7.5754,4.6966,9.7693
2.3029,31.1281,0.8692,7.5009,4.8718,6.2597
2.131,31.028,0.8998,7.5566,4.6139,6.3052
2.0916,24.555,0.8669,7.6143,4.0325,10.8922
2.1666,27.3546,0.8987,7.5139,4.6726,8.4164
2.2313,31.0313,0.9056,7.5965,4.8278,6.3037
2.1505,29.2951,0.8625,7.4707,4.6379,7.1824
2.3422,26.0696,0.8519,7.489,4.8956,9.429
2.112,29.4365,0.8757,7.3704,4.2758,7.1038
2.1452,33.7018,0.8869,7.6626,4.821,5.248
2.1319,29.496,0.9489,7.3566,4.64,7.0711
2.1237,31.4183,0.8751,7.4727,4.3697,6.1309
2.1511,28.403,0.8795,7.3874,4.6754,7.7116
2.1866,27.0324,0.862,7.5826,4.4462,8.6537
2.1125,29.7993,0.8785,7.3938,4.2992,6.9082
2.065,30.0743,0.9082,7.7655,4.4762,6.7656
2.3978,26.5593,0.8536,7.7906,4.7859,9.0216
2.0645,32.5522,0.9253,7.3414,4.0641,5.6654
2.2701,26.2528,0.8713,7.716,4.8729,9.2733
2.1075,30.473,0.8836,7.3583,4.5141,6.5669
2.3353,26.5854,0.8502,7.4245,4.8939,9.0006
2.4003,25.4877,0.8581,7.7533,4.8582,9.9522
2.1666,28.318,0.8643,7.5702,4.3526,7.7652
2.1777,31.4535,0.906,7.6024,4.5936,6.1155
2.3163,29.2955,0.8652,7.982,4.767,7.1822
2.1567,28.8924,0.8769,7.4641,4.1858,7.414
2.1666,34.3175,0.8871,7.6885,4.6891,5.044
2.1443,29.9144,0.8616,7.5848,4.2759,6.8479
2.176,29.3357,0.91,7.6287,4.8354,7.1597
1.9922,31.8639,0.8852,7.5204,4.1759,5.941
