Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.1129,25.781,0.8663,7.8433,4.8933,10.5383
2.077,27.8878,0.8765,7.8185,4.9465,8.721
2.1232,28.4449,0.8563,7.7936,4.6772,8.322
2.1451,31.0227,0.8599,7.656,4.8724,6.8011
2.0942,29.5098,0.8678,8.0097,4.8881,7.6347
2.1554,30.1349,0.8556,7.8664,4.9201,7.2718
2.1681,24.9748,0.8535,8.1516,4.7215,11.3952
2.1781,28.9568,0.8501,7.6693,4.778,7.9801
2.121,28.7962,0.853,7.5927,4.6399,8.085
2.1727,24.8704,0.8501,7.9459,4.7834,11.5141
2.1388,29.1771,0.8513,7.5001,4.9228,7.8396
2.1198,27.5383,0.8642,7.771,4.8689,8.9868
2.1969,24.0967,0.8585,8.1976,4.9332,12.4593
2.1243,26.0557,0.8579,7.8629,4.7259,10.2692
2.0784,26.0928,0.8731,7.8964,4.773,10.2338
2.1463,29.252,0.8529,7.9887,4.8106,7.7927
2.144,25.3526,0.8618,7.9488,4.8329,10.9805
2.1561,24.2521,0.8594,8.4374,4.6664,12.2599
2.0687,26.3996,0.8757,7.9691,4.8872,9.9473
2.1636,24.7763,0.8594,8.2189,4.7622,11.6229
2.0687,27.4185,0.8725,7.6277,4.9157,9.0809
2.1591,25.7842,0.8532,8.1463,4.5671,10.5351
2.1453,24.2876,0.8639,7.997,4.8959,12.2151
2.1685,27.0856,0.8573,7.8535,4.9039,9.3505
2.1795,29.3388,0.8512,7.5749,4.8878,7.739
2.1765,24.2186,0.8523,7.7777,4.8222,12.3025
2.1,26.5604,0.8629,7.8604,4.7839,9.8022
2.1784,26.4706,0.8515,8.175,4.7205,9.8828
2.1241,24.9919,0.8686,7.736,4.9204,11.3758
2.1452,31.7945,0.852,8.0021,4.8784,6.4294
2.1314,27.7978,0.8598,7.7604,4.7988,8.7883
2.1072,26.0386,0.871,7.947,4.8305,10.2857
2.125,27.216,0.8642,7.8316,4.9363,9.2434
2.1806,25.9574,0.8586,7.7215,4.9387,10.3642
2.0997,32.337,0.8532,7.4288,4.8515,6.1869
2.0789,24.1463,0.8775,8.1305,4.8059,12.3952
2.126,26.2994,0.8567,7.8819,4.5878,10.0395
2.1545,25.0215,0.8547,7.5606,4.9465,11.3426
2.1091,27.3394,0.8742,8.0981,4.9418,9.1439
2.1495,28.4804,0.8568,7.9531,4.7404,8.2976
2.1622,26.0827,0.8578,7.9558,4.8767,10.2434
2.1347,26.2838,0.8573,7.7437,4.9364,10.0539
2.0839,25.0603,0.8727,7.8522,4.8806,11.2992
2.1075,28.7109,0.8539,7.4823,4.793,8.1415
2.1376,27.9459,0.8546,8.0801,4.5925,8.678
2.0771,29.7267,0.867,7.8059,4.8192,7.5057
2.1341,29.3807,0.8572,7.6764,4.793,7.7133
2.1295,26.3768,0.8584,7.8494,4.934,9.9682
2.1819,27.2487,0.8553,7.7286,4.9046,9.2169
2.1045,23.2587,0.867,8.2027,4.675,13.6278
2.1343,28.6397,0.8581,7.7202,4.8388,8.1893
2.1576,27.7523,0.859,7.9324,4.7803,8.8226
2.1058,27.1996,0.863,8.2089,4.7054,9.2568
2.1482,21.8124,0.8741,8.1011,4.8821,16.0938
2.1952,24.2874,0.8572,8.2609,4.9404,12.2153
2.0999,24.9809,0.8698,8.0815,4.8386,11.3883
2.1195,27.6797,0.8649,7.953,4.9441,8.8778
2.1165,28.5378,0.8547,7.419,4.9123,8.2583
2.1458,32.9756,0.8509,7.964,4.9336,5.9193
2.0887,22.3181,0.886,8.2537,4.7709,15.1572
2.1137,29.6786,0.8532,7.7035,4.8255,7.534
2.1176,32.0088,0.8527,7.3756,4.8627,6.3319
2.1606,24.2674,0.8508,7.8147,4.7221,12.2406
2.163,26.6546,0.8537,7.9422,4.6924,9.7187
2.0806,25.1306,0.8731,8.146,4.7683,11.2212
2.173,28.4289,0.8511,7.7918,4.9258,8.3331
2.2001,26.1729,0.8531,7.9762,4.9117,10.1578
2.1428,30.1722,0.8518,7.8387,4.8567,7.2511
2.162,22.7667,0.8653,8.5391,4.7655,14.396
2.1367,27.7282,0.8582,7.7162,4.7794,8.8408
2.0962,25.4694,0.8716,8.0267,4.8842,10.8571
2.0942,29.7592,0.8532,7.3674,4.9414,7.4866
2.066,27.8963,0.873,7.7623,4.8846,8.7147
2.1225,31.0888,0.8526,7.3959,4.8881,6.7679
2.1805,27.3672,0.8523,7.4592,4.8712,9.1217
2.104,27.1095,0.8672,7.7241,4.7494,9.3307
2.1312,26.3145,0.856,7.4465,4.8464,10.0255
2.1411,23.9742,0.8596,8.387,4.4994,12.6201
2.1458,29.6983,0.8508,7.4902,4.946,7.5224
2.1174,27.5353,0.8619,7.744,4.7271,8.9892
2.1135,25.7996,0.8622,7.8332,4.7342,10.5197
2.0949,26.3986,0.8715,7.8692,4.869,9.9483
