Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.2319,38.4044,0.8514,7.5886,4.5513,3.9585
2.2116,40.0434,0.8618,7.888,4.529,3.6237
2.2607,29.1485,0.8882,8.3701,4.6887,7.2654
2.2631,39.2568,0.8592,7.6415,4.4049,3.7786
2.2218,39.2137,0.868,7.7581,4.5655,3.7873
2.3137,29.9787,0.8713,8.0556,4.7168,6.8146
2.2439,39.1754,0.8656,7.4922,4.5782,3.7952
2.1751,39.9135,0.8689,7.6962,4.4758,3.6486
2.3146,28.6164,0.8564,8.6926,4.5656,7.5795
2.3191,27.6088,0.8637,8.0628,4.6596,8.2365
2.23,38.7441,0.8525,7.7959,4.6051,3.8852
2.2662,24.9018,0.8763,8.4432,4.3392,10.5269
2.2043,39.6489,0.8562,8.0211,4.7011,3.7001
2.2569,40.2349,0.8621,7.3824,4.7265,3.5875
2.2605,27.3117,0.8641,8.4815,4.0878,8.4475
2.2678,29.4114,0.8954,8.1561,4.5505,7.1177
2.1937,39.96,0.8543,7.9523,4.6397,3.6396
2.2326,39.4907,0.8542,7.5216,4.5966,3.7314
2.2607,38.9286,0.8788,7.6631,4.8658,3.8463
2.2603,40.0107,0.8509,7.5147,4.8273,3.6299
2.2636,39.3154,0.8686,7.3411,4.8037,3.7667
2.2699,38.4284,0.8515,7.7147,4.6054,3.9533
2.2688,28.935,0.8764,8.184,4.5521,7.3889
2.3304,36.8446,0.8516,7.5943,4.6958,4.325
2.3342,40.1133,0.8553,7.3496,4.673,3.6104
2.2187,37.6187,0.8557,7.8711,4.6517,4.1367
2.3078,35.6012,0.8518,7.4626,4.7046,4.657
2.2356,42.7227,0.8507,7.5127,4.635,3.1647
2.3201,27.5606,0.8584,8.149,4.616,8.2702
2.2698,32.0054,0.8681,8.212,4.3942,5.8826
2.3199,34.3472,0.8549,7.9607,4.2998,5.0345
2.2365,22.3885,0.8822,9.0047,4.1175,13.7059
2.2749,39.9006,0.865,7.6407,4.8071,3.651
2.2325,39.8136,0.8631,7.6083,4.6244,3.6679
2.2112,39.4841,0.8581,7.9239,4.534,3.7328
2.2896,39.1571,0.8514,7.4826,4.4855,3.7989
2.2567,30.296,0.8973,7.877,4.6295,6.6539
2.3017,39.4954,0.8505,7.7482,4.4944,3.7305
2.248,31.2348,0.8888,7.8665,4.6562,6.2118
2.3316,38.0332,0.8541,7.6153,4.7214,4.0412
2.3863,27.4862,0.8521,8.1641,4.6656,8.3226
2.1625,39.8773,0.8679,7.7794,4.5124,3.6555
2.3222,26.717,0.8765,8.3517,4.6223,8.8963
2.3447,29.1286,0.8529,7.9641,4.4374,7.2768
2.2253,27.9034,0.8847,8.2372,4.5874,8.0354
2.2049,38.6261,0.8582,7.5654,4.5355,3.9104
2.2458,26.7854,0.8569,8.3296,4.1367,8.8427
2.2631,40.3293,0.8552,7.5226,4.5948,3.5698
2.3135,35.2443,0.8511,7.832,4.5362,4.7598
2.182,34.5575,0.8759,8.0801,4.3114,4.9679
2.1855,33.9317,0.8732,8.1628,4.4955,5.1703
2.2254,39.5727,0.856,7.7354,4.6026,3.7151
2.3437,28.1558,0.8652,8.4451,4.5918,7.8692
2.2315,40.1826,0.8529,7.7262,4.5841,3.5973
2.2273,38.5844,0.8567,7.9081,4.5682,3.9194
2.2698,27.5677,0.8837,8.2171,4.691,8.2652
