2.5802e-01	2.5286e-01	2.5409e-01	2.5533e-01	2.5657e-01	2.5787e-01	2.6154e-01	2.7134e-01	2.8122e-01	2.9117e-01	3.0874e-01	3.3332e-01	3.7032e-01	4.6034e-01
2.8138e-01	2.7664e-01	2.7790e-01	2.7916e-01	2.8043e-01	2.9019e-01	3.0067e-01	3.1079e-01	3.2098e-01	3.4248e-01	3.6598e-01	4.2538e-01	5.0328e-01	5.4235e-01
3.0519e-01	3.0087e-01	3.0215e-01	3.0843e-01	3.1899e-01	3.2970e-01	3.4050e-01	3.5165e-01	3.7540e-01	3.9949e-01	4.4150e-01	5.4748e-01	5.7961e-01	5.2872e-01
3.1947e-01	3.1984e-01	3.3119e-01	3.4454e-01	3.5803e-01	3.7042e-01	3.8377e-01	4.0849e-01	4.3366e-01	4.7004e-01	5.3804e-01	6.1777e-01	5.6198e-01	4.6858e-01
3.3343e-01	3.4837e-01	3.6190e-01	3.7555e-01	3.8935e-01	4.0796e-01	4.3726e-01	4.6717e-01	5.0172e-01	5.6934e-01	6.4105e-01	5.9596e-01	5.0053e-01	4.1081e-01
4.0015e-01	3.8130e-01	3.9219e-01	4.0538e-01	4.2564e-01	4.5450e-01	4.8884e-01	5.3346e-01	6.1367e-01	6.9808e-01	7.2478e-01	5.3545e-01	4.4081e-01	3.6456e-01
4.2650e-01	4.0598e-01	4.1420e-01	4.3864e-01	4.7426e-01	5.1076e-01	5.5907e-01	6.4062e-01	7.2644e-01	7.7046e-01	6.9473e-01	4.6969e-01	3.9049e-01	3.4738e-01
4.4766e-01	4.3111e-01	4.5982e-01	4.9596e-01	5.3300e-01	5.8512e-01	6.6803e-01	7.5528e-01	8.0980e-01	7.3421e-01	6.1989e-01	4.1641e-01	3.7449e-01	3.3257e-01
4.7356e-01	4.8131e-01	5.1799e-01	5.5557e-01	6.1159e-01	6.9589e-01	7.8460e-01	8.5001e-01	7.7115e-01	6.5461e-01	5.5325e-01	3.9668e-01	3.5672e-01	3.1775e-01
5.2029e-01	5.4034e-01	5.7847e-01	6.3851e-01	7.2422e-01	8.1441e-01	8.9112e-01	8.0888e-01	6.8631e-01	5.8582e-01	4.9630e-01	3.7829e-01	3.3885e-01	3.0022e-01
5.7615e-01	6.0171e-01	6.6588e-01	7.5302e-01	8.4471e-01	9.3314e-01	8.4741e-01	7.1861e-01	6.1734e-01	5.2604e-01	4.6554e-01	3.6014e-01	3.2122e-01	2.8293e-01
6.2648e-01	6.9370e-01	7.8230e-01	8.7552e-01	9.7342e-01	8.8677e-01	7.5154e-01	6.4950e-01	5.5638e-01	4.9144e-01	4.4276e-01	3.4223e-01	3.0382e-01	2.6587e-01
7.0118e-01	7.9466e-01	8.8705e-01	9.9864e-01	9.2696e-01	7.8509e-01	6.8229e-01	5.8732e-01	5.1779e-01	4.6826e-01	4.2034e-01	3.2561e-01	2.9570e-01	2.6709e-01
7.9880e-01	8.8444e-01	1.0105e+00	9.4444e-01	8.0926e-01	7.1501e-01	6.1888e-01	5.4460e-01	4.9420e-01	4.4544e-01	4.0230e-01	3.2727e-01	2.9733e-01	2.6880e-01
8.8183e-01	1.0225e+00	9.5416e-01	8.2199e-01	7.2795e-01	6.3876e-01	5.6818e-01	5.2060e-01	4.7829e-01	4.3896e-01	4.0068e-01	3.2892e-01	2.9908e-01	2.7052e-01
1.0280e+00	9.6394e-01	8.3173e-01	7.4099e-01	6.5113e-01	5.7790e-01	5.4379e-01	5.1041e-01	4.7658e-01	4.3730e-01	3.9906e-01	3.3058e-01	3.0084e-01	2.7223e-01
