# p1, resistivity (kohm.cm)
31.1359,6.744478969
30.2899,7.186046792
31.3116,6.658105351
30.3315,7.163286644
31.8389,6.409036091
30.4152,7.117833757
34.5175,5.343224407
31.5786,6.530128656
32.3638,6.175304191
32.1045,6.289066889
32.3873,6.165153668
31.8831,6.388823785
31.3614,6.633938924
32.7009,6.032163198
31.447,6.592719839
32.9693,5.921876493
31.31,6.658884069
32.6603,6.049126034
31.5895,6.524986232
33.4901,5.716693632
33.6697,5.648510373
31.1419,6.741500487
32.0697,6.304584475
31.9631,6.352493574
32.1032,6.289645492
34.5125,5.344948438
30.3412,7.157995833
33.3687,5.763515535
33.7012,5.636683139
34.3603,5.397848045
31.913,6.375207347
31.7082,6.469394174
33.6442,5.658113315
31.2819,6.672583609
33.6783,5.645277493
33.6014,5.674288813
34.2282,5.444429888
30.6485,6.993499744
33.5141,5.707507825
34.4215,5.376478757
30.6933,6.970013854
33.73,5.6259036
31.3636,6.632874503
34.5407,5.335236299
30.6628,6.985989671
30.4181,7.116267035
30.7533,6.93875266
34.0423,5.511058142
30.7083,6.962177891
32.3489,6.181753631
32.2938,6.205695517
34.0362,5.513266061
34.2871,5.423582714
34.5244,5.340846676
32.0216,6.326131633
33.0362,5.894878745
33.0526,5.888289901
33.9325,5.551013833
31.8592,6.399740637
30.991,6.817040424
33.2873,5.795247665
30.64,6.997969771
31.0027,6.811136112
31.4559,6.588457258
34.4573,5.364039824
30.4474,7.100468004
31.9633,6.352403155
32.3999,6.159722025
30.4824,7.081667387
33.186,5.835121394
30.6153,7.010984588
31.7673,6.441991557
33.7061,5.634846836
31.1698,6.727677588
33.8428,5.583993269
33.5403,5.697506371
30.7852,6.922221509
32.034,6.320565826
32.5365,6.101314354
30.1467,7.265267242
33.9403,5.54816049
31.5432,6.546873629
32.1711,6.25953585
33.6982,5.63780787
33.8251,5.590537194
30.3402,7.158540994
33.3377,5.775568072
31.382,6.623982544
32.8652,5.964273545
32.1451,6.271038571
32.6206,6.065785255
33.1959,5.831205623
34.0692,5.501338091
31.9776,6.34594339
30.1028,7.289827762
32.8868,5.955437428
31.0795,6.772577811
32.8518,5.969765543
31.8383,6.409311156
30.8566,6.885443687
30.6216,7.007661417
30.9266,6.849683438
31.3015,6.663023404
31.7574,6.446569144
33.866,5.575434085
32.3628,6.175736709
31.6165,6.512275417
31.2394,6.693387647
33.6246,5.665511804
31.0259,6.799452096
32.3188,6.194814614
30.5965,7.020916048
32.0697,6.304584475
30.9848,6.820172456
34.4425,5.369176701
34.336,5.406369851
30.5767,7.031399638
33.43,5.739798357
31.3286,6.649840278
32.2064,6.243971542
33.2141,5.824017671
30.472,7.087245701
30.1346,7.272023808
31.5743,6.532159066
31.4847,6.574693299
34.4513,5.366121413
32.3126,6.197510288
30.4617,7.092777168
31.0856,6.76952991
30.2427,7.212008356
32.3232,6.192902669
30.5251,7.058836091
34.4452,5.368238993
33.5476,5.694724599
34.3841,5.389521974
30.8501,6.888779122
31.9294,6.367758104
32.0646,6.306863645
34.4186,5.377488359
31.6264,6.507624506
34.1507,5.472052313
33.9513,5.544140451
33.8442,5.583476183
30.5464,7.047490277
32.6096,6.070413884
31.6196,6.510818511
34.4883,5.35330508
31.7592,6.445736476
30.9819,6.821638214
34.3808,5.390675227
33.8271,5.589797165
31.9965,6.337421442
30.4966,7.074061949
30.7298,6.950970398
30.1927,7.239670712
32.7845,5.997468738
30.1415,7.268169684
34.2685,5.430152497
32.2822,6.210754433
30.9015,6.862472496
31.6632,6.490381834
32.5016,6.116154144
31.8393,6.408852725
34.5394,5.335683413
31.1112,6.756762136
31.6739,6.485381774
31.8928,6.384401421
31.7015,6.472512259
31.8895,6.385905398
32.7595,6.007811028
