# p1, resistivity (kohm.cm)
   26.2913,   10.0470
   24.3912,   12.0857
   25.7221,   10.5975
   25.4427,   10.8851
   24.5986,   11.8329
   27.5499,    8.9778
   26.9324,    9.4788
   24.6747,   11.7423
   25.7391,   10.5803
   27.3255,    9.1550
   27.2991,    9.1762
   27.9407,    8.6819
   27.5548,    8.9740
   25.1647,   11.1838
   26.3228,   10.0179
   27.9508,    8.6744
   24.3486,   12.1386
   27.5531,    8.9753
   27.7314,    8.8385
   23.6957,   12.9981
   24.8692,   11.5154
   26.4077,    9.9399
   25.0743,   11.2836
   25.2887,   11.0490
   27.6470,    8.9028
   26.4408,    9.9098
   27.7203,    8.8469
   26.9948,    9.4262
   27.8416,    8.7554
   24.8863,   11.4958
   26.6525,    9.7205
   26.1932,   10.1386
   25.5248,   10.7994
   26.0336,   10.2905
   25.3156,   11.0201
   24.5096,   11.9404
   25.2755,   11.0632
   24.7746,   11.6250
   26.3522,    9.9907
   26.0543,   10.2706
   26.5423,    9.8184
   27.4961,    9.0198
   23.7935,   12.8633
   26.8413,    9.5564
   27.6601,    8.8928
   24.1371,   12.4071
   25.7375,   10.5820
   24.1946,   12.3331
   24.6817,   11.7340
   25.7983,   10.5211
   24.2684,   12.2393
   27.3581,    9.1289
   24.8460,   11.5422
   27.4746,    9.0367
   26.9216,    9.4880
   25.7545,   10.5648
   25.6560,   10.6644
   27.9439,    8.6795
   25.1746,   11.1728
   25.8745,   10.4455
   23.7855,   12.8743
   24.4140,   12.0575
   24.5774,   11.8584
   27.5259,    8.9966
   27.5828,    8.9523
   26.4811,    9.8733
   27.2384,    9.2252
   28.2501,    8.4582
   26.4476,    9.9036
   24.5896,   11.8437
   25.4464,   10.8813
   26.1297,   10.1986
   26.1864,   10.1450
   27.6619,    8.8914
   27.3672,    9.1217
   26.3600,    9.9836
   24.7967,   11.5992
   27.3238,    9.1563
   26.4303,    9.9193
   27.3094,    9.1679
   23.8251,   12.8203
   24.7803,   11.6183
   28.1042,    8.5626
   24.2953,   12.2054
   26.8129,    9.5808
   23.7341,   12.9448
   27.0632,    9.3691
   27.7067,    8.8572
   26.6363,    9.7348
   26.5828,    9.7822
   27.9679,    8.6618
   25.1890,   11.1572
   25.5486,   10.7747
   24.1034,   12.4506
   28.0089,    8.6318
   26.6188,    9.7503
   25.6465,   10.6741
   26.3095,   10.0301
   26.4530,    9.8988
   27.3876,    9.1054
   25.4554,   10.8718
   26.4195,    9.9291
   25.3993,   10.9309
   26.6116,    9.7566
   27.1791,    9.2735
   24.5293,   11.9165
   27.8981,    8.7133
   24.5474,   11.8945
   27.1274,    9.3160
   27.2960,    9.1787
   27.2075,    9.2504
   24.4336,   12.0333
   24.3438,   12.1446
   27.6364,    8.9109
   25.6785,   10.6415
   25.5817,   10.7405
   24.2249,   12.2944
   25.1207,   11.2322
   25.0345,   11.3280
   24.3304,   12.1614
   23.7112,   12.9766
   26.5014,    9.8551
   24.3115,   12.1851
   26.9899,    9.4304
   24.8414,   11.5474
   25.2057,   11.1389
   24.4395,   12.0260
   25.9795,   10.3428
   25.0298,   11.3333
   26.4707,    9.8827
   27.8972,    8.7140
   26.5652,    9.7979
   23.9280,   12.6816
   24.3639,   12.1195
   25.0790,   11.2783
   23.9908,   12.5982
   25.9523,   10.3692
   27.7440,    8.8289
   28.2554,    8.4545
   25.1687,   11.1793
   25.5344,   10.7893
   27.4839,    9.0294
   27.2011,    9.2556
   27.9821,    8.6514
   27.7749,    8.8055
   24.9664,   11.4047
   24.6214,   11.8057
   27.1352,    9.3096
   28.0252,    8.6199
   26.9481,    9.4655
   28.1075,    8.5602
   25.2746,   11.0641
   23.6931,   13.0016
   24.8393,   11.5499
   27.6469,    8.9029
   26.8823,    9.5214
   25.3933,   10.9373
   24.8989,   11.4815
   27.5354,    8.9891
   25.1483,   11.2017
   25.6229,   10.6982
   28.1218,    8.5499
   27.4208,    9.0791
   24.4522,   12.0104
   25.5292,   10.7948
   24.8878,   11.4941
   25.0044,   11.3617
   24.6333,   11.7914
   24.4619,   11.9986
   25.8816,   10.4385
   28.2653,    8.4475
   24.6856,   11.7294
   27.8865,    8.7220
   26.2924,   10.0460
   27.0580,    9.3734
   27.5498,    8.9779
   25.5888,   10.7332
   27.0922,    9.3451
   27.4942,    9.0213
   24.1264,   12.4209
   26.3706,    9.9739
   25.2707,   11.0684
   26.3812,    9.9641
   24.4472,   12.0166
   27.2579,    9.2094
   27.5959,    8.9422
   25.3011,   11.0357
   25.0794,   11.2779
   27.1211,    9.3212
   25.6011,   10.7205
   26.4664,    9.8866
   27.0684,    9.3648
   25.4212,   10.9078
   24.9054,   11.4740
   25.7126,   10.6070
   26.9297,    9.4812
   26.1921,   10.1397
   24.0434,   12.5290
   26.1056,   10.2215
   26.4485,    9.9028
   27.4443,    9.0606
   25.6440,   10.6766
   23.8839,   12.7408
   25.4560,   10.8711
   23.7167,   12.9689
   28.1673,    8.5172
   26.6326,    9.7381
   23.7361,   12.9421
   24.6326,   11.7923
   26.8524,    9.5470
   28.0149,    8.6274
   26.3286,   10.0125
   27.7344,    8.8362
   24.2113,   12.3118
   27.8125,    8.7772
   26.6322,    9.7384
   25.6767,   10.6433
   26.3075,   10.0320
   27.4621,    9.0465
   23.8578,   12.7760
   27.8124,    8.7773
   28.1137,    8.5557
   25.1790,   11.1680
   26.4969,    9.8591
   23.9886,   12.6011
   23.7416,   12.9345
   27.5295,    8.9937
   23.7016,   12.9899
   26.3848,    9.9608
   27.6056,    8.9347
   26.0630,   10.2622
   27.1000,    9.3386
   26.6000,    9.7669
   25.1226,   11.2301
   25.0522,   11.3082
   27.5045,    9.0132
   25.8981,   10.4223
   27.9388,    8.6832
   26.7766,    9.6122
   23.9921,   12.5965
   24.9993,   11.3675
   27.1090,    9.3311
   27.5726,    8.9602
   25.0767,   11.2810
   28.0001,    8.6382
   25.7768,   10.5425
   27.5280,    8.9949
   24.3457,   12.1422
   27.8016,    8.7854
   28.0652,    8.5908
   25.1760,   11.1714
   27.8542,    8.7461
   25.1773,   11.1699
   27.5809,    8.9538
   24.1129,   12.4383
   27.4837,    9.0296
   25.1737,   11.1738
   27.6846,    8.8741
   25.5413,   10.7822
   27.4173,    9.0818
   23.9897,   12.5996
   25.8017,   10.5176
   25.5370,   10.7867
   23.9263,   12.6839
   24.4684,   11.9906
   25.7654,   10.5539
   25.2822,   11.0560
   24.0058,   12.5783
   26.6328,    9.7379
   24.8877,   11.4942
   24.4067,   12.0665
   25.5113,   10.8133
   25.8215,   10.4979
   26.1785,   10.1524
   23.7110,   12.9768
   25.7159,   10.6037
   24.6222,   11.8047
   27.0524,    9.3781
   27.8787,    8.7277
   26.7142,    9.6664
   26.3300,   10.0112
   27.4086,    9.0887
   25.4873,   10.8384
   26.9853,    9.4343
   25.6717,   10.6485
   26.7948,    9.5964
   26.8075,    9.5855
   25.6729,   10.6472
   24.6030,   11.8277
   24.3830,   12.0958
   24.0390,   12.5347
   25.7524,   10.5669
   27.0234,    9.4023
   27.6288,    8.9168
   27.7787,    8.8027
   26.6688,    9.7062
   27.9518,    8.6737
   24.5432,   11.8996
   25.7713,   10.5480
   25.2252,   11.1177
   25.9309,   10.3901
   25.8491,   10.4705
   27.7574,    8.8188
   26.7414,    9.6427
   25.6895,   10.6304
   27.9969,    8.6406
   27.5544,    8.9744
   24.2915,   12.2101
   26.2447,   10.0903
   23.9753,   12.6187
   24.3301,   12.1617
   25.0660,   11.2928
   24.0624,   12.5041
   24.3124,   12.1839
   24.2495,   12.2632
   25.2305,   11.1119
   24.2951,   12.2056
   27.8905,    8.7190
   25.4360,   10.8922
   25.5367,   10.7870
   27.4332,    9.0693
   24.4358,   12.0306
   25.9381,   10.3831
   24.4643,   11.9956
   24.3316,   12.1598
   27.9196,    8.6974
   28.1679,    8.5168
   23.9156,   12.6982
   26.9504,    9.4636
   28.0708,    8.5867
   26.1661,   10.1642
   23.7677,   12.8987
   25.0291,   11.3340
   27.4687,    9.0413
   27.5205,    9.0007
   26.0258,   10.2980
   24.0589,   12.5086
   26.8760,    9.5268
   25.1663,   11.1819
   26.1008,   10.2261
   27.1523,    9.2955
