"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16"
4.514920711517333984e-01,4.607793092727661133e-01,4.586664438247680664e-01,4.562156200408935547e-01,4.563224315643310547e-01,4.597953557968139648e-01,4.706915616989135742e-01,4.816693067550659180e-01,4.927289485931396484e-01,5.311691761016845703e-01,5.871940851211547852e-01,6.498957872390747070e-01,7.180435657501220703e-01,8.302284479141235352e-01,9.564393758773803711e-01,9.530104398727416992e-01
4.979840517044067383e-01,4.985780715942382812e-01,4.929523468017578125e-01,4.918545484542846680e-01,5.160415172576904297e-01,5.088590383529663086e-01,5.198562145233154297e-01,5.370877981185913086e-01,5.880192518234252930e-01,6.406382322311401367e-01,6.978601217269897461e-01,7.830157279968261719e-01,9.085966348648071289e-01,1.072146177291870117e+00,1.049232482910156250e+00,8.825360536575317383e-01
5.329464673995971680e-01,5.303428173065185547e-01,5.786134004592895508e-01,5.880235433578491211e-01,5.665565729141235352e-01,5.566574335098266602e-01,5.768080949783325195e-01,6.290556192398071289e-01,6.830341815948486328e-01,7.388015985488891602e-01,8.438416719436645508e-01,9.819680452346801758e-01,1.182857751846313477e+00,1.154248237609863281e+00,9.750243425369262695e-01,7.876338958740234375e-01
5.650005340576171875e-01,6.843470335006713867e-01,6.634231805801391602e-01,6.409370899200439453e-01,6.187548637390136719e-01,6.175546646118164062e-01,6.711523532867431641e-01,7.265260219573974609e-01,7.822377681732177734e-01,8.914682865142822266e-01,1.021331310272216797e+00,1.194601058959960938e+00,1.176323652267456055e+00,1.009031772613525391e+00,8.747202157974243164e-01,7.281603813171386719e-01
7.491033077239990234e-01,7.414592504501342773e-01,7.188490629196166992e-01,6.902366876602172852e-01,6.743897199630737305e-01,6.965482234954833984e-01,7.457333803176879883e-01,8.014630079269409180e-01,9.118719100952148438e-01,1.044314384460449219e+00,1.205793857574462891e+00,1.195674180984497070e+00,1.030650377273559570e+00,9.127660989761352539e-01,7.880208492279052734e-01,6.780204772949218750e-01
7.672356367111206055e-01,7.623922824859619141e-01,7.348401546478271484e-01,7.243911027908325195e-01,7.362629175186157227e-01,7.636103630065917969e-01,8.208955526351928711e-01,9.282094240188598633e-01,1.040718555450439453e+00,1.214157581329345703e+00,1.215196132659912109e+00,1.052501440048217773e+00,9.333485364913940430e-01,8.257999420166015625e-01,7.357453107833862305e-01,6.289610862731933594e-01
7.472802400588989258e-01,7.591571807861328125e-01,7.721595764160156250e-01,7.868432998657226562e-01,7.941619157791137695e-01,8.290580511093139648e-01,9.357818365097045898e-01,1.048732995986938477e+00,1.195094823837280273e+00,1.243593215942382812e+00,1.074587583541870117e+00,9.541527032852172852e-01,8.407092094421386719e-01,7.854313850402832031e-01,6.849982738494873047e-01,5.813359022140502930e-01
7.265651226043701172e-01,7.756143808364868164e-01,8.178954124450683594e-01,8.419429063796997070e-01,8.567894697189331055e-01,9.464701414108276367e-01,1.056848764419555664e+00,1.176789760589599609e+00,1.237142086029052734e+00,1.093832254409790039e+00,9.751806259155273438e-01,8.605164289474487305e-01,7.929581403732299805e-01,7.429629564285278320e-01,6.357346773147583008e-01,5.381814241409301758e-01
7.228163480758666992e-01,8.044302463531494141e-01,8.561644554138183594e-01,8.911926746368408203e-01,9.906948804855346680e-01,1.092569112777709961e+00,1.211232662200927734e+00,1.259301900863647461e+00,1.109271287918090820e+00,9.935983419418334961e-01,8.805366754531860352e-01,8.005166053771972656e-01,7.533158063888549805e-01,6.920049190521240234e-01,5.879114866256713867e-01,5.269716978073120117e-01
7.458717823028564453e-01,8.295193910598754883e-01,8.943562507629394531e-01,9.854681491851806641e-01,1.094071865081787109e+00,1.237540483474731445e+00,1.293971776962280273e+00,1.145009994506835938e+00,1.008883476257324219e+00,8.981627225875854492e-01,8.081067800521850586e-01,7.607071399688720703e-01,7.145498991012573242e-01,6.425365209579467773e-01,5.728697776794433594e-01,5.158437490463256836e-01
