"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16"
4.617723226547241211e-01,4.711456298828125000e-01,4.682749509811401367e-01,4.656406641006469727e-01,4.657480716705322266e-01,4.662135839462280273e-01,4.771577119827270508e-01,4.881836175918579102e-01,4.992918968200683594e-01,5.191365480422973633e-01,5.731192827224731445e-01,6.380956172943115234e-01,7.057558298110961914e-01,7.887065410614013672e-01,9.336004257202148438e-01,1.004562854766845703e+00
5.084342956542968750e-01,5.084751844406127930e-01,5.026072263717651367e-01,5.013308525085449219e-01,5.493217706680297852e-01,5.283780097961425781e-01,5.263562202453613281e-01,5.374808311462402344e-01,5.737847089767456055e-01,6.259319782257080078e-01,6.815958023071289062e-01,7.481999397277832031e-01,8.606734275817871094e-01,1.036938190460205078e+00,1.121870756149291992e+00,9.746060371398925781e-01
5.437393188476562500e-01,5.402666330337524414e-01,5.648695230484008789e-01,6.228839159011840820e-01,6.009457111358642578e-01,5.793040990829467773e-01,5.747088193893432617e-01,6.144531965255737305e-01,6.679480075836181641e-01,7.232154607772827148e-01,7.949217557907104492e-01,9.481401443481445312e-01,1.132925271987915039e+00,1.189804077148437500e+00,1.053483009338378906e+00,8.327484130859375000e-01
5.728987455368041992e-01,6.828052997589111328e-01,6.998373270034790039e-01,6.768790483474731445e-01,6.542307138442993164e-01,6.318882703781127930e-01,6.560859680175781250e-01,7.110497951507568359e-01,7.609834671020507812e-01,8.333331346511840820e-01,9.787217378616333008e-01,1.140136241912841797e+00,1.207661867141723633e+00,1.071740865707397461e+00,9.081521034240722656e-01,7.464596033096313477e-01
7.727357149124145508e-01,7.726329565048217773e-01,7.563829421997070312e-01,7.255879640579223633e-01,6.932255029678344727e-01,6.979594230651855469e-01,7.283964157104492188e-01,7.785989046096801758e-01,8.527276515960693359e-01,9.688545465469360352e-01,1.147490262985229492e+00,1.225703477859497070e+00,1.090161085128784180e+00,9.385941028594970703e-01,8.065388202667236328e-01,6.953992843627929688e-01
7.869256734848022461e-01,7.831169366836547852e-01,7.663201093673706055e-01,7.377945184707641602e-01,7.479370832443237305e-01,7.595831155776977539e-01,7.908085584640502930e-01,8.612365722656250000e-01,9.699784517288208008e-01,1.128921270370483398e+00,1.244321346282958984e+00,1.109139919281005859e+00,9.589097499847412109e-01,8.453218936920166016e-01,7.531330585479736328e-01,6.455701589584350586e-01
7.668224573135375977e-01,7.809469699859619141e-01,7.670091390609741211e-01,7.898694276809692383e-01,7.989686727523803711e-01,8.064955472946166992e-01,8.678191900253295898e-01,9.769457578659057617e-01,1.111031770706176758e+00,1.233419895172119141e+00,1.128335952758789062e+00,9.792187213897705078e-01,8.644530773162841797e-01,7.953991889953613281e-01,7.005370855331420898e-01,5.962009429931640625e-01
7.454739809036254883e-01,7.684165239334106445e-01,8.059645891189575195e-01,8.285849094390869141e-01,8.465214967727661133e-01,8.802607059478759766e-01,9.839375019073486328e-01,1.099848270416259766e+00,1.225189685821533203e+00,1.117587566375732422e+00,9.997380971908569336e-01,8.837827444076538086e-01,8.023353815078735352e-01,7.551999092102050781e-01,6.495187282562255859e-01,5.483131408691406250e-01
7.243833541870117188e-01,7.939757108688354492e-01,8.289170265197753906e-01,8.543733358383178711e-01,9.007974863052368164e-01,9.919955730438232422e-01,1.107274532318115234e+00,1.216989994049072266e+00,1.132371902465820312e+00,1.015575885772705078e+00,9.033128023147583008e-01,8.092983961105346680e-01,7.619806528091430664e-01,7.046172618865966797e-01,6.000310182571411133e-01,5.310349464416503906e-01
7.407457828521728516e-01,8.112457990646362305e-01,8.521611690521240234e-01,8.866782188415527344e-01,9.801086187362670898e-01,1.091433525085449219e+00,1.209301948547363281e+00,1.138481616973876953e+00,1.029647827148437500e+00,9.184784889221191406e-01,8.162883520126342773e-01,7.687878608703613281e-01,7.225297689437866211e-01,6.534767150878906250e-01,5.760868787765502930e-01,5.191152095794677734e-01
7.592105865478515625e-01,8.177039623260498047e-01,8.672384023666381836e-01,9.664206504821777344e-01,1.070938348770141602e+00,1.194222450256347656e+00,1.139027595520019531e+00,1.033676862716674805e+00,9.318724870681762695e-01,8.284677267074584961e-01,7.756212949752807617e-01,7.291842699050903320e-01,6.900866031646728516e-01,6.351108551025390625e-01,5.825338363647460938e-01,5.316475629806518555e-01
7.630794048309326172e-01,8.244187831878662109e-01,9.349011182785034180e-01,1.050090312957763672e+00,1.170209646224975586e+00,1.120420217514038086e+00,1.031444072723388672e+00,9.523110389709472656e-01,8.705868721008300781e-01,8.203679323196411133e-01,7.607704401016235352e-01,7.218247652053833008e-01,6.967060565948486328e-01,6.533068418502807617e-01,6.001448631286621094e-01,5.486922264099121094e-01
