"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16"
4.413329362869262695e-01,4.505552053451538086e-01,4.481136798858642578e-01,4.455929994583129883e-01,4.456989765167236328e-01,4.483587741851806641e-01,4.591697454452514648e-01,4.700613021850585938e-01,4.810342788696289062e-01,5.004656314849853516e-01,5.546673536300659180e-01,6.165463924407958984e-01,6.833165884017944336e-01,7.622354030609130859e-01,8.834047317504882812e-01,9.052696228027343750e-01
4.878762960433959961e-01,4.881896972656250000e-01,4.825268983840942383e-01,4.813469648361206055e-01,5.063439607620239258e-01,4.974172115325927734e-01,5.083309412002563477e-01,5.193241834640502930e-01,5.598598718643188477e-01,6.115456819534301758e-01,6.670026779174804688e-01,7.312152385711669922e-01,8.473920822143554688e-01,9.853399991989135742e-01,1.003083944320678711e+00,8.764108419418334961e-01
5.225708484649658203e-01,5.196561813354492188e-01,5.559836626052856445e-01,5.778654813766479492e-01,5.565358400344848633e-01,5.448530912399291992e-01,5.561125278472900391e-01,6.001683473587036133e-01,6.531898975372314453e-01,7.079684734344482422e-01,7.839181423187255859e-01,9.076266288757324219e-01,1.091312885284423828e+00,1.125330924987792969e+00,9.692991971969604492e-01,7.824518680572509766e-01
5.544078350067138672e-01,6.734042167663574219e-01,6.527829170227050781e-01,6.304405927658081055e-01,6.084002256393432617e-01,5.937917232513427734e-01,6.415187120437622070e-01,6.959103345870971680e-01,7.515009641647338867e-01,8.365678787231445312e-01,9.512094259262084961e-01,1.120688199996948242e+00,1.149973869323730469e+00,1.015309572219848633e+00,8.741195201873779297e-01,7.213943004608154297e-01
7.458989620208740234e-01,7.302665710449218750e-01,7.078541517257690430e-01,6.847674846649169922e-01,6.540428400039672852e-01,6.711359024047851562e-01,7.195841073989868164e-01,7.694370746612548828e-01,8.563791513442993164e-01,9.701536893844604492e-01,1.131284713745117188e+00,1.167507410049438477e+00,1.036995649337768555e+00,9.187430143356323242e-01,7.856259346008300781e-01,6.757729053497314453e-01
7.738316059112548828e-01,7.632416486740112305e-01,7.301597595214843750e-01,7.015945911407470703e-01,7.133094072341918945e-01,7.371934652328491211e-01,7.875568866729736328e-01,8.764040470123291016e-01,9.903941154479980469e-01,1.139233112335205078e+00,1.185182809829711914e+00,1.058915138244628906e+00,9.393895864486694336e-01,8.296383619308471680e-01,7.334203720092773438e-01,6.267791986465454102e-01
7.545839548110961914e-01,7.639443874359130859e-01,7.524083852767944336e-01,7.644730806350708008e-01,7.766206264495849609e-01,8.026666641235351562e-01,8.880451917648315430e-01,9.982107877731323242e-01,1.120815038681030273e+00,1.193659782409667969e+00,1.081070184707641602e+00,9.602589607238769531e-01,8.464609384536743164e-01,7.891849279403686523e-01,6.827411651611328125e-01,5.792177915573120117e-01
7.336355447769165039e-01,7.645796537399291992e-01,8.061105012893676758e-01,8.190798759460449219e-01,8.265305757522583008e-01,8.954597711563110352e-01,1.006057977676391602e+00,1.123109817504882812e+00,1.185121059417724609e+00,1.099423885345458984e+00,9.813524484634399414e-01,8.663300275802612305e-01,7.967275381088256836e-01,7.406283617019653320e-01,6.335437297821044922e-01,5.330469608306884766e-01
7.128077745437622070e-01,7.924798727035522461e-01,8.404772281646728516e-01,8.724058866500854492e-01,9.306402206420898438e-01,1.026208877563476562e+00,1.142070531845092773e+00,1.199286699295043945e+00,1.114904165267944336e+00,9.989224672317504883e-01,8.864128589630126953e-01,8.043018579483032227e-01,7.570016384124755859e-01,6.897386312484741211e-01,5.857846736907958984e-01,5.217273235321044922e-01
7.356657981872558594e-01,8.168653249740600586e-01,8.783460855484008789e-01,9.444425106048583984e-01,1.047621488571166992e+00,1.166171312332153320e+00,1.231160879135131836e+00,1.134670257568359375e+00,1.012547731399536133e+00,9.032319784164428711e-01,8.119080066680908203e-01,7.644085884094238281e-01,7.181543111801147461e-01,6.403365135192871094e-01,5.674678087234497070e-01,5.106375217437744141e-01
7.565397024154663086e-01,8.394662141799926758e-01,9.360698461532592773e-01,1.041231155395507812e+00,1.158367633819580078e+00,1.258217334747314453e+00,1.166797637939453125e+00,1.036258459091186523e+00,9.145548343658447266e-01,8.210765123367309570e-01,7.718465328216552734e-01,7.253974676132202148e-01,6.801658868789672852e-01,6.194001436233520508e-01,5.671153068542480469e-01,5.165183544158935547e-01
7.774429321289062500e-01,8.916460275650024414e-01,1.027072668075561523e+00,1.142190694808959961e+00,1.237336874008178711e+00,1.169935464859008789e+00,1.074658393859863281e+00,9.548301696777343750e-01,8.442685604095458984e-01,7.979167699813842773e-01,7.494463920593261719e-01,7.106010913848876953e-01,6.888222694396972656e-01,6.384140253067016602e-01,5.855151414871215820e-01,5.343241691589355469e-01
8.280885219573974609e-01,9.642660617828369141e-01,1.109863281250000000e+00,1.206274986267089844e+00,1.158134222030639648e+00,1.073312044143676758e+00,9.863125085830688477e-01,9.011988639831542969e-01,8.427969217300415039e-01,7.931711673736572266e-01,7.431401014328002930e-01,7.140647172927856445e-01,7.127847671508789062e-01,6.576510667800903320e-01,6.041311025619506836e-01,5.523391962051391602e-01
8.976666927337646484e-01,1.039220333099365234e+00,1.166869163513183594e+00,1.131389617919921875e+00,1.055182695388793945e+00,9.817008972167968750e-01,9.117445945739746094e-01,8.796948194503784180e-01,8.436050415039062500e-01,7.852963209152221680e-01,7.377380132675170898e-01,7.448356151580810547e-01,7.337914705276489258e-01,6.781362295150756836e-01,6.242675781250000000e-01,5.721279382705688477e-01
