"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16"
4.580069780349731445e-01,4.673359394073486328e-01,4.656517505645751953e-01,4.628612995147705078e-01,4.629684686660766602e-01,4.643852710723876953e-01,4.753158092498779297e-01,4.863280057907104492e-01,4.974223375320434570e-01,5.151121616363525391e-01,5.703431367874145508e-01,6.306434869766235352e-01,6.979959011077880859e-01,7.723259925842285156e-01,8.892993927001953125e-01,9.092990159988403320e-01
5.043910741806030273e-01,5.056430101394653320e-01,4.997861385345458984e-01,4.983474016189575195e-01,5.353063344955444336e-01,5.145519971847534180e-01,5.243141651153564453e-01,5.354238748550415039e-01,5.682815313339233398e-01,6.202464103698730469e-01,6.765366792678833008e-01,7.387677431106567383e-01,8.401468992233276367e-01,9.898163080215454102e-01,9.926459789276123047e-01,8.863935470581054688e-01
5.403755903244018555e-01,5.373477935791015625e-01,5.656735897064208984e-01,6.082029342651367188e-01,5.864632129669189453e-01,5.650174617767333984e-01,5.726020336151123047e-01,6.088076829910278320e-01,6.621154546737670898e-01,7.171896696090698242e-01,7.806655168533325195e-01,9.179091453552246094e-01,1.094112157821655273e+00,1.068338871002197266e+00,9.513343572616577148e-01,7.884001731872558594e-01
5.725849866867065430e-01,6.836860179901123047e-01,6.845607757568359375e-01,6.617888212203979492e-01,6.393247842788696289e-01,6.171644926071166992e-01,6.503813266754150391e-01,7.031323909759521484e-01,7.525085210800170898e-01,8.207623958587646484e-01,9.515714645385742188e-01,1.110621213912963867e+00,1.085206270217895508e+00,9.723316431045532227e-01,8.555134534835815430e-01,7.361135482788085938e-01
7.705367803573608398e-01,7.633880376815795898e-01,7.398035526275634766e-01,7.071540355682373047e-01,6.751172542572021484e-01,6.771029233932495117e-01,7.205733060836791992e-01,7.704548835754394531e-01,8.404030799865722656e-01,9.716845750808715820e-01,1.128119945526123047e+00,1.102211475372314453e+00,9.935551881790161133e-01,8.778245449066162109e-01,7.958368062973022461e-01,6.853556632995605469e-01
7.864178419113159180e-01,7.788259983062744141e-01,7.522040605545043945e-01,7.193218469619750977e-01,7.271853685379028320e-01,7.390763759613037109e-01,7.883515357971191406e-01,8.548611402511596680e-01,9.630905389785766602e-01,1.134033679962158203e+00,1.122658014297485352e+00,1.015007257461547852e+00,8.980308771133422852e-01,8.189175128936767578e-01,7.433327436447143555e-01,6.360818147659301758e-01
7.702462673187255859e-01,7.759511470794677734e-01,7.618285417556762695e-01,7.762862443923950195e-01,7.835617065429687500e-01,7.944035530090332031e-01,8.621455430984497070e-01,9.707999229431152344e-01,1.115660667419433594e+00,1.138320446014404297e+00,1.036535263061523438e+00,9.184550046920776367e-01,8.265852928161621094e-01,7.787011861801147461e-01,6.923638582229614258e-01,5.882483720779418945e-01
7.489787340164184570e-01,7.706918716430664062e-01,8.051887750625610352e-01,8.227357864379882812e-01,8.318296670913696289e-01,8.694585561752319336e-01,9.785397052764892578e-01,1.097445487976074219e+00,1.129997014999389648e+00,1.054878473281860352e+00,9.390923976898193359e-01,8.342854976654052734e-01,7.861994504928588867e-01,7.393740415573120117e-01,6.428849697113037109e-01,5.507509708404541016e-01
7.279665470123291016e-01,7.967133522033691406e-01,8.344572782516479492e-01,8.598204851150512695e-01,9.040764570236206055e-01,9.863097667694091797e-01,1.102209091186523438e+00,1.137569665908813477e+00,1.070030450820922852e+00,9.565094709396362305e-01,8.461838960647583008e-01,7.937294244766235352e-01,7.467066049575805664e-01,6.994011402130126953e-01,5.973637104034423828e-01,5.394495725631713867e-01
7.452155351638793945e-01,8.152842521667480469e-01,8.585292100906372070e-01,8.955081701278686523e-01,9.891800880432128906e-01,1.105019330978393555e+00,1.141551733016967773e+00,1.077696800231933594e+00,9.709358215332031250e-01,8.628494739532470703e-01,8.012911081314086914e-01,7.540700435638427734e-01,7.080868482589721680e-01,6.497167348861694336e-01,5.891921520233154297e-01,5.378825664520263672e-01
7.667459249496459961e-01,8.292655944824218750e-01,8.816763162612915039e-01,9.754652976989746094e-01,1.073088407516479492e+00,1.130930423736572266e+00,1.080700635910034180e+00,9.765316247940063477e-01,8.765850067138671875e-01,8.081771135330200195e-01,7.698184251785278320e-01,7.305208444595336914e-01,6.920958757400512695e-01,6.614953279495239258e-01,6.078513860702514648e-01,5.559391975402832031e-01
7.812266349792480469e-01,8.522517681121826172e-01,9.581463336944580078e-01,1.062098979949951172e+00,1.115271091461181641e+00,1.071047544479370117e+00,9.935798645019531250e-01,9.128609895706176758e-01,8.500510454177856445e-01,8.039962053298950195e-01,7.638624906539916992e-01,7.246972322463989258e-01,7.127747535705566406e-01,6.810034513473510742e-01,6.267296075820922852e-01,5.742079019546508789e-01
8.038191795349121094e-01,9.137523174285888672e-01,1.031246900558471680e+00,1.095976352691650391e+00,1.059076309204101562e+00,9.851206541061401367e-01,9.126383066177368164e-01,8.727803230285644531e-01,8.441838026046752930e-01,7.998250722885131836e-01,7.579267024993896484e-01,7.384459972381591797e-01,7.456061840057373047e-01,7.007405757904052734e-01,6.458294391632080078e-01,5.926910638809204102e-01
8.617101907730102539e-01,9.745147228240966797e-01,1.065661907196044922e+00,1.036610841751098633e+00,9.634528160095214844e-01,8.929227590560913086e-01,8.694171905517578125e-01,8.482278585433959961e-01,8.272787332534790039e-01,7.915668487548828125e-01,7.620849609375000000e-01,7.692406177520751953e-01,7.764252424240112305e-01,7.233110666275024414e-01,6.677652597427368164e-01,6.140098571777343750e-01
