"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16","Stim_17","Stim_18","Stim_19","Stim_20","Stim_21","Stim_22"
5.410056114196777344e-01,5.091384649276733398e-01,4.989922046661376953e-01,4.951218366622924805e-01,4.930777549743652344e-01,4.931217432022094727e-01,5.113706588745117188e-01,5.009965896606445312e-01,5.085499286651611328e-01,5.161411762237548828e-01,5.237705707550048828e-01,5.544240474700927734e-01,5.899609327316284180e-01,6.263101100921630859e-01,6.656990051269531250e-01,7.153795957565307617e-01,7.982169389724731445e-01,8.850548267364501953e-01,9.760860204696655273e-01,1.095898866653442383e+00,1.311507225036621094e+00,1.330157995223999023e+00
5.655804872512817383e-01,5.406222343444824219e-01,5.213598012924194336e-01,5.172481536865234375e-01,5.161665678024291992e-01,5.606248378753662109e-01,5.460017919540405273e-01,5.338113307952880859e-01,5.415297746658325195e-01,5.492869615554809570e-01,5.818077325820922852e-01,6.179707050323486328e-01,6.549602746963500977e-01,6.927956342697143555e-01,7.535126209259033203e-01,8.381915092468261719e-01,9.269597530364990234e-01,1.026089191436767578e+00,1.172051191329956055e+00,1.396986961364746094e+00,1.424925327301025391e+00,1.214597702026367188e+00
5.838563442230224609e-01,5.693664550781250000e-01,5.435217618942260742e-01,5.748473405838012695e-01,6.114840507507324219e-01,5.963845252990722656e-01,5.814263820648193359e-01,5.673435926437377930e-01,5.752307176589965820e-01,6.096739768981933594e-01,6.464738845825195312e-01,6.841152906417846680e-01,7.226170301437377930e-01,7.963991165161132812e-01,8.790547847747802734e-01,9.697962999343872070e-01,1.100710153579711914e+00,1.282529830932617188e+00,1.486624717712402344e+00,1.493626594543457031e+00,1.290402412414550781e+00,1.061444044113159180e+00
6.021860837936401367e-01,5.879119634628295898e-01,6.564811468124389648e-01,6.640007495880126953e-01,6.484090089797973633e-01,6.329635381698608398e-01,6.182639598846435547e-01,6.069598197937011719e-01,6.465386152267456055e-01,6.882355213165283203e-01,7.309883832931518555e-01,7.789194583892822266e-01,8.660895824432373047e-01,9.509401321411132812e-01,1.027248620986938477e+00,1.127044916152954102e+00,1.299983263015747070e+00,1.495958328247070312e+00,1.516275167465209961e+00,1.311204910278320312e+00,1.122353792190551758e+00,9.325542449951171875e-01
6.329735517501831055e-01,7.339841127395629883e-01,7.224743366241455078e-01,7.275918722152709961e-01,7.171409130096435547e-01,7.051460742950439453e-01,6.944855451583862305e-01,7.124999761581420898e-01,7.503193616867065430e-01,7.834552526473999023e-01,8.261171579360961914e-01,9.009364843368530273e-01,9.788212776184082031e-01,1.063957691192626953e+00,1.160229682922363281e+00,1.308615922927856445e+00,1.505326271057128906e+00,1.539128780364990234e+00,1.332195997238159180e+00,1.142127990722656250e+00,9.858773946762084961e-01,8.574740886688232422e-01
7.849030494689941406e-01,7.819825410842895508e-01,7.762351036071777344e-01,7.977495193481445312e-01,8.022127151489257812e-01,7.789460420608520508e-01,7.836655378341674805e-01,7.883979082107543945e-01,8.198478221893310547e-01,8.620067834854125977e-01,9.338908195495605469e-01,1.007100343704223633e+00,1.083081245422363281e+00,1.193700790405273438e+00,1.360986709594726562e+00,1.527759552001953125e+00,1.562189817428588867e+00,1.353377819061279297e+00,1.161583423614501953e+00,1.011427402496337891e+00,9.087255001068115234e-01,7.853107452392578125e-01
8.084974288940429688e-01,7.965064048767089844e-01,7.955828905105590820e-01,8.020572662353515625e-01,8.162211179733276367e-01,8.496663570404052734e-01,8.541814088821411133e-01,8.584344387054443359e-01,8.985157012939453125e-01,9.703861474990844727e-01,1.044977188110351562e+00,1.122391939163208008e+00,1.216654777526855469e+00,1.417375087738037109e+00,1.594393014907836914e+00,1.618601799011230469e+00,1.374752521514892578e+00,1.181216001510620117e+00,1.028711080551147461e+00,9.437724351882934570e-01,8.345712423324584961e-01,7.179340124130249023e-01
7.821050882339477539e-01,7.942630052566528320e-01,7.998853921890258789e-01,8.172870874404907227e-01,8.570984601974487305e-01,8.921120166778564453e-01,9.150763750076293945e-01,9.343434572219848633e-01,1.007570028305053711e+00,1.083568811416625977e+00,1.162444829940795898e+00,1.244306802749633789e+00,1.440945148468017578e+00,1.667840480804443359e+00,1.704745531082153320e+00,1.441571712493896484e+00,1.212882518768310547e+00,1.048914432525634766e+00,9.577018022537231445e-01,8.783931732177734375e-01,7.632975578308105469e-01,6.820855140686035156e-01
7.568857669830322266e-01,7.878266572952270508e-01,8.183541297912597656e-01,8.581888675689697266e-01,8.942747116088867188e-01,9.266202449798583984e-01,9.690152406692504883e-01,1.045456171035766602e+00,1.122889280319213867e+00,1.203253507614135742e+00,1.286660432815551758e+00,1.464744329452514648e+00,1.693851709365844727e+00,1.784160137176513672e+00,1.531830549240112305e+00,1.276508808135986328e+00,1.092923641204833984e+00,9.717305898666381836e-01,8.918536901473999023e-01,8.119508028030395508e-01,7.207866907119750977e-01,6.469849348068237305e-01
7.401194572448730469e-01,7.884987592697143555e-01,8.545883893966674805e-01,8.964394330978393555e-01,9.288220405578613281e-01,9.627377986907958984e-01,1.044522047042846680e+00,1.148154973983764648e+00,1.244832277297973633e+00,1.329812765121459961e+00,1.499346971511840820e+00,1.743649721145629883e+00,1.836823463439941406e+00,1.619098901748657227e+00,1.362825632095336914e+00,1.154970884323120117e+00,1.020540237426757812e+00,9.130043983459472656e-01,8.282203674316406250e-01,7.603784799575805664e-01,6.848787069320678711e-01,6.126168966293334961e-01
7.227112054824829102e-01,8.082685470581054688e-01,8.776701688766479492e-01,9.223772287368774414e-01,9.607080221176147461e-01,1.038003921508789062e+00,1.127933740615844727e+00,1.241821289062500000e+00,1.382506132125854492e+00,1.570243597030639648e+00,1.804032087326049805e+00,1.901779890060424805e+00,1.677495479583740234e+00,1.443720102310180664e+00,1.240669250488281250e+00,1.074689388275146484e+00,9.642714262008666992e-01,8.597300052642822266e-01,7.778553962707519531e-01,7.236441373825073242e-01,6.497198343276977539e-01,5.789661407470703125e-01
7.403894662857055664e-01,8.249981403350830078e-01,8.952877521514892578e-01,9.455875158309936523e-01,1.015824556350708008e+00,1.105733633041381836e+00,1.216003179550170898e+00,1.346523284912109375e+00,1.564527750015258789e+00,1.848494052886962891e+00,1.968225479125976562e+00,1.753708124160766602e+00,1.507683277130126953e+00,1.329520940780639648e+00,1.153197765350341797e+00,1.016912698745727539e+00,9.095697402954101562e-01,8.112111091613769531e-01,7.547279596328735352e-01,6.876766681671142578e-01,6.152946949005126953e-01,5.483138561248779297e-01
7.684274911880493164e-01,8.405656814575195312e-01,9.130713939666748047e-01,9.916262626647949219e-01,1.080456018447875977e+00,1.175728797912597656e+00,1.298628807067871094e+00,1.500752687454223633e+00,1.769159793853759766e+00,1.944976329803466797e+00,1.824501991271972656e+00,1.596832990646362305e+00,1.387206792831420898e+00,1.236782073974609375e+00,1.095149040222167969e+00,9.607447385787963867e-01,8.563910722732543945e-01,7.937154769897460938e-01,7.377779483795166016e-01,6.524593830108642578e-01,5.815880298614501953e-01,5.399587154388427734e-01
7.893218994140625000e-01,8.556146621704101562e-01,9.577599763870239258e-01,1.054121732711791992e+00,1.147159337997436523e+00,1.256852388381958008e+00,1.430048465728759766e+00,1.690866708755493164e+00,1.847718954086303711e+00,1.775926113128662109e+00,1.620437860488891602e+00,1.472073793411254883e+00,1.294337749481201172e+00,1.176308870315551758e+00,1.038665533065795898e+00,9.061408042907714844e-01,8.335692882537841797e-01,7.763888835906982422e-01,7.152106761932373047e-01,6.199015378952026367e-01,5.711899995803833008e-01,5.316483974456787109e-01
8.104631900787353516e-01,9.006123542785644531e-01,1.010711669921875000e+00,1.116019010543823242e+00,1.216001033782958984e+00,1.362414836883544922e+00,1.614787101745605469e+00,1.769139766693115234e+00,1.716850996017456055e+00,1.580081939697265625e+00,1.437028646469116211e+00,1.317998886108398438e+00,1.235349416732788086e+00,1.117470502853393555e+00,9.837045669555664062e-01,8.743085861206054688e-01,8.158577680587768555e-01,7.592298984527587891e-01,6.894761323928833008e-01,6.159949302673339844e-01,5.685703754425048828e-01,5.334770679473876953e-01
8.568396568298339844e-01,9.515359401702880859e-01,1.057095289230346680e+00,1.171791076660156250e+00,1.300192832946777344e+00,1.540799140930175781e+00,1.692729711532592773e+00,1.653180360794067383e+00,1.519616842269897461e+00,1.392776727676391602e+00,1.298126459121704102e+00,1.224919080734252930e+00,1.154042959213256836e+00,1.060223579406738281e+00,9.436517953872680664e-01,8.608607053756713867e-01,8.079962730407714844e-01,7.566331624984741211e-01,6.981599330902099609e-01,6.381753683090209961e-01,5.806344747543334961e-01,5.452712774276733398e-01
9.044990539550781250e-01,1.001626014709472656e+00,1.104549407958984375e+00,1.245900154113769531e+00,1.446657419204711914e+00,1.612547636032104492e+00,1.591000795364379883e+00,1.460567235946655273e+00,1.340522289276123047e+00,1.268314123153686523e+00,1.209250688552856445e+00,1.148562908172607422e+00,1.089857816696166992e+00,1.018978357315063477e+00,9.512943029403686523e-01,8.687890768051147461e-01,8.140922784805297852e-01,7.740210294723510742e-01,7.214679718017578125e-01,6.606600284576416016e-01,6.020001173019409180e-01,5.571560859680175781e-01
9.533817768096923828e-01,1.053001642227172852e+00,1.188441514968872070e+00,1.386636018753051758e+00,1.518511533737182617e+00,1.517504930496215820e+00,1.400905132293701172e+00,1.294602632522583008e+00,1.231634616851806641e+00,1.183219432830810547e+00,1.135854721069335938e+00,1.083241939544677734e+00,1.047815799713134766e+00,9.959355592727661133e-01,9.408099651336669922e-01,8.733913898468017578e-01,8.213565349578857422e-01,8.019624948501586914e-01,7.409064769744873047e-01,6.791552305221557617e-01,6.195945739746093750e-01,5.702818632125854492e-01
1.007493019104003906e+00,1.151248693466186523e+00,1.322486400604248047e+00,1.435476303100585938e+00,1.431717395782470703e+00,1.325961589813232422e+00,1.240085840225219727e+00,1.194118976593017578e+00,1.146517753601074219e+00,1.099949359893798828e+00,1.054390907287597656e+00,1.042297124862670898e+00,1.022123336791992188e+00,9.670271873474121094e-01,9.126682281494140625e-01,8.661713600158691406e-01,8.424421548843383789e-01,8.206405639648437500e-01,7.560615539550781250e-01,6.937727928161621094e-01,6.336934566497802734e-01,5.843704938888549805e-01
