"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16","Stim_17","Stim_18","Stim_19","Stim_20","Stim_21","Stim_22"
4.803670644760131836e-01,4.863407611846923828e-01,4.846434593200683594e-01,4.808100461959838867e-01,4.790482521057128906e-01,4.791115522384643555e-01,5.005077123641967773e-01,4.874846935272216797e-01,4.949700832366943359e-01,5.024930238723754883e-01,5.100537538528442383e-01,5.281423330307006836e-01,5.630784034729003906e-01,5.988130569458007812e-01,6.355479955673217773e-01,6.788378953933715820e-01,7.342319488525390625e-01,8.179799318313598633e-01,9.057718515396118164e-01,1.011469602584838867e+00,1.150434255599975586e+00,1.171916961669921875e+00
5.109497308731079102e-01,5.092282295227050781e-01,5.068596601486206055e-01,5.027872323989868164e-01,5.019826889038085938e-01,5.494078397750854492e-01,5.348898172378540039e-01,5.205079317092895508e-01,5.276530981063842773e-01,5.353404283523559570e-01,5.550631284713745117e-01,5.906145572662353516e-01,6.269787549972534180e-01,6.641744375228881836e-01,7.028785943984985352e-01,7.727841138839721680e-01,8.583936691284179688e-01,9.507806301116943359e-01,1.085552453994750977e+00,1.265801906585693359e+00,1.309065818786621094e+00,1.101066350936889648e+00
5.328071117401123047e-01,5.316836833953857422e-01,5.288105010986328125e-01,5.717692375183105469e-01,5.999014377593994141e-01,5.849103927612304688e-01,5.700597763061523438e-01,5.553483963012695312e-01,5.610505342483520508e-01,5.824581384658813477e-01,6.186357736587524414e-01,6.556407213211059570e-01,6.934915781021118164e-01,7.322077751159667969e-01,8.099962472915649414e-01,8.997061252593994141e-01,1.022628068923950195e+00,1.166046857833862305e+00,1.379712104797363281e+00,1.409912586212158203e+00,1.193238258361816406e+00,9.637966156005859375e-01
5.539447069168090820e-01,5.544732809066772461e-01,6.529070138931274414e-01,6.520407199859619141e-01,6.365610361099243164e-01,6.212265491485595703e-01,6.060355901718139648e-01,5.909870862960815430e-01,6.103357076644897461e-01,6.471507549285888672e-01,6.848075389862060547e-01,7.233251333236694336e-01,7.684845924377441406e-01,8.506879806518554688e-01,9.421911239624023438e-01,1.072799444198608398e+00,1.211265563964843750e+00,1.399681091308593750e+00,1.431800603866577148e+00,1.233614921569824219e+00,1.021821498870849609e+00,8.626700639724731445e-01
6.081596612930297852e-01,7.175168991088867188e-01,7.052234411239624023e-01,6.898949146270751953e-01,6.740605831146240234e-01,6.583746671676635742e-01,6.428357362747192383e-01,6.443140506744384766e-01,6.761680841445922852e-01,7.136267423629760742e-01,7.479332685470581055e-01,7.935577630996704102e-01,8.690377473831176758e-01,9.476940631866455078e-01,1.065981388092041016e+00,1.219565153121948242e+00,1.408687591552734375e+00,1.453887224197387695e+00,1.253901481628417969e+00,1.070214033126831055e+00,9.140650033950805664e-01,7.903048992156982422e-01
7.322233915328979492e-01,7.474251985549926758e-01,7.449669837951660156e-01,7.286167144775390625e-01,7.124195098876953125e-01,6.901595592498779297e-01,6.879824399948120117e-01,6.961088180541992188e-01,7.254121303558349609e-01,7.599545717239379883e-01,8.065217733383178711e-01,8.825472593307495117e-01,9.617719650268554688e-01,1.052126169204711914e+00,1.207177400588989258e+00,1.417728424072265625e+00,1.476174116134643555e+00,1.274372100830078125e+00,1.089016437530517578e+00,9.667695760726928711e-01,8.397029638290405273e-01,7.207510471343994141e-01
7.486450672149658203e-01,7.649953365325927734e-01,7.611527442932128906e-01,7.515878677368164062e-01,7.269039154052734375e-01,7.264231443405151367e-01,7.328526973724365234e-01,7.393063306808471680e-01,7.720584869384765625e-01,8.191522359848022461e-01,8.920878171920776367e-01,9.679477214813232422e-01,1.046849012374877930e+00,1.182526350021362305e+00,1.403843402862548828e+00,1.498664140701293945e+00,1.295029163360595703e+00,1.107990026473999023e+00,9.808636903762817383e-01,8.904643058776855469e-01,7.682301998138427734e-01,6.798789501190185547e-01
7.348673343658447266e-01,7.554373741149902344e-01,7.686651945114135742e-01,7.612807750701904297e-01,7.778389453887939453e-01,7.844600677490234375e-01,7.890145778656005859e-01,7.938374280929565430e-01,8.370685577392578125e-01,9.086494445800781250e-01,9.830198287963867188e-01,1.060287714004516602e+00,1.174826383590698242e+00,1.379524230957031250e+00,1.497097492218017578e+00,1.315873861312866211e+00,1.127135753631591797e+00,9.950585365295410156e-01,9.142366647720336914e-01,8.170194625854492188e-01,7.185293436050415039e-01,6.448245048522949219e-01
7.211979627609252930e-01,7.523403167724609375e-01,7.692124843597412109e-01,7.985939979553222656e-01,8.217594623565673828e-01,8.335498571395874023e-01,8.368626832962036133e-01,8.587025403976440430e-01,9.311265945434570312e-01,1.006372690200805664e+00,1.084550619125366211e+00,1.180738925933837891e+00,1.385993003845214844e+00,1.498435735702514648e+00,1.314044475555419922e+00,1.146455049514770508e+00,1.009355306625366211e+00,9.279539585113525391e-01,8.498505353927612305e-01,7.580692768096923828e-01,6.826684474945068359e-01,6.105015277862548828e-01
7.076364755630493164e-01,7.437897920608520508e-01,7.983938455581665039e-01,8.282953500747680664e-01,8.502931594848632812e-01,8.725556135177612305e-01,9.005414247512817383e-01,9.538685083389282227e-01,1.030000686645507812e+00,1.109099388122558594e+00,1.203087568283081055e+00,1.392479658126831055e+00,1.518869876861572266e+00,1.317747116088867188e+00,1.144411087036132812e+00,1.023754596710205078e+00,9.417698383331298828e-01,8.631066083908081055e-01,7.915184497833251953e-01,7.213832139968872070e-01,6.475557088851928711e-01,5.768948793411254883e-01
