"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16"
4.534845352172851562e-01,4.627845287322998047e-01,4.610457420349121094e-01,4.582660198211669922e-01,4.583729505538940430e-01,4.599229097366333008e-01,4.708201885223388672e-01,4.817987680435180664e-01,4.928593635559082031e-01,5.097424983978271484e-01,5.653123855590820312e-01,6.266479492187500000e-01,6.938353776931762695e-01,7.734080553054809570e-01,9.052156209945678711e-01,9.269634485244750977e-01
5.000740289688110352e-01,5.012609958648681641e-01,4.954211711883544922e-01,4.939887523651123047e-01,5.251628160476684570e-01,5.090248584747314453e-01,5.200232267379760742e-01,5.311017036437988281e-01,5.661259889602661133e-01,6.180195808410644531e-01,6.748046875000000000e-01,7.382841110229492188e-01,8.502084016799926758e-01,1.005445480346679688e+00,1.029949665069580078e+00,9.046176671981811523e-01
5.360386371612548828e-01,5.328735113143920898e-01,5.574949979782104492e-01,5.975779294967651367e-01,5.759818553924560547e-01,5.568284988403320312e-01,5.681751966476440430e-01,6.065965890884399414e-01,6.598311662673950195e-01,7.148296833038330078e-01,7.882941961288452148e-01,9.180203676223754883e-01,1.110995054244995117e+00,1.117125272750854492e+00,9.840959310531616211e-01,8.051215410232543945e-01
5.681571960449218750e-01,6.748919486999511719e-01,6.734312772750854492e-01,6.508098840713500977e-01,6.284942626953125000e-01,6.064802408218383789e-01,6.481130123138427734e-01,7.027232646942138672e-01,7.530152797698974609e-01,8.340864181518554688e-01,9.562504291534423828e-01,1.121543645858764648e+00,1.134390354156494141e+00,1.005445957183837891e+00,8.813108205795288086e-01,7.394123077392578125e-01
7.574855089187622070e-01,7.517389059066772461e-01,7.291907072067260742e-01,6.996262073516845703e-01,6.677306890487670898e-01,6.725805997848510742e-01,7.210708856582641602e-01,7.709668874740600586e-01,8.538709878921508789e-01,9.818266630172729492e-01,1.135511636734008789e+00,1.151796817779541016e+00,1.027025699615478516e+00,9.093519449234008789e-01,7.992491722106933594e-01,6.885581016540527344e-01
7.771716117858886719e-01,7.693752050399780273e-01,7.444776296615600586e-01,7.117403745651245117e-01,7.217184305191040039e-01,7.386953830718994141e-01,7.891023159027099609e-01,8.702292442321777344e-01,9.793553352355957031e-01,1.147071361541748047e+00,1.169575929641723633e+00,1.048837900161743164e+00,9.298975467681884766e-01,8.275612592697143555e-01,7.466453313827514648e-01,6.391904354095458984e-01
7.654173374176025391e-01,7.667459249496459961e-01,7.546176910400390625e-01,7.723644971847534180e-01,7.796239852905273438e-01,7.966463565826416016e-01,8.775740861892700195e-01,9.871287345886230469e-01,1.128585815429687500e+00,1.191325902938842773e+00,1.070884704589843750e+00,9.506646394729614258e-01,8.374236822128295898e-01,7.871538400650024414e-01,6.955796480178833008e-01,5.912661552429199219e-01
7.442077398300170898e-01,7.677689790725708008e-01,8.002349138259887695e-01,8.177337646484375000e-01,8.277851343154907227e-01,8.849475383758544922e-01,9.949325323104858398e-01,1.111335039138793945e+00,1.182796239852905273e+00,1.090469837188720703e+00,9.716550111770629883e-01,8.571954965591430664e-01,7.946877479553222656e-01,7.476397752761840820e-01,6.460068225860595703e-01,5.463490486145019531e-01
7.232530117034912109e-01,7.957197427749633789e-01,8.330200910568237305e-01,8.577780723571777344e-01,9.115310907363891602e-01,1.002767086029052734e+00,1.119626522064208984e+00,1.179280757904052734e+00,1.105884075164794922e+00,9.903970956802368164e-01,8.771799802780151367e-01,8.022534847259521484e-01,7.550070285797119141e-01,7.026301622390747070e-01,5.978831052780151367e-01,5.350798368453979492e-01
7.434678077697753906e-01,8.145868778228759766e-01,8.570730686187744141e-01,9.082341194152832031e-01,1.009491682052612305e+00,1.143707990646362305e+00,1.201395511627197266e+00,1.121024370193481445e+00,1.005073070526123047e+00,8.951145410537719727e-01,8.098510503768920898e-01,7.624055147171020508e-01,7.162039279937744141e-01,6.528513431549072266e-01,5.812216997146606445e-01,5.238927602767944336e-01
