"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16","Stim_17","Stim_18","Stim_19","Stim_20","Stim_21","Stim_22"
5.216504335403442383e-01,5.130631923675537109e-01,5.126396417617797852e-01,5.085636377334594727e-01,5.063207149505615234e-01,5.062150955200195312e-01,5.283142328262329102e-01,5.148030519485473633e-01,5.224378108978271484e-01,5.301111936569213867e-01,5.477273464202880859e-01,5.830531120300292969e-01,6.191853284835815430e-01,6.561421155929565430e-01,6.967067718505859375e-01,7.551565170288085938e-01,8.398385047912597656e-01,9.286063909530639648e-01,1.021656751632690430e+00,1.156878709793090820e+00,1.309932231903076172e+00,1.170623540878295898e+00
5.407382249832153320e-01,5.372104644775390625e-01,5.346202850341796875e-01,5.304850339889526367e-01,5.293956995010375977e-01,5.781917572021484375e-01,5.633912086486816406e-01,5.487294197082519531e-01,5.556663274765014648e-01,5.753074884414672852e-01,6.112627983093261719e-01,6.480387449264526367e-01,6.856540441513061523e-01,7.241280078887939453e-01,7.980546951293945312e-01,8.811634778976440430e-01,9.719251394271850586e-01,1.091338396072387695e+00,1.240066289901733398e+00,1.427971363067626953e+00,1.284639120101928711e+00,1.100914955139160156e+00
5.591387748718261719e-01,5.568801164627075195e-01,5.569204092025756836e-01,6.023061275482177734e-01,6.296972036361694336e-01,6.144136190414428711e-01,5.992732048034667969e-01,5.842750072479248047e-01,6.033790111541748047e-01,6.399749517440795898e-01,6.774063110351562500e-01,7.156921625137329102e-01,7.632312774658203125e-01,8.451143503189086914e-01,9.263169765472412109e-01,1.027789592742919922e+00,1.157218694686889648e+00,1.307492494583129883e+00,1.476371765136718750e+00,1.319176912307739258e+00,1.130458831787109375e+00,9.919030666351318359e-01
5.774685144424438477e-01,5.760654211044311523e-01,6.784167289733886719e-01,6.828833818435668945e-01,6.671009063720703125e-01,6.514666080474853516e-01,6.359788179397583008e-01,6.364616155624389648e-01,6.691989898681640625e-01,7.072972059249877930e-01,7.462651729583740234e-01,8.044981956481933594e-01,8.803607225418090820e-01,9.594123363494873047e-01,1.052687883377075195e+00,1.162265300750732422e+00,1.314440488815307617e+00,1.485771179199218750e+00,1.338510274887084961e+00,1.148218870162963867e+00,1.022488594055175781e+00,9.156032800674438477e-01
6.191880702972412109e-01,7.228558063507080078e-01,7.202957868576049805e-01,7.161662578582763672e-01,7.053478956222534180e-01,6.931087970733642578e-01,6.994683742523193359e-01,7.068402767181396484e-01,7.332018613815307617e-01,7.658512592315673828e-01,8.187319040298461914e-01,8.936870098114013672e-01,9.695136547088623047e-01,1.067544460296630859e+00,1.169061660766601562e+00,1.321409225463867188e+00,1.495205879211425781e+00,1.358004093170166016e+00,1.166126489639282227e+00,1.037530660629272461e+00,9.548914432525634766e-01,8.422262668609619141e-01
7.604346275329589844e-01,7.577182054519653320e-01,7.457346916198730469e-01,7.381317615509033203e-01,7.402340173721313477e-01,7.475012540817260742e-01,7.540404796600341797e-01,7.606039047241210938e-01,7.888661623001098633e-01,8.397698402404785156e-01,9.113986492156982422e-01,9.857028722763061523e-01,1.064163684844970703e+00,1.189304113388061523e+00,1.329449653625488281e+00,1.504676580429077148e+00,1.377660512924194336e+00,1.184183120727539062e+00,1.052684307098388672e+00,9.694305658340454102e-01,8.895534276962280273e-01,7.716599702835083008e-01
7.609899044036865234e-01,7.519050836563110352e-01,7.443729639053344727e-01,7.344722747802734375e-01,7.667112350463867188e-01,8.026535511016845703e-01,8.107690811157226562e-01,8.124912977218627930e-01,8.626934289932250977e-01,9.332076311111450195e-01,1.006391525268554688e+00,1.082981586456298828e+00,1.192033529281616211e+00,1.373330593109130859e+00,1.514183044433593750e+00,1.397480964660644531e+00,1.202391147613525391e+00,1.067951202392578125e+00,9.840780496597290039e-01,9.036068916320800781e-01,8.218085765838623047e-01,7.337200641632080078e-01
7.386826276779174805e-01,7.499841451644897461e-01,7.487159967422485352e-01,7.705813646316528320e-01,8.047136068344116211e-01,8.355298042297363281e-01,8.668721914291381836e-01,8.978453874588012695e-01,9.696906805038452148e-01,1.044255256652832031e+00,1.121642827987670898e+00,1.211892366409301758e+00,1.390544176101684570e+00,1.593120098114013672e+00,1.435485839843750000e+00,1.221790552139282227e+00,1.083079099655151367e+00,9.986912012100219727e-01,9.177221059799194336e-01,8.399829864501953125e-01,7.747945785522460938e-01,6.984685659408569336e-01
7.249833345413208008e-01,7.444065809249877930e-01,7.882800102233886719e-01,8.130466938018798828e-01,8.376277685165405273e-01,8.690060377120971680e-01,9.196250438690185547e-01,1.006861448287963867e+00,1.082833290100097656e+00,1.161681413650512695e+00,1.243514299392700195e+00,1.413851737976074219e+00,1.620501041412353516e+00,1.529189586639404297e+00,1.272029638290405273e+00,1.098006486892700195e+00,1.013013839721679688e+00,9.314643144607543945e-01,8.532186746597290039e-01,7.932033538818359375e-01,7.380892038345336914e-01,6.635454893112182617e-01
7.113920450210571289e-01,7.711708545684814453e-01,8.235402107238769531e-01,8.495553731918334961e-01,8.711420297622680664e-01,9.135049581527709961e-01,9.932378530502319336e-01,1.094660282135009766e+00,1.202475309371948242e+00,1.285852193832397461e+00,1.437387228012084961e+00,1.648171186447143555e+00,1.568022012710571289e+00,1.360882043838500977e+00,1.156166315078735352e+00,1.038473367691040039e+00,9.453053474426269531e-01,8.664988279342651367e-01,7.979965209960937500e-01,7.653104066848754883e-01,7.018202543258666992e-01,6.288318634033203125e-01
