"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16","Stim_17","Stim_18","Stim_19","Stim_20","Stim_21","Stim_22"
4.820123910903930664e-01,4.885590076446533203e-01,4.875136613845825195e-01,4.836728572845458984e-01,4.815230369567871094e-01,4.815864562988281250e-01,5.011427402496337891e-01,4.890996217727661133e-01,4.965931177139282227e-01,5.041241645812988281e-01,5.116931200027465820e-01,5.274318456649780273e-01,5.623515844345092773e-01,5.980696678161621094e-01,6.358330249786376953e-01,6.789319515228271484e-01,7.295050621032714844e-01,8.130247592926025391e-01,9.005775451660156250e-01,9.923583269119262695e-01,1.107503414154052734e+00,1.134185791015625000e+00
5.128991603851318359e-01,5.125287771224975586e-01,5.098868608474731445e-01,5.058062076568603516e-01,5.046093463897705078e-01,5.500636100769042969e-01,5.355395078659057617e-01,5.216543674468994141e-01,5.293115377426147461e-01,5.370073318481445312e-01,5.543401241302490234e-01,5.898749828338623047e-01,6.262222528457641602e-01,6.634005308151245117e-01,7.026815414428710938e-01,7.679522037506103516e-01,8.533284664154052734e-01,9.428277015686035156e-01,1.054780960083007812e+00,1.195106267929077148e+00,1.264876365661621094e+00,1.090566635131835938e+00
5.361801385879516602e-01,5.350333452224731445e-01,5.318816900253295898e-01,5.571498870849609375e-01,6.005785465240478516e-01,5.855811834335327148e-01,5.707242488861083984e-01,5.560065507888793945e-01,5.627453327178955078e-01,5.817222595214843750e-01,6.178832054138183594e-01,6.548709869384765625e-01,6.927040815353393555e-01,7.314022779464721680e-01,8.083069324493408203e-01,8.945281505584716797e-01,9.927853345870971680e-01,1.130458831787109375e+00,1.305524826049804688e+00,1.365930795669555664e+00,1.168386459350585938e+00,9.772738218307495117e-01
5.563944578170776367e-01,5.578727722167968750e-01,6.373175382614135742e-01,6.527398824691772461e-01,6.372536420822143555e-01,6.219125986099243164e-01,6.067153215408325195e-01,5.916603803634643555e-01,6.095869541168212891e-01,6.463849544525146484e-01,6.840240955352783203e-01,7.225238084793090820e-01,7.705084085464477539e-01,8.528058528900146484e-01,9.305242300033569336e-01,1.034901857376098633e+00,1.154525995254516602e+00,1.314779281616210938e+00,1.391378164291381836e+00,1.196486949920654297e+00,1.037831306457519531e+00,9.079248905181884766e-01
5.888998508453369141e-01,7.127896547317504883e-01,7.057206630706787109e-01,6.906101703643798828e-01,6.747690439224243164e-01,6.590765714645385742e-01,6.435310840606689453e-01,6.424618959426879883e-01,6.753886938095092773e-01,7.108266353607177734e-01,7.450770139694213867e-01,7.924319505691528320e-01,8.678646087646484375e-01,9.464714527130126953e-01,1.042318582534790039e+00,1.159877777099609375e+00,1.323467254638671875e+00,1.413097620010375977e+00,1.216436147689819336e+00,1.051074743270874023e+00,9.616639614105224609e-01,8.348262310028076172e-01
7.436509132385253906e-01,7.424410581588745117e-01,7.400313615798950195e-01,7.293481826782226562e-01,7.105243206024169922e-01,6.882505416870117188e-01,6.836943626403808594e-01,6.917999982833862305e-01,7.225927114486694336e-01,7.570787668228149414e-01,8.053877353668212891e-01,8.813654184341430664e-01,9.605406522750854492e-01,1.048060417175292969e+00,1.165242671966552734e+00,1.332188367843627930e+00,1.435014009475708008e+00,1.236566543579101562e+00,1.065772771835327148e+00,9.820859432220458984e-01,8.854528665542602539e-01,7.635427713394165039e-01
7.760001420974731445e-01,7.597041130065917969e-01,7.489513158798217773e-01,7.450484037399291992e-01,7.302951812744140625e-01,7.258445024490356445e-01,7.323025465011596680e-01,7.387943267822265625e-01,7.717119455337524414e-01,8.190904855728149414e-01,8.913199901580810547e-01,9.671489000320434570e-01,1.046018123626708984e+00,1.161941051483154297e+00,1.340941667556762695e+00,1.457130193710327148e+00,1.256880283355712891e+00,1.080576181411743164e+00,9.962898492813110352e-01,9.154177904129028320e-01,8.122026920318603516e-01,7.192493677139282227e-01
7.510197162628173828e-01,7.553025484085083008e-01,7.535136938095092773e-01,7.492299079895019531e-01,7.812817096710205078e-01,7.941240072250366211e-01,7.971824407577514648e-01,8.017400503158569336e-01,8.450503349304199219e-01,9.148967266082763672e-01,9.873872995376586914e-01,1.062622070312500000e+00,1.156851053237915039e+00,1.341359376907348633e+00,1.479447126388549805e+00,1.277378082275390625e+00,1.097662448883056641e+00,1.010595083236694336e+00,9.291439056396484375e-01,8.509920835494995117e-01,7.588056325912475586e-01,6.833732128143310547e-01
7.339713573455810547e-01,7.542895078659057617e-01,7.609934806823730469e-01,7.825506925582885742e-01,8.202220201492309570e-01,8.513031005859375000e-01,8.562057018280029297e-01,8.798688650131225586e-01,9.510334730148315430e-01,1.024892091751098633e+00,1.101546525955200195e+00,1.181102752685546875e+00,1.362558603286743164e+00,1.521809816360473633e+00,1.302413702011108398e+00,1.118552684783935547e+00,1.025003433227539062e+00,9.429681301116943359e-01,8.642563819885253906e-01,7.981414794921875000e-01,7.221040725708007812e-01,6.482459306716918945e-01
7.203091382980346680e-01,7.505712509155273438e-01,7.985945940017700195e-01,8.259297609329223633e-01,8.534191846847534180e-01,8.850672245025634766e-01,9.339060783386230469e-01,9.878528118133544922e-01,1.063105106353759766e+00,1.141206026077270508e+00,1.222264051437377930e+00,1.385594129562377930e+00,1.560530185699462891e+00,1.353994131088256836e+00,1.156539440155029297e+00,1.039514780044555664e+00,9.568915367126464844e-01,8.776156902313232422e-01,8.029478788375854492e-01,7.617262601852416992e-01,6.861685514450073242e-01,6.138515472412109375e-01
