"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16","Stim_17","Stim_18","Stim_19","Stim_20","Stim_21","Stim_22"
7.227485179901123047e-01,7.673566341400146484e-01,8.055467605590820312e-01,8.289887905120849609e-01,8.412785530090332031e-01,8.536510467529296875e-01,9.020721912384033203e-01,9.672865867614746094e-01,1.049012899398803711e+00,1.131058931350708008e+00,1.250069856643676758e+00,1.285945415496826172e+00,1.157769203186035156e+00,1.072286605834960938e+00,9.899010658264160156e-01,9.094204902648925781e-01,8.319772481918334961e-01,7.938327789306640625e-01,7.611438035964965820e-01,7.290505170822143555e-01,6.676040887832641602e-01,5.958878993988037109e-01
7.230135202407836914e-01,7.837367057800292969e-01,8.184462785720825195e-01,8.462749719619750977e-01,8.639098405838012695e-01,9.097329378128051758e-01,9.717118740081787109e-01,1.054414510726928711e+00,1.147503852844238281e+00,1.251204252243041992e+00,1.291027307510375977e+00,1.165791034698486328e+00,1.082853078842163086e+00,1.003091573715209961e+00,9.234899282455444336e-01,8.456022739410400391e-01,7.990647554397583008e-01,7.662804126739501953e-01,7.340934276580810547e-01,7.024931907653808594e-01,6.336971521377563477e-01,5.805165767669677734e-01
7.413443326950073242e-01,7.951842546463012695e-01,8.314379453659057617e-01,8.625369071960449219e-01,9.035874605178833008e-01,9.729601144790649414e-01,1.048442602157592773e+00,1.147285223007202148e+00,1.245710134506225586e+00,1.301135063171386719e+00,1.190144777297973633e+00,1.093473434448242188e+00,1.013304948806762695e+00,9.362065792083740234e-01,8.592950105667114258e-01,8.043118715286254883e-01,7.714319229125976562e-01,7.391511201858520508e-01,7.074586153030395508e-01,6.724019050598144531e-01,6.132562160491943359e-01,5.755810737609863281e-01
7.574362754821777344e-01,8.046355247497558594e-01,8.445224761962890625e-01,8.967379331588745117e-01,9.687898159027099609e-01,1.040538787841796875e+00,1.129176139831542969e+00,1.231914281845092773e+00,1.283410787582397461e+00,1.205938100814819336e+00,1.118641853332519531e+00,1.024619340896606445e+00,9.460790157318115234e-01,8.715549707412719727e-01,8.095742464065551758e-01,7.765984535217285156e-01,7.457122802734375000e-01,7.187842130661010742e-01,6.922715902328491211e-01,6.622092723846435547e-01,6.248679161071777344e-01,5.883654356002807617e-01
7.716916799545288086e-01,8.141366243362426758e-01,8.805717229843139648e-01,9.591323137283325195e-01,1.036225557327270508e+00,1.111219882965087891e+00,1.213091611862182617e+00,1.269175767898559570e+00,1.194214582443237305e+00,1.120038986206054688e+00,1.040726661682128906e+00,9.621607065200805664e-01,8.854155540466308594e-01,8.186597824096679688e-01,7.966428995132446289e-01,7.689291238784790039e-01,7.416430711746215820e-01,7.147778272628784180e-01,6.919215917587280273e-01,6.756963729858398438e-01,6.380519866943359375e-01,6.012533903121948242e-01
7.810192108154296875e-01,8.468784093856811523e-01,9.369183778762817383e-01,1.023579359054565430e+00,1.105970859527587891e+00,1.194427251815795898e+00,1.255029678344726562e+00,1.181365251541137695e+00,1.107624053955078125e+00,1.040864706039428711e+00,9.792006015777587891e-01,9.097455739974975586e-01,8.481400012969970703e-01,8.157474994659423828e-01,7.924548387527465820e-01,7.648057937622070312e-01,7.375832796096801758e-01,7.107806205749511719e-01,7.143086194992065430e-01,6.892929077148437500e-01,6.513431072235107422e-01,6.142458915710449219e-01
8.163009881973266602e-01,8.956500291824340820e-01,9.949531555175781250e-01,1.089323997497558594e+00,1.176648616790771484e+00,1.240972042083740234e+00,1.168591022491455078e+00,1.102178335189819336e+00,1.040590047836303711e+00,9.808059930801391602e-01,9.227732419967651367e-01,8.649274110794067383e-01,8.393399715423583984e-01,8.128399848937988281e-01,7.882766723632812500e-01,7.606920003890991211e-01,7.335329055786132812e-01,7.320561408996582031e-01,7.369917631149291992e-01,7.029997110366821289e-01,6.647421121597290039e-01,6.273436546325683594e-01
8.637046813964843750e-01,9.495880603790283203e-01,1.048902988433837891e+00,1.150060892105102539e+00,1.212254285812377930e+00,1.159774780273437500e+00,1.101329565048217773e+00,1.039706468582153320e+00,9.798904657363891602e-01,9.218286275863647461e-01,8.790224790573120117e-01,8.544303178787231445e-01,8.282246589660644531e-01,8.030155897140502930e-01,7.819739580154418945e-01,7.543648481369018555e-01,7.486441135406494141e-01,7.535570859909057617e-01,7.577301263809204102e-01,7.183099985122680664e-01,6.797738075256347656e-01,6.421021223068237305e-01
9.083828926086425781e-01,1.004961013793945312e+00,1.107096910476684570e+00,1.189545154571533203e+00,1.143634557723999023e+00,1.091849088668823242e+00,1.037558794021606445e+00,9.778058528900146484e-01,9.198051691055297852e-01,8.875654935836791992e-01,8.655022382736206055e-01,8.436969518661499023e-01,8.149975538253784180e-01,7.899708747863769531e-01,7.698460817337036133e-01,7.645257711410522461e-01,7.694835662841796875e-01,7.744551897048950195e-01,7.742446660995483398e-01,7.344542741775512695e-01,6.955560445785522461e-01,6.575304269790649414e-01
9.628639221191406250e-01,1.061906814575195312e+00,1.146324634552001953e+00,1.118654727935791016e+00,1.075425148010253906e+00,1.026059389114379883e+00,9.753912687301635742e-01,9.185729026794433594e-01,8.961472511291503906e-01,8.739838600158691406e-01,8.520792722702026367e-01,8.304309844970703125e-01,8.051593303680419922e-01,7.770204544067382812e-01,7.709575891494750977e-01,7.825267314910888672e-01,7.905714511871337891e-01,7.956023216247558594e-01,7.909142971038818359e-01,7.507500648498535156e-01,7.114863395690917969e-01,6.731033325195312500e-01
1.018899917602539062e+00,1.107303380966186523e+00,1.077697753906250000e+00,1.046384334564208984e+00,1.009386777877807617e+00,9.620084762573242188e-01,9.247810840606689453e-01,9.047682285308837891e-01,8.825039863586425781e-01,8.604999780654907227e-01,8.387531042098999023e-01,8.172605037689208984e-01,7.960190773010253906e-01,7.772215604782104492e-01,7.862323522567749023e-01,7.979012727737426758e-01,8.096464872360229492e-01,8.170013427734375000e-01,8.077405691146850586e-01,7.671988010406494141e-01,7.250243425369262695e-01,6.821963787078857422e-01
1.089737415313720703e+00,1.037532567977905273e+00,1.006824731826782227e+00,9.765794277191162109e-01,9.454495906829833984e-01,9.175279140472412109e-01,9.087589979171752930e-01,8.910628557205200195e-01,8.689588308334350586e-01,8.471130132675170898e-01,8.255226612091064453e-01,8.041846752166748047e-01,7.913154363632202148e-01,7.982581853866577148e-01,8.016389608383178711e-01,8.134084939956665039e-01,8.252549171447753906e-01,8.371789455413818359e-01,8.202139139175415039e-01,7.750226259231567383e-01,7.309532165527343750e-01,6.879780292510986328e-01
