# Infill density,Matrix resistivity (kohm.cm)
21.694,16.02209039
22.013,15.42281083
22.1651,15.1493588
22.7881,14.10492357
22.2659,14.97230099
21.6591,16.08986471
21.4033,16.60064189
22.1609,15.15680737
22.2883,14.93339544
21.3103,16.79266877
21.6173,16.17163201
21.5474,16.30983103
21.9898,15.46520075
21.4848,16.43517592
22.848,14.01048586
22.0235,15.40368561
21.9895,15.46575009
21.5751,16.25484472
21.8127,15.79489886
22.5515,14.48788185
22.0872,15.28845234
22.2525,14.99565089
22.6744,14.28695007
22.8328,14.03435594
22.054,15.34834179
22.0925,15.2789256
21.6239,16.15867811
22.3512,14.82499081
21.8485,15.72736836
22.6039,14.40167345
21.5478,16.30903492
21.559,16.28676882
22.097,15.27084416
22.3055,14.90362902
21.6388,16.12949349
22.1618,15.15521077
22.081,15.29960866
21.9991,15.44818633
22.2296,15.03568723
22.606,14.39823531
21.6944,16.0213162
21.5617,16.28140823
22.4937,14.58391657
21.959,15.52175994
22.6307,14.35789265
21.632,16.14280238
22.0998,15.26581909
22.4127,14.72018739
22.6237,14.36930778
22.4932,14.58475168
21.788,15.84175662
22.0169,15.41570283
22.4252,14.69902796
22.0829,15.29618843
21.9645,15.51163632
22.5704,14.45669452
21.3324,16.74672218
21.7989,15.82105166
22.2674,14.96969075
22.6147,14.38400529
21.5992,16.20724076
22.0866,15.28953143
22.1526,15.17154407
22.8104,14.06964931
22.0377,15.37788011
22.2278,15.0388413
22.1493,15.17740948
22.4043,14.73443338
21.6137,16.17870463
21.6638,16.08071134
21.7723,15.87165412
21.5909,16.22361078
22.4248,14.69970432
22.78,14.11777054
21.4402,16.52540327
22.599,14.40970078
21.6157,16.1747748
22.1124,15.24323835
22.744,14.17509081
21.766,15.88367609
22.3415,14.84162759
22.7304,14.19684016
22.6129,14.38694762
21.4307,16.54472246
22.3876,14.76282006
21.6099,16.18617544
22.3234,14.87274987
22.2094,15.07114245
21.9244,15.58568501
22.0442,15.36609035
22.1795,15.12386438
21.3164,16.77996695
21.5002,16.40420052
22.2007,15.08645318
21.6199,16.16652701
22.862,13.98855655
22.0976,15.26976714
21.7434,15.92692024
21.6795,16.05019431
22.1354,15.20215437
22.7343,14.19059787
21.5065,16.39155514
21.5049,16.39476522
22.1818,15.11979859
22.6568,14.31545566
22.5081,14.55989779
22.7712,14.13174856
22.7617,14.14686283
22.5626,14.46955271
21.9963,15.45330586
21.5136,16.37732231
22.5419,14.50376346
21.8624,15.70127038
21.3355,16.74029296
21.645,16.11737389
22.3924,14.75465223
22.1444,15.18612528
22.7036,14.23985264
21.9796,15.48389555
21.4413,16.5231686
21.5749,16.25524069
22.104,15.25828636
22.7653,14.14113233
21.6514,16.10487832
22.0123,15.42408717
21.7911,15.83586373
22.1175,15.23411341
22.6335,14.35333058
21.632,16.14280238
21.7066,15.99773166
21.3021,16.80976712
22.2931,14.92507916
21.5116,16.3813296
22.0649,15.32863879
21.4995,16.4056065
21.7254,15.96149472
21.3917,16.62440516
21.9363,15.56365271
21.4935,16.41766557
21.6528,16.10214694
21.5712,16.26256888
22.4653,14.63146944
22.2575,14.98693157
21.7639,15.88768659
22.4829,14.60197146
22.7748,14.12602766
22.525,14.53178812
21.8934,15.64331028
22.0821,15.29762838
22.757,14.15434979
21.7202,15.97150481
21.7437,15.92634499
22.527,14.52846716
21.8505,15.72360907
21.9352,15.56568726
21.7052,16.00043532
21.3064,16.80079751
22.5213,14.53793503
21.8938,15.64256461
22.3526,14.82259204
22.2009,15.08610094
22.687,14.26659729
21.8293,15.76352941
22.2987,14.91538601
