# Infill density,Matrix resistivity (kohm.cm)
32.6548,5.969694128
33.4659,5.649963638
37.8959,4.297627556
37.9676,4.280059419
38.4163,4.172630984
32.7284,5.939524487
38.0186,4.267631696
34.7182,5.206476166
38.2394,4.21447428
32.7209,5.942587886
38.4691,4.160268019
32.6237,5.982514727
37.896,4.297602975
33.5449,5.62026337
38.4287,4.169722388
34.7884,5.183245106
37.8916,4.298684747
38.0514,4.259668837
37.8273,4.314542212
38.165,4.23226947
33.6689,5.57413646
37.9321,4.288743625
33.5994,5.599916398
38.4877,4.155926561
34.7227,5.204982101
33.6704,5.573582111
32.7617,5.925952857
32.6678,5.9643478
38.4695,4.160174579
32.6601,5.967513565
32.782,5.917703304
34.8022,5.178697434
32.6166,5.985447671
38.2364,4.215189556
38.2153,4.220225714
37.915,4.292936586
32.5814,6.000021816
34.7333,5.201465406
34.801,5.179092636
32.1273,6.193138504
38.1393,4.238443856
32.1461,6.184951012
34.6805,5.219019567
37.91,4.294163812
38.1188,4.243379085
32.7673,5.923675317
33.5865,5.604722023
38.2947,4.201323375
32.6667,5.964799891
32.7079,5.94790365
33.6147,5.594225074
32.082,6.21293684
37.9329,4.28854762
38.3354,4.19168556
37.8366,4.312243006
38.28,4.204812899
37.8957,4.297676719
32.0899,6.20947701
33.4914,5.640349995
33.5893,5.603678392
34.774,5.187997182
32.7097,5.947167177
32.1211,6.195842361
38.2537,4.211067412
34.7354,5.200769145
32.72,5.94295566
38.4539,4.16382116
32.5807,6.000312207
37.9307,4.289086667
33.4788,5.645097057
32.617,5.985282374
37.9647,4.280767798
37.8267,4.314690614
37.7841,4.325247644
32.7807,5.91823106
38.4227,4.171129376
37.9456,4.285437927
32.1044,6.203134548
34.7223,5.20511488
34.8043,5.178005946
38.1817,4.228264876
32.6029,5.991113389
38.1847,4.227546118
32.7751,5.920505317
32.6541,5.969982221
33.4978,5.637941185
33.614,5.594485264
32.6724,5.962457821
38.2162,4.220010709
37.8324,4.313281119
38.2599,4.209591651
32.8196,5.902470837
32.0817,6.213068285
33.5446,5.620375692
34.8119,5.175504627
38.0776,4.253324987
34.8108,5.175866542
38.0473,4.26066292
32.6322,5.97900642
33.6277,5.589396434
38.3761,4.182082372
38.4935,4.154574226
37.9347,4.288106661
32.1629,6.177648882
37.8561,4.307428323
32.6638,5.965992024
33.4935,5.639559426
32.086,6.21118465
38.4609,4.162184254
34.7922,5.181992224
32.1322,6.191002893
37.7941,4.322765832
34.7726,5.188459554
33.5436,5.620750126
37.9389,4.287078033
33.6856,5.567969586
38.2162,4.220010709
32.1765,6.17174753
32.1213,6.195755111
34.7146,5.207671901
33.5504,5.61820475
33.6642,5.575873978
34.6785,5.219686323
37.9548,4.283187444
32.1349,6.189826621
32.7083,5.947739977
33.5512,5.617905413
38.0067,4.270526432
37.883,4.300800353
32.6666,5.964840993
38.1445,4.237193425
38.3192,4.195517584
37.9147,4.293010204
38.3244,4.194286954
38.0091,4.269942372
37.7823,4.325694607
32.6509,5.971299492
34.7942,5.181333003
38.2921,4.201940239
33.4864,5.642233
34.7734,5.188195333
33.5577,5.615474226
37.9224,4.291121299
33.6823,5.569187341
32.1647,6.176867312
32.079,6.214251491
33.6173,5.593258823
38.2879,4.202937012
33.5101,5.633316282
38.1566,4.234286005
33.4802,5.644569296
33.4835,5.643325595
32.0991,6.205451649
32.1722,6.173612443
37.9373,4.287469846
34.7314,5.202095483
33.5956,5.601331337
32.7753,5.92042407
33.6338,5.58713294
32.1564,6.180472506
33.5102,5.633278706
37.7945,4.322666606
33.5545,5.616670912
32.625,5.981977954
38.3436,4.189747986
38.3725,4.182930402
32.8182,5.9030369
32.7979,5.911254401
33.5888,5.603864733
33.4792,5.64494626
38.2195,4.219222504
38.0503,4.259935507
37.971,4.279229139
38.279,4.205050447
33.6144,5.594336582
32.7368,5.936096419
33.5979,5.600474859
33.4735,5.647095709
33.4914,5.640349995
37.9402,4.286759726
38.1674,4.231693593
32.5968,5.993638787
38.019,4.267534447
37.8459,4.309945721
34.6745,5.221020235
38.0394,4.262579373
33.6158,5.593816244
38.2581,4.210020014
33.664,5.575947934
33.6761,5.571476375
32.6656,5.965252036
38.2157,4.220130154
38.1105,4.245379814
38.1798,4.228720189
38.1856,4.227330528
34.6973,5.213424087
32.788,5.91526846
32.1691,6.174957463
32.6409,5.975418905
38.4399,4.167098002
37.9136,4.293280154
33.5618,5.613941557
37.991,4.274350251
38.2939,4.201513164
37.8077,4.319394151
34.6911,5.21548799
32.6785,5.959952992
33.6571,5.578500352
32.7399,5.934832083
33.6644,5.575800024
38.186,4.227234716
38.2382,4.214760368
38.3392,4.190787485
34.8026,5.178565711
32.6118,5.987431783
38.0335,4.264011531
32.129,6.192397446
38.1503,4.235799395
38.0734,4.254340942
37.9092,4.29436022
32.7288,5.939361175
33.5741,5.609347483
33.4913,5.640387645
32.1126,6.199552273
32.7504,5.930552789
37.8564,4.307354317
38.3553,4.186985828
38.3391,4.190811115
32.7512,5.930226946
33.6353,5.586576563
32.6437,5.97426502
32.1237,6.19470826
34.7536,5.194740995
32.7782,5.919246184
37.962,4.281427489
33.6379,5.585612383
38.179,4.228911923
32.1296,6.19213593
33.4802,5.644569296
37.9422,4.286270096
32.1467,6.184689988
37.9743,4.278423521
32.7182,5.943691316
32.6398,5.975872312
38.0162,4.26821526
38.0556,4.258650886
38.2602,4.209520263
32.0746,6.216180435
32.1736,6.173005165
32.7686,5.923146799
33.5814,5.606623706
33.5317,5.625208886
32.6389,5.976243322
32.5909,5.996082974
32.0899,6.20947701
33.6526,5.580165959
34.7372,5.200172465
32.6205,5.983836338
37.7961,4.322269738
37.9931,4.273838473
38.4626,4.161786872
38.4041,4.175495772
33.6344,5.586910379
37.7811,4.325992623
32.7914,5.913889412
32.6063,5.989706514
38.3165,4.196156789
38.0198,4.26733996
37.7922,4.323237205
38.0619,4.257124674
33.5594,5.61483865
38.2608,4.209377495
32.7611,5.92619696
34.6867,5.216953472
33.4799,5.644682381
34.742,5.198581845
34.6695,5.222688377
38.1828,4.228001309
38.2424,4.213759195
38.1028,4.247237235
38.1955,4.224960174
38.4105,4.173992548
32.7061,5.948640267
32.103,6.203746481
37.9293,4.289429752
32.8177,5.903239087
38.0054,4.27084285
32.8116,5.905706634
32.8233,5.900975221
32.7302,5.93878964
37.8564,4.307354317
38.173,4.23035036
37.9806,4.276886183
37.7957,4.32236895
38.1404,4.238179294
38.259,4.209805824
32.8003,5.910281939
38.4484,4.165108009
38.2943,4.201418268
38.4079,4.17460313
34.7146,5.207671901
32.7574,5.927702614
37.8673,4.304666778
38.1232,4.242319057
32.1529,6.181993758
38.4033,4.175683735
38.1844,4.227617985
38.438,4.167543028
33.5218,5.628922503
32.7928,5.913321716
32.7117,5.94634904
32.5721,6.003881666
33.4647,5.650416678
32.735,5.936830744
38.0339,4.263914411
38.1502,4.235823424
32.6316,5.97925396
34.7357,5.200669691
33.6741,5.572215087
32.1083,6.201430378
38.4099,4.174133439
32.6747,5.961513184
33.5455,5.620038736
38.3509,4.188024253
33.5401,5.62206095
37.9941,4.273594804
32.7964,5.911862317
38.026,4.265833159
32.7997,5.910525031
34.7175,5.206708636
37.8637,4.305554114
34.7262,5.203820516
33.6788,5.570479356
38.3146,4.196606692
34.8253,5.171099019
37.8178,4.316892849
33.6275,5.589470671
38.2915,4.202082613
33.5707,5.6106168
33.6938,5.564945455
32.0808,6.213462648
34.8182,5.1734326
32.6325,5.978882657
33.6709,5.573397347
38.4885,4.155739991
38.0395,4.262555106
38.2711,4.206927814
38.0732,4.254389331
38.0552,4.258747817
33.5087,5.633842394
32.7976,5.911375976
32.6656,5.965252036
32.7967,5.911740726
38.1827,4.228025269
38.2762,4.205715692
38.19,4.22627678
38.1829,4.22797735
32.6237,5.982514727
33.5561,5.616072519
33.5609,5.61427794
37.8428,4.310711269
32.7167,5.944304472
32.752,5.929901131
32.7432,5.93348664
34.7174,5.206741848
38.3548,4.187103811
38.0755,4.253832917
34.6772,5.220119786
32.8003,5.910281939
38.3662,4.184415105
33.5224,5.628697326
34.6831,5.218152984
32.6545,5.969817594
38.1349,4.239502366
34.8244,5.171394733
32.084,6.212060648
32.7365,5.936218797
38.4893,4.155553434
32.7766,5.919896007
34.7492,5.196197345
38.3745,4.182459241
32.7951,5.912389257
34.7329,5.201598044
38.2543,4.210924561
33.6084,5.596567462
37.9359,4.287812728
33.4763,5.646039679
32.1697,6.1746971
33.5183,5.630236318
33.4901,5.640839481
34.7297,5.202659338
33.5311,5.625433844
33.6508,5.580832421
34.7893,5.182948328
33.5722,5.610056751
33.5625,5.613679947
32.1302,6.191874431
33.4693,5.648680335
38.3706,4.183378083
38.2245,4.218028694
32.5773,6.001722991
32.8181,5.903077337
33.5515,5.617793168
33.6152,5.594039237
37.7822,4.325719441
33.6857,5.56793269
32.0921,6.208514052
32.6158,5.985778284
32.6413,5.975254043
32.7098,5.947126266
34.7651,5.190937646
33.5983,5.600325928
37.9145,4.293059284
37.935,4.288033175
32.6657,5.965210929
32.7178,5.943854815
38.3147,4.196583011
38.0717,4.254752271
34.7681,5.189946187
32.6713,5.962909687
32.6847,5.957408792
32.7985,5.911011262
34.7025,5.21169406
32.6766,5.960733008
37.9473,4.285021937
37.7903,4.323708658
32.1759,6.172007698
32.6193,5.98433206
33.4658,5.650001389
32.826,5.8998842
33.5468,5.619552077
37.8252,4.315061654
37.893,4.298340501
32.1595,6.179125602
32.7305,5.938667179
32.7072,5.948190095
38.0624,4.257003583
34.7693,5.189549686
33.4859,5.642421355
38.3553,4.186985828
38.0196,4.267388581
38.0921,4.249820444
33.6605,5.57724241
37.9622,4.281378617
32.6689,5.963895763
33.6583,5.578056322
33.6629,5.576354719
32.6574,5.968624262
32.7957,5.912146045
38.3639,4.184957345
33.5194,5.629823353
34.7874,5.18357489
38.1675,4.231669601
37.8899,4.299102819
38.3653,4.184627273
34.8238,5.171591891
34.684,5.217853066
38.1881,4.226731757
38.1979,4.224385856
32.7409,5.934424322
34.7392,5.199509614
38.3449,4.189440938
37.8843,4.300480448
32.7596,5.926807288
37.8325,4.313256398
38.0686,4.255502501
37.8475,4.309550682
33.5652,5.61267106
38.3136,4.196843513
32.0856,6.211359834
33.4941,5.639333581
32.8156,5.904088388
32.7869,5.91571473
34.7105,5.209034236
32.5807,6.000312207
32.1297,6.192092346
32.1048,6.202959728
38.3834,4.180363582
32.1641,6.177127818
32.0877,6.210440204
33.691,5.565977796
34.7218,5.205280861
38.163,4.23274946
37.9536,4.28348088
32.8133,5.905018794
34.6852,5.217453216
34.8102,5.176063968
38.3065,4.198525545
38.0645,4.256495059
32.7168,5.944263592
38.2649,4.208402111
32.7087,5.947576311
33.5834,5.605877827
33.5346,5.624121786
32.5874,5.997533655
32.8086,5.906920775
37.8376,4.311995894
32.7093,5.947330825
32.6297,5.98003794
32.8129,5.905180627
38.4872,4.156043174
32.7216,5.942301864
34.684,5.217853066
38.49,4.155390207
33.5416,5.62149911
34.8137,5.174912486
32.597,5.993555961
32.5814,6.000021816
33.6562,5.578833411
33.5127,5.632339422
38.1498,4.235919541
38.4212,4.171481239
32.7893,5.914741117
32.7891,5.914822242
38.0525,4.259402194
33.5289,5.626258812
38.4175,4.172349368
38.4488,4.165014399
34.7407,5.199012563
38.4173,4.172396301
38.1025,4.247309628
38.2378,4.214855737
33.5917,5.602784094
33.645,5.582980757
32.5803,6.000478154
33.4721,5.64762384
32.1771,6.17148738
32.096,6.206807564
32.784,5.916891514
33.6134,5.594708298
34.7183,5.206442957
38.3944,4.177775716
34.8204,5.172709342
32.1413,6.187039821
37.8887,4.299397967
34.7307,5.202327647
38.1273,4.241331678
32.7338,5.937320373
32.8009,5.910038863
37.7905,4.323659027
38.4779,4.15821311
32.6851,5.957244708
38.1517,4.235463013
32.1304,6.191787269
32.696,5.952776159
38.4103,4.174039511
32.7228,5.94181159
38.3297,4.193033239
37.8067,4.319641928
38.3798,4.181211066
32.765,5.924610569
32.7024,5.950154872
33.6573,5.578426343
32.658,5.968377412
38.294,4.20148944
32.7201,5.942914795
38.3649,4.184721575
32.7527,5.929616066
38.0452,4.261172225
32.6247,5.982101818
32.6934,5.953841574
37.931,4.289013154
37.9786,4.277374133
32.7593,5.926929365
33.6181,5.592961568
32.6488,5.972164199
32.7451,5.932712208
33.5265,5.627158994
37.8337,4.312959757
38.4559,4.163353369
38.4603,4.162324521
38.3649,4.184721575
38.074,4.254195783
32.6827,5.958229315
33.5818,5.606474517
37.8192,4.316546313
38.4201,4.171739302
38.1804,4.228576398
32.6925,5.954210441
32.7382,5.935525376
37.9389,4.287078033
38.4003,4.176388713
32.812,5.905544778
34.7359,5.20060339
38.3912,4.17852829
32.1206,6.196060495
32.8033,5.909066714
38.2736,4.206333568
32.7145,5.945203946
32.6316,5.97925396
38.1361,4.239213641
38.2998,4.200113785
32.6432,5.974471045
37.9618,4.281476361
37.8081,4.319295046
32.7386,5.935362237
32.6741,5.961759588
38.0497,4.260080974
32.8036,5.908945213
32.7011,5.950687175
33.565,5.612745783
33.6695,5.57391471
38.1076,4.246079213
32.7439,5.933201305
34.7691,5.189615766
38.023,4.266562152
33.5582,5.61528728
33.5991,5.600028083
33.5178,5.630424045
33.5794,5.60736974
38.0079,4.270234386
32.7,5.951137643
32.7201,5.942914795
37.9347,4.288106661
33.6174,5.593221665
32.7622,5.925749449
37.9877,4.275154666
33.4668,5.649623896
32.6587,5.968089441
32.7612,5.926156275
38.3306,4.192820403
32.114,6.198940989
38.0208,4.267096872
37.7913,4.323460514
33.5313,5.625358857
32.6118,5.987431783
33.5977,5.600549328
32.7976,5.911375976
32.7717,5.921886785
38.0368,4.263210401
34.7111,5.208834835
32.6325,5.978882657
37.9154,4.292838431
38.1696,4.231165815
38.0459,4.261002446
33.5441,5.620562904
32.6732,5.962129225
38.0903,4.250255244
32.6248,5.982060529
38.3889,4.179069335
34.7584,5.193152979
38.3839,4.180245897
38.4583,4.16279213
32.6853,5.957162669
37.9577,4.282478437
32.7906,5.914213849
34.7819,5.185389295
32.6524,5.970681964
38.1678,4.231597626
32.149,6.183689559
32.7623,5.925708769
33.4965,5.638430344
33.4813,5.644154681
32.0985,6.205714048
38.4175,4.172349368
34.7027,5.211627538
32.812,5.905544778
33.5709,5.610542122
33.5502,5.618279588
37.9535,4.283505334
32.1211,6.195842361
37.9442,4.285780554
32.7819,5.917743898
32.793,5.913240623
33.4703,5.64830298
34.768,5.189979231
38.2007,4.223715974
32.7219,5.94217929
34.8055,5.177610875
33.6864,5.567674435
38.0797,4.252817152
34.7264,5.203754152
33.5396,5.62224825
32.6381,5.976573139
34.8042,5.178038871
32.8219,5.90154106
32.6818,5.958598609
32.623,5.982803791
32.735,5.936830744
38.331,4.192725814
34.7199,5.205911662
34.7207,5.205646047
32.7607,5.926359705
34.7285,5.20305741
38.3554,4.186962232
37.9983,4.272571629
38.4636,4.161553146
38.487,4.15608982
32.6374,5.976861752
32.7385,5.935403021
38.4817,4.157326254
34.7341,5.201200146
33.6367,5.586057357
38.4241,4.170801012
38.3668,4.184273669
38.0023,4.271597534
32.1403,6.187475129
32.6579,5.968418553
38.2668,4.207950224
38.4569,4.163119505
38.3676,4.1840851
34.7768,5.187072632
37.7995,4.321426583
34.814,5.174813807
37.9697,4.279546569
33.6918,5.565682811
33.4806,5.644418521
38.2317,4.216310538
33.6068,5.597162598
33.5455,5.620038736
32.686,5.956875546
32.7124,5.946062734
38.3508,4.188047859
37.8228,4.315655422
32.7244,5.941157991
32.0845,6.21184163
38.3287,4.193269744
33.4817,5.644003924
32.7111,5.946594463
34.7115,5.208701908
38.3438,4.189700745
38.3881,4.17925755
32.8152,5.904250181
32.0729,6.21692596
33.6727,5.572732278
34.8296,5.169686525
38.1525,4.235270813
32.7325,5.937850876
38.3937,4.177940323
32.1269,6.19331289
32.1621,6.177996295
34.6973,5.213424087
33.5026,5.636135637
38.2323,4.216167408
33.5062,5.634782071
32.1504,6.183080726
33.4929,5.639785285
38.3138,4.196796147
